egoid,hs_1,hssex_1,hsgrade_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1,major1rc_2,major2rc_2,degreeintent_2,majorevent_2,major1rc_3,major2rc_3,degreeintent_3,majorevent_3,major1rc_4,major2rc_4,majorevent_4,major1rc_5,major2rc_5,degreeintent_5,majorevent_5,major1rc_6,major2rc_6,degreeintent_6,majorevent_6,majorevent_7,major1rc_8,major2rc_8,degreeintent_8,majorevent_8
36875,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,45200.0,13200.0,43100.0,16900.0,,Yes,,406.0,102.0,J.D. (Law),no,,,,,406.0,,no,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,406.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
84011,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,,12200.0,21100.0,45100.0,29200.0,,No,no,503.0,,Ph.D or Ed.D.,no,503.0,,Ph.D or Ed.D.,no,503.0,,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
90646,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,21100.0,11300.0,21200.0,45200.0,41100.0,No,,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,309.0,,yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,yes,,,,
88008,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,1-2,0,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,301.0,11300.0,21200.0,11100.0,44200.0,45100.0,Yes,no,308.0,303.0,"Bachelor's degree (B.A., B.S., etc.)",no,303.0,,"Bachelor's degree (B.A., B.S., etc.)",no,303.0,,no,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,no,,,,
88967,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",109.0,514.0,43100.0,13200.0,42200.0,45100.0,43500.0,No,no,109.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,109.0,110.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,
46701,Private religious/parochial school,Same sex- male,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,511.0,45100.0,42200.0,45200.0,41100.0,43600.0,No,no,,,,,,,,,,,,,,,,,,,,,,,,
83566,Public school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",131.0,,41100.0,43100.0,,,,No,no,134.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,134.0,,Ph.D or Ed.D.,no,134.0,,no,134.0,,Ph.D or Ed.D.,no,134.0,,Ph.D or Ed.D.,no,no,134.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
21090,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,42200.0,45100.0,21100.0,21100.0,45100.0,No,no,305.0,120.0,"Bachelor's degree (B.A., B.S., etc.)",no,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,305.0,,no,305.0,,Ph.D or Ed.D.,no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
69419,Private religious/parochial school,A mixture of boys and girls,b,b,5 or more,5 or more,,,,45200.0,21100.0,21100.0,,,Yes,,503.0,113.0,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,,,,,,,,,113.0,129.0,"Bachelor's degree (B.A., B.S., etc.)",
87032,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,400.0,43100.0,45100.0,45100.0,,,Yes,no,200.0,,Ph.D or Ed.D.,yes,200.0,,Ph.D or Ed.D.,no,200.0,,yes,200.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,
94641,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,506.0,41200.0,11100.0,43500.0,45100.0,45200.0,No,yes,302.0,305.0,Ph.D or Ed.D.,yes,305.0,125.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,305.0,125.0,no,305.0,,Ph.D or Ed.D.,no,305.0,,Ph.D or Ed.D.,no,no,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
82728,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,,45100.0,45100.0,42100.0,,,Yes,no,510.0,,"M.D., D.O., D.D.S., or D.V.M.",no,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no,510.0,104.0,no,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,
45076,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,,13200.0,16900.0,43500.0,43900.0,,Yes,no,404.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,404.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,131.0,no,403.0,131.0,"Bachelor's degree (B.A., B.S., etc.)",no,405.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
58437,Private religious/parochial school,A mixture of boys and girls,A-,A-,5 or more,5 or more,Ph.D or Ed.D.,302.0,,43100.0,13200.0,13200.0,43500.0,44900.0,Yes,no,306.0,302.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,309.0,,no,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,,,
94862,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,13200.0,13200.0,13200.0,44200.0,45100.0,Yes,,403.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,403.0,506.0,no,403.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,
14606,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,13200.0,13200.0,43500.0,45100.0,21100.0,Yes,,304.0,,"M.D., D.O., D.D.S., or D.V.M.",no,304.0,,"M.D., D.O., D.D.S., or D.V.M.",no,304.0,,no,304.0,,"M.D., D.O., D.D.S., or D.V.M.",yes,304.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,,,,
64075,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,45100.0,43900.0,45100.0,53200.0,45100.0,Yes,,,,"M.D., D.O., D.D.S., or D.V.M.",yes,403.0,404.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,404.0,,no,402.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,402.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,
39787,Private independent college-prep school,Same sex- female,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,507.0,21100.0,53200.0,21900.0,62900.0,,Yes,no,507.0,103.0,Ph.D or Ed.D.,no,307.0,,Ph.D or Ed.D.,no,307.0,,no,307.0,109.0,Ph.D or Ed.D.,no,,,,,,,,,
82376,Public school,A mixture of boys and girls,A or A+,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,400.0,11300.0,12200.0,13200.0,41900.0,22200.0,Yes,no,200.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,200.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,
44872,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",135.0,507.0,13200.0,44900.0,,,,Yes,no,507.0,510.0,Ph.D or Ed.D.,no,507.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,135.0,no,507.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
87783,Public school,A mixture of boys and girls,A-,A-,5 or more,5 or more,J.D. (Law),404.0,135.0,45200.0,13200.0,53200.0,,,No,no,,,,,404.0,125.0,J.D. (Law),no,404.0,125.0,no,401.0,125.0,J.D. (Law),no,,,,,,,,,
22199,Public magnet school,A mixture of boys and girls,A or A+,A or A+,0,0,,,,21100.0,21100.0,31200.0,41100.0,,No,,508.0,125.0,Ph.D or Ed.D.,yes,,,,,,,,,,,,,,,,,,,,
47498,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,3-4,1-2,"M.D., D.O., D.D.S., or D.V.M.",510.0,135.0,13200.0,13200.0,43100.0,43900.0,43400.0,Yes,no,,,,,511.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",yes,,,,,,,,,,,,,,,,
57325,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,45100.0,16200.0,21100.0,45100.0,21100.0,No,,123.0,129.0,Ph.D or Ed.D.,no,123.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,123.0,no,503.0,123.0,Ph.D or Ed.D.,no,503.0,123.0,Other,yes,yes,503.0,123.0,Ph.D or Ed.D.,yes
53776,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,3-4,"Bachelor's degree (B.A., B.S., etc.)",310.0,,13200.0,13200.0,45100.0,,,Yes,no,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,"Bachelor's degree (B.A., B.S., etc.)",no,no,,,,yes
58633,Public magnet school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,J.D. (Law),309.0,128.0,11300.0,43100.0,63100.0,45200.0,21200.0,No,no,309.0,,J.D. (Law),no,309.0,,J.D. (Law),no,309.0,,yes,,,,,,,,,,,,,
27306,Public school,A mixture of boys and girls,A or A+,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",510.0,131.0,13200.0,13200.0,21100.0,21100.0,45100.0,Yes,no,507.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,507.0,,no,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,yes,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
80607,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,137.0,43100.0,43800.0,25200.0,21200.0,45200.0,Yes,yes,131.0,140.0,Ph.D or Ed.D.,no,103.0,140.0,Ph.D or Ed.D.,no,,,,,,,,,,,,,,,,
73143,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,128.0,25200.0,43100.0,11300.0,41200.0,,Yes,no,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,401.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,
35797,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,501.0,17100.0,45100.0,44200.0,11300.0,43100.0,Yes,yes,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,,,,,
46365,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,504.0,45100.0,13200.0,13200.0,43400.0,,Yes,no,511.0,109.0,Ph.D or Ed.D.,no,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no,511.0,,no,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no,511.0,,"M.D., D.O., D.D.S., or D.V.M.",yes,yes,511.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
30596,Private independent college-prep school,A mixture of boys and girls,A-,A-,Not offered at my high school,Not offered at my high school,Ph.D or Ed.D.,302.0,,13200.0,31200.0,49999.0,,,Yes,no,,,Ph.D or Ed.D.,no,508.0,,Ph.D or Ed.D.,no,,,,,,,,,,,,,,,,
31045,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,506.0,11300.0,43100.0,42200.0,12200.0,13100.0,No,yes,,,,,,,,,,,,,,,,,,,,,,,,
74492,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,11300.0,43400.0,43400.0,11300.0,43100.0,Yes,,511.0,506.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,511.0,514.0,yes,511.0,514.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,511.0,514.0,"Bachelor's degree (B.A., B.S., etc.)",no,no,511.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
76791,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,3-4,,,,45200.0,43400.0,22100.0,42200.0,,Yes,,,,"Bachelor's degree (B.A., B.S., etc.)",no,,,"Bachelor's degree (B.A., B.S., etc.)",no,103.0,,no,,,,,,,,,,,,,
21348,Public magnet school,A mixture of boys and girls,A-,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,45100.0,43500.0,41900.0,45900.0,41300.0,Yes,no,302.0,308.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,,,,,
23287,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,,,,,,Yes,no,,,"Bachelor's degree (B.A., B.S., etc.)",no,111.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,no,100.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,no,,,,no
14763,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,45100.0,13200.0,25200.0,,,No,,128.0,,J.D. (Law),yes,,,,,,,,,,,,,,,,,,,,
22066,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,11300.0,11300.0,41900.0,43100.0,42200.0,Yes,no,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,,,,,
