egoid,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
59178,,,,
50072,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
44927,1-2 times a week,Not at all,1-2 times a week,Not at all
71894,1-2 times a month,1-2 times a month,Not at all,Not at all
76790,,,,
66676,1-2 times a week,Three times a week or more,Not at all,Less than 1-2 times a month
95930,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week
70962,1-2 times a week,1-2 times a month,Not at all,Not at all
12738,,,,
27111,,,,
30453,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
80177,,,,
18677,Three times a week or more,Not at all,Not at all,Not at all
66047,,,,
58682,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
79834,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
93471,,,,
19538,,,,
38052,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month
33133,,,,
40021,,,,
27141,,,,
93858,,,,
47810,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all
58196,1-2 times a week,Not at all,Not at all,Not at all
42773,,,,
76663,,,,
48224,,,,
30137,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
68318,Less than 1-2 times a month,Not at all,Not at all,Not at all
62246,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month
61028,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
55424,1-2 times a week,Three times a week or more,Not at all,Not at all
17581,,,,
23576,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
17522,1-2 times a month,Not at all,Not at all,Not at all
97833,,,,
93485,Three times a week or more,1-2 times a week,Not at all,Not at all
62617,1-2 times a week,Not at all,Not at all,Not at all
42137,Three times a week or more,Not at all,Not at all,Not at all
37305,,,,
48013,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week
44447,,,,
14571,Not at all,Not at all,Not at all,Not at all
69057,Three times a week or more,1-2 times a week,Not at all,Not at all
66629,,,,
83542,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
18222,Not at all,1-2 times a week,1-2 times a week,Not at all
39738,,,,
26858,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
93504,,,,
64232,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
37404,Three times a week or more,Not at all,Not at all,Not at all
25961,,,,
87330,,,,
92028,,,,
82248,Not at all,Not at all,Not at all,Less than 1-2 times a month
28824,,,,
11482,,,,
69936,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
37001,,,,
70492,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
95543,1-2 times a week,Not at all,Not at all,1-2 times a week
21380,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
67106,,,,
25495,,,,
26581,,,,
66642,,,,
83612,1-2 times a week,1-2 times a week,Not at all,Not at all
63954,,,,
20665,,,,
19122,,,,
99978,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
92566,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
39414,,,,
35987,,,,
66655,,,,
10547,,,,
46373,,,,
79341,,,,
19591,Three times a week or more,1-2 times a week,Not at all,Not at all
83536,,,,
66682,,,,
88337,,,,
67608,1-2 times a week,Not at all,Not at all,Not at all
19735,,,,
42513,,,,
51952,,,,
46266,,,,
61289,,,,
18743,,,,
59207,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
48946,,,,
86083,,,,
96613,,,,
49014,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
50766,1-2 times a month,Three times a week or more,Not at all,Not at all
71089,Not at all,Not at all,Not at all,Not at all
80980,,,,
29115,,,,
98462,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
94455,,,,
11148,,,,
88384,,,,
64302,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all
22688,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
38815,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
34525,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
68404,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
71836,,,,
12748,,,,
33445,,,,
83078,,,,
72160,,,,
55569,,,,
72885,,,,
36574,,,,
71193,1-2 times a week,Not at all,Not at all,Not at all
44070,,,,
49010,,,,
98760,,,,
95374,Not at all,Not at all,Not at all,Not at all
71985,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
43125,1-2 times a week,Not at all,Not at all,Not at all
98117,Less than 1-2 times a month,Not at all,Not at all,Not at all
22989,,,,
24883,Not at all,Not at all,Not at all,Not at all
20650,1-2 times a week,1-2 times a week,Not at all,Not at all
19460,,,,
66815,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
89161,,,,
54956,Less than 1-2 times a month,Not at all,Not at all,Not at all
14847,Not at all,Not at all,Not at all,Not at all
85453,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19827,,,,
31121,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
38683,,,,
82918,,,,
43382,Not at all,1-2 times a month,Not at all,Not at all
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
94215,Not at all,1-2 times a week,1-2 times a week,Not at all
80675,,,,
57144,,,,
94662,,,,
98700,Three times a week or more,Not at all,1-2 times a week,Not at all
