egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
77789,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,36.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.0833333,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.6666667
47024,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
88582,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,44.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,1.5,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,3.6666667
73897,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
83470,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
67015,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,31.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,2.25,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,2.8333333
26272,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,2.25,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.1666667
21909,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
88882,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,46.0,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,1.8333334,Agree,Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,3.6666667
62510,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
96828,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,46.0,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,1.5,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
64406,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
31985,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
91337,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
87664,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
