egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
74845,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
90905,401.0,128.0,,
39659,401.0,128.0,,
60396,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61084,401.0,128.0,,
92412,109.0,506.0,Ph.D or Ed.D.,no
92038,405.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
33388,401.0,128.0,,
31717,401.0,128.0,,
86440,401.0,128.0,J.D. (Law),no
95585,109.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
29792,401.0,128.0,,
14737,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
28223,502.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
55452,401.0,128.0,,
20179,308.0,128.0,Ph.D or Ed.D.,no
23696,401.0,128.0,,
28653,402.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
84715,401.0,128.0,,
95559,301.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
30152,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
68764,401.0,128.0,,
60367,402.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
36939,401.0,128.0,,
59592,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
22897,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
89652,510.0,137.0,"M.D., D.O., D.D.S., or D.V.M.",yes
28724,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
92895,401.0,128.0,,
69831,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
59178,401.0,128.0,,
50072,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
44927,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no
71894,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
76790,401.0,128.0,,
66676,502.0,128.0,Ph.D or Ed.D.,no
95930,401.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
70962,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
12738,401.0,128.0,,
27111,401.0,128.0,,
30453,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
80177,401.0,128.0,,
18677,404.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
