egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
86440,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all
95585,,,,
29792,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a week
14737,1-2 times a month,Not at all,Not at all,Not at all
28223,Not at all,Not at all,1-2 times a month,Not at all
55452,,,,
20179,,,,
23696,,,,
28653,1-2 times a week,Not at all,Three times a week or more,Not at all
84715,,,,
95559,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month
30152,Three times a week or more,Not at all,Not at all,Not at all
68764,,,,
60367,,,,
36939,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
59592,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all
22897,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
89652,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
28724,Three times a week or more,Not at all,1-2 times a month,Less than 1-2 times a month
92895,,,,
69831,Not at all,1-2 times a week,Not at all,Not at all
59178,,,,
50072,1-2 times a week,Not at all,1-2 times a month,Not at all
44927,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
71894,Three times a week or more,Not at all,1-2 times a week,Not at all
76790,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
66676,1-2 times a week,Not at all,Three times a week or more,1-2 times a week
95930,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
70962,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
12738,,,,
27111,,,,
30453,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
80177,,,,
18677,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
66047,Less than 1-2 times a month,Not at all,Not at all,Not at all
58682,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
79834,Less than 1-2 times a month,Not at all,Not at all,Not at all
93471,,,,
19538,,,,
38052,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month
33133,Three times a week or more,1-2 times a week,Not at all,Not at all
40021,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
27141,,,,
93858,,,,
47810,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
58196,Three times a week or more,Not at all,Three times a week or more,Not at all
42773,,,,
76663,1-2 times a month,Not at all,1-2 times a week,Not at all
48224,,,,
30137,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
68318,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
62246,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
61028,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Not at all
55424,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Not at all
17581,,,,
23576,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
17522,Three times a week or more,Not at all,Not at all,Not at all
97833,,,,
93485,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
62617,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
42137,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
37305,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all
48013,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
44447,,,,
14571,Not at all,Not at all,Less than 1-2 times a month,Not at all
69057,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all
66629,,,,
83542,1-2 times a week,Not at all,Three times a week or more,Not at all
18222,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
39738,1-2 times a month,Not at all,1-2 times a month,Not at all
26858,1-2 times a week,1-2 times a month,Not at all,Not at all
93504,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week
64232,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
37404,Three times a week or more,Not at all,1-2 times a week,Not at all
25961,1-2 times a week,Not at all,Not at all,Not at all
87330,Three times a week or more,1-2 times a week,Not at all,Not at all
92028,,,,
82248,Less than 1-2 times a month,Not at all,Not at all,Not at all
28824,,,,
11482,Not at all,Not at all,Not at all,Not at all
69936,,,,
37001,,,,
70492,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all
95543,Not at all,1-2 times a month,Three times a week or more,Not at all
21380,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all
67106,Less than 1-2 times a month,Not at all,Not at all,Not at all
25495,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
26581,,,,
66642,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
83612,1-2 times a week,Not at all,1-2 times a week,Not at all
63954,,,,
20665,,,,
19122,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all
99978,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all
92566,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
39414,1-2 times a week,Not at all,Not at all,Not at all
35987,Not at all,Not at all,Not at all,Not at all
66655,,,,
10547,,,,
46373,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
79341,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19591,Three times a week or more,1-2 times a month,Three times a week or more,Not at all
83536,1-2 times a week,Not at all,1-2 times a week,Not at all
66682,,,,
88337,,,,
67608,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a week
19735,1-2 times a week,Not at all,Not at all,Not at all
42513,,,,
51952,,,,
46266,1-2 times a month,Not at all,1-2 times a month,Not at all
61289,,,,
18743,,,,
59207,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
48946,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
86083,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
96613,Not at all,1-2 times a week,Three times a week or more,Not at all
49014,,,,
