egoid,sexorientation_6,sexcontacttype_6,sexattracttype_6
48224,Heterosexual or straight,I have not had sexual contact,Only attracted to males
30137,Heterosexual or straight,Men only,Only attracted to males
68318,Heterosexual or straight,Men only,Only attracted to males
62246,Heterosexual or straight,Women only,Only attracted to females
61028,Heterosexual or straight,Men only,Only attracted to males
55424,Heterosexual or straight,Men only,Only attracted to males
17581,,,
23576,Heterosexual or straight,I have not had sexual contact,Only attracted to females
17522,,,
97833,,,
93485,Heterosexual or straight,Women only,Only attracted to females
62617,Heterosexual or straight,Men only,Only attracted to males
42137,Heterosexual or straight,I have not had sexual contact,Not sure
37305,Heterosexual or straight,Men only,Mostly attracted to males
48013,,,
44447,,,
14571,,,
69057,Heterosexual or straight,I have not had sexual contact,Only attracted to females
66629,,,
83542,Heterosexual or straight,Men only,Only attracted to males
18222,Heterosexual or straight,I have not had sexual contact,Only attracted to females
39738,,,
26858,Heterosexual or straight,Men only,Mostly attracted to males
93504,Heterosexual or straight,Men only,Only attracted to males
64232,Heterosexual or straight,Men only,Only attracted to males
37404,Heterosexual or straight,Men only,Only attracted to males
25961,,,
87330,,,
92028,,,
82248,Heterosexual or straight,Men only,Only attracted to males
28824,,,
11482,,,
69936,Heterosexual or straight,Women only,Only attracted to females
37001,Heterosexual or straight,Men only,Only attracted to males
70492,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
95543,Heterosexual or straight,I have not had sexual contact,Only attracted to females
21380,Heterosexual or straight,Women only,Only attracted to females
67106,,,
25495,,,
26581,,,
66642,Heterosexual or straight,Women only,Only attracted to females
83612,Heterosexual or straight,I have not had sexual contact,Only attracted to males
63954,,,
20665,,,
19122,Heterosexual or straight,Women only,Only attracted to females
99978,,,
92566,Bisexual,I have not had sexual contact,Mostly attracted to males
39414,,,
35987,Heterosexual or straight,I have not had sexual contact,Only attracted to females
66655,,,
10547,,,
46373,Heterosexual or straight,Women only,Only attracted to females
79341,Heterosexual or straight,Women only,Only attracted to females
19591,Heterosexual or straight,Men only,Only attracted to males
83536,,,
66682,,,
88337,,,
67608,Heterosexual or straight,I have not had sexual contact,Only attracted to females
19735,,,
42513,,,
51952,,,
46266,,,
61289,,,
18743,,,
59207,Heterosexual or straight,Women only,Only attracted to females
48946,,,
86083,Heterosexual or straight,Women only,Only attracted to females
96613,,,
49014,Heterosexual or straight,Men only,Only attracted to males
50766,Heterosexual or straight,Women only,Only attracted to females
71089,Heterosexual or straight,Women only,Mostly attracted to females
80980,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
29115,,,
98462,Heterosexual or straight,I have not had sexual contact,Only attracted to females
94455,,,
11148,,,
88384,,,
64302,Heterosexual or straight,I have not had sexual contact,Only attracted to females
22688,Heterosexual or straight,Women only,Only attracted to females
38815,Heterosexual or straight,Women only,Only attracted to females
34525,Heterosexual or straight,Women only,Only attracted to females
68404,Heterosexual or straight,I have not had sexual contact,Only attracted to males
71836,,,
12748,,,
33445,,,
83078,,,
72160,,,
55569,Heterosexual or straight,Men only,Only attracted to males
72885,Bisexual,Women only,Mostly attracted to females
36574,Heterosexual or straight,Women only,Only attracted to females
71193,Heterosexual or straight,Women only,Only attracted to females
44070,Heterosexual or straight,Men only,Mostly attracted to males
49010,Heterosexual or straight,Women only,Only attracted to females
98760,,,
95374,Heterosexual or straight,I have not had sexual contact,Only attracted to females
71985,Heterosexual or straight,I have not had sexual contact,Only attracted to females
43125,Heterosexual or straight,Women only,Only attracted to females
98117,Heterosexual or straight,Women only,Only attracted to females
22989,Heterosexual or straight,Men only,Only attracted to females
24883,Heterosexual or straight,Both men and women,Only attracted to females
20650,Heterosexual or straight,Women only,Only attracted to females
19460,,,
66815,Heterosexual or straight,I have not had sexual contact,Only attracted to females
89161,,,
54956,Heterosexual or straight,Men only,Only attracted to males
14847,Bisexual,Men only,Not sure
85453,Heterosexual or straight,Women only,Only attracted to females
19827,,,
31121,,,
38683,,,
82918,,,
43382,,,
44344,Heterosexual or straight,Women only,Only attracted to females
94215,Heterosexual or straight,Women only,Only attracted to females
80675,,,
57144,Heterosexual or straight,Men only,Only attracted to males
94662,Heterosexual or straight,I have not had sexual contact,Only attracted to males
98700,Heterosexual or straight,Men only,Only attracted to males
33341,,,
65072,Heterosexual or straight,Women only,Only attracted to females
37148,,,
11910,,,
75438,,,
99733,Heterosexual or straight,Men only,Only attracted to males
27407,Heterosexual or straight,I have not had sexual contact,Only attracted to females
14250,,,
43794,Heterosexual or straight,Men only,Only attracted to males
73918,,,
60216,,,
28681,,,
51437,Heterosexual or straight,Men only,Only attracted to males
21932,Heterosexual or straight,I have not had sexual contact,Only attracted to females
29733,Heterosexual or straight,Men only,Only attracted to males
98206,Heterosexual or straight,Men only,Only attracted to males
36385,Heterosexual or straight,Men only,Mostly attracted to males
54030,Heterosexual or straight,I have not had sexual contact,Only attracted to males
67993,Heterosexual or straight,Men only,Only attracted to males
96543,,,
49800,Heterosexual or straight,Men only,Only attracted to males
29296,Heterosexual or straight,Men only,Only attracted to males
11002,Heterosexual or straight,Women only,Only attracted to females
72850,Heterosexual or straight,Men only,Only attracted to males
15134,Heterosexual or straight,Men only,Only attracted to males
69124,,,
34062,Heterosexual or straight,Men only,Only attracted to males
18111,Heterosexual or straight,Men only,Only attracted to males
42646,Heterosexual or straight,Men only,Only attracted to males
63922,,,
59097,,,
72912,Heterosexual or straight,Men only,Only attracted to males
91484,,,
24833,,,
21971,Heterosexual or straight,Men only,Only attracted to males
13928,,,
84502,Heterosexual or straight,I have not had sexual contact,Only attracted to males
64090,,,
52123,Heterosexual or straight,Men only,Only attracted to males
78783,,,
25197,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
35872,Heterosexual or straight,,Only attracted to females
23270,Heterosexual or straight,Men only,Only attracted to males
69807,Heterosexual or straight,Women only,Only attracted to females
92716,Heterosexual or straight,Women only,Only attracted to females
66061,,,
56058,,,
57854,,,
68679,Heterosexual or straight,Women only,Only attracted to females
90750,,,
70125,,,
67192,Heterosexual or straight,Men only,Only attracted to males
12029,Heterosexual or straight,Men only,Only attracted to males
70745,Heterosexual or straight,Men only,Mostly attracted to males
93856,Heterosexual or straight,I have not had sexual contact,Only attracted to males
10237,Heterosexual or straight,Men only,Mostly attracted to males
97448,Gay or lesbian,Both men and women,Only attracted to males
89165,,,
97280,Gay or lesbian,Both men and women,Mostly attracted to males
54098,Heterosexual or straight,Women only,Only attracted to females
66156,Heterosexual or straight,Men only,Only attracted to males
67177,Heterosexual or straight,Men only,Only attracted to males
22540,,,
15586,,,
18611,Heterosexual or straight,Men only,Only attracted to males
87328,Heterosexual or straight,I have not had sexual contact,Only attracted to females
88963,,,
57045,,,
49497,Heterosexual or straight,Men only,Mostly attracted to males
15031,,,
79607,,,
41952,,,
17183,Gay or lesbian,I have not had sexual contact,Only attracted to males
22408,Heterosexual or straight,Women only,Only attracted to females
54435,Heterosexual or straight,Men only,Only attracted to males
38554,,,
38293,Heterosexual or straight,Men only,Only attracted to males
33785,Gay or lesbian,Men only,Only attracted to males
44310,Heterosexual or straight,Men only,Only attracted to females
33009,Heterosexual or straight,Men only,Only attracted to males
31294,,,
65143,,,
91726,,,
59355,,,
96184,,,
92339,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
70005,,,
64157,Heterosexual or straight,Men only,Only attracted to males
68050,,,
46151,,,
79395,,,
59863,,,
63419,Heterosexual or straight,Men only,Only attracted to males
22913,Heterosexual or straight,Women only,Only attracted to females
91313,,,
14511,,,
73962,Heterosexual or straight,Men only,Mostly attracted to males
48969,Heterosexual or straight,Men only,Only attracted to males
22093,,,
32919,,,
79731,,,
64296,Heterosexual or straight,I have not had sexual contact,Only attracted to females
23487,,,
17569,Heterosexual or straight,I have not had sexual contact,Only attracted to females
77036,Heterosexual or straight,I have not had sexual contact,Only attracted to males
53518,Heterosexual or straight,Women only,Mostly attracted to females
92340,,,
37485,,,
33953,,,
53333,,,
82986,Heterosexual or straight,I have not had sexual contact,Only attracted to males
61772,,,
47280,,,
70566,,,
82964,,,
11402,Heterosexual or straight,Women only,Only attracted to females
38610,Heterosexual or straight,Men only,Only attracted to males
96610,Heterosexual or straight,I have not had sexual contact,Only attracted to males
77711,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
78667,,,
17020,Heterosexual or straight,Women only,Only attracted to females
48676,Heterosexual or straight,Men only,Only attracted to males
29885,Heterosexual or straight,Women only,Only attracted to females
79167,Heterosexual or straight,Men only,Only attracted to males
65061,,,
43710,Heterosexual or straight,Men only,Only attracted to males
22455,Heterosexual or straight,Men only,Only attracted to males
82819,,,
67771,,,
57443,Heterosexual or straight,Men only,Only attracted to males
96469,Heterosexual or straight,I have not had sexual contact,Only attracted to males
94579,Heterosexual or straight,Men only,Only attracted to males
29257,Heterosexual or straight,Women only,Only attracted to females
23518,Heterosexual or straight,Men only,Only attracted to males
80484,,,
49539,Heterosexual or straight,Women only,Only attracted to females
63904,Heterosexual or straight,I have not had sexual contact,Only attracted to males
82490,Heterosexual or straight,Women only,Only attracted to females
20335,Heterosexual or straight,Women only,Only attracted to females
35031,Heterosexual or straight,Men only,Only attracted to males
88185,,,
35344,Heterosexual or straight,Men only,Mostly attracted to males
31175,,,
41167,,,
98325,,,
