egoid,SelfEsteem_1_8,SelfEsteem_2_8,SelfEsteem_3_8,SelfEsteem_4_8,SelfEsteem_5_8,SelfEsteem_6_8,SelfEsteem_7_8,SelfEsteem_8_8,SelfEsteem_9_8,SelfEsteem_10_8,SelfEsteem_8,lonely_1_8,lonely_2_8,lonely_3_8,lonely_4_8,lonely_5_8,lonely_6_8,lonely_7_8,lonely_8_8,lonely_9_8,lonely_10_8,lonely_11_8,lonely_12_8,lonely_13_8,lonely_14_8,lonely_15_8,selsa_rom_8,selsa_fam_8,selsa_soc_8,Trust_1_8,Trust_2_8,Trust_3_8,Trust_4_8,Trust_5_8,Trust_6_8,Trust_8,SelfReg_1_8,SelfReg_3_8,SelfReg_4_8,SelfReg_5_8,SelfReg_6_8,SelfReg_7_8,SelfReg_8_8,SelfReg_9_8,SelfReg_10_8,SelfReg_11_8,SelfReg_12_8,SelfReg_13_8,selfreg_scale_8
44873,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,40.0,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,0.45933676,0.25658196,0.36117449,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Agree,Agree,3.3333333,Neither Agree nor Disagree,Neither Agree nor Disagree,,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,2.4545455
36540,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
14527,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
83005,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,33.0,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Disagree,Agree,Agree,0.94601363,-0.2740688,-0.32390869,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Agree,Neither Agree or Disagree,Agree,3.5,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Disagree,3.0
31439,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
21899,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
29232,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
32249,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
45375,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
25536,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
