egoid,SelfEsteem_1_3,SelfEsteem_2_3,SelfEsteem_3_3,SelfEsteem_4_3,SelfEsteem_5_3,SelfEsteem_6_3,SelfEsteem_7_3,SelfEsteem_8_3,SelfEsteem_9_3,SelfEsteem_10_3,SelfEsteem_3,SelfReg_Exercise_1_3,SelfReg_Exercise_2_3,SelfReg_Exercise_3_3,SelfReg_Exercise_4_3,SelfReg_Exercise_5_3,SelfReg_Exercise_6_3,SelfReg_Exercise_7_3,SelfReg_Exercise_8_3,SelfReg_Exercise_9_3,SelfReg_Exercise_10_3,SelfReg_Exercise_11_3,SelfReg_Exercise_12_3,SelfReg_Exercise_13_3,SelfReg_Exercise_14_3,SelfReg_Exercise_15_3,SelfReg_Exercise_16_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,SRQE_RAI_3,lonely_1_3,lonely_2_3,lonely_3_3,lonely_4_3,lonely_5_3,lonely_6_3,lonely_7_3,lonely_8_3,lonely_9_3,lonely_10_3,lonely_11_3,lonely_12_3,lonely_13_3,lonely_14_3,lonely_15_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,SelfReg_1_3,SelfReg_3_3,SelfReg_4_3,SelfReg_5_3,SelfReg_6_3,SelfReg_7_3,SelfReg_8_3,SelfReg_9_3,SelfReg_10_3,SelfReg_11_3,SelfReg_12_3,SelfReg_13_3,selfreg_scale_3
73962,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0,6,2,2,Somewhat true,Somewhat true,2,2,5,6,3,2,6,6,Somewhat true,6,5,2.5,3.5,5.25,4.0,4.75,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,0.92028767,-0.01462214,0.27183545,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,2.6666667
48969,Strongly Disagree,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly agree,Strongly Disagree,14.0,Not at all true,Not at all true,Very true,Very true,Very true,Not at all true,Not at all true,Not at all true,Very true,Very true,Not at all true,Very true,Not at all true,Not at all true,Very true,Very true,1.0,2.5,7.0,5.5,13.5,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,0.86484128,1.1709918,5.1212873,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,1.5833334
22093,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,1.5,3.0,5.75,5.25,9.25,,,,,,,,,,,,,,,,0.43409356,-0.39216432,-0.19562168,,,,,,,,,,,,,2.1666667
32919,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,1.5,3.0,5.75,5.25,9.25,,,,,,,,,,,,,,,,0.43409356,-0.39216432,-0.19562168,,,,,,,,,,,,,2.1666667
10153,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,48.0,2,Not at all true,Very true,2,6,Not at all true,Not at all true,Very true,Very true,Very true,Not at all true,Very true,Somewhat true,Not at all true,Very true,Very true,1.0,2.0,6.75,7.0,16.75,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,0.78559887,-0.62681741,-0.75272268,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,2.0833333
79731,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,30.0,3,2,Not at all true,2,2,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,2,3,2,2,1.75,1.75,1.5,1.25,-1.25,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1.1512036,0.78737932,-0.75584453,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,3.5
63611,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,1.5,3.0,5.75,5.25,9.25,,,,,,,,,,,,,,,,0.43409356,-0.39216432,-0.19562168,,,,,,,,,,,,,2.1666667
64296,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,44.0,3,Not at all true,6,2,5,2,Not at all true,5,6,5,Not at all true,5,Not at all true,2,5,5,1.25,1.5,5.25,5.25,11.75,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,-1.1163806,0.25528505,0.30918491,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,2.8333333
23487,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,1.5,3.0,5.75,5.25,9.25,,,,,,,,,,,,,,,,0.43409356,-0.39216432,-0.19562168,,,,,,,,,,,,,2.1666667
17569,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,43.0,Somewhat true,Not at all true,6,Not at all true,2,Not at all true,Not at all true,3,5,Very true,Not at all true,2,3,Not at all true,2,5,1.0,1.5,3.5,4.5,9.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.70264435,-0.6017943,-0.87708026,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,2.1666667
