egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
47142,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
69217,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Always
69009,,,,,,,,
84390,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
74845,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month,Frequently,Frequently
90905,,,,,,,,
39659,,,,,,,,
62072,,,,,,,,
60396,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Always,Frequently
61084,,,,,,,,
92412,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
92038,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
33388,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more,Frequently,Occasionally
31717,,,,,,,,
18324,,,,,,,,
86440,1-2 times a month,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
95585,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Occasionally
29792,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
14737,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Occasionally
28223,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
85708,,,,,,,,
55452,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,
20179,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
78339,,,,,,,,
23696,,,,,,,,
28653,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Occasionally
84715,,,,,,,,
95559,Not at all,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
30152,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,
68764,,,,,,,,
60367,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,,
36939,,,,,,,,
59592,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
22897,,,,,,,,
89652,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
28724,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
92895,,,,,,,,
69831,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
59178,,,,,,,,
50072,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
44927,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
71894,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Never
76790,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more,,
78428,,,,,,,,
66676,,,,,,,,
95930,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
70962,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Always
12738,,,,,,,,
29647,,,,,,,,
27111,,,,,,,,
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
58219,,,,,,,,
28377,,,,,,,,
80177,,,,,,,,
18677,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Always
66047,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Always,Frequently
58682,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
81199,,,,,,,,
85679,,,,,,,,
79834,1-2 times a month,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Frequently,Occasionally
93471,,,,,,,,
19538,,,,,,,,
14595,,,,,,,,
38052,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Frequently
33133,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Never,
40021,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
27141,,,,,,,,
93858,,,,,,,,
47810,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
58196,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Never,
42773,,,,,,,,
72152,,,,,,,,
76663,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
48224,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
30137,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
68318,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Never
62246,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
69496,,,,,,,,
61028,,,,,,,,
55424,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
17581,,,,,,,,
23576,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
57842,,,,,,,,
17522,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Frequently,Frequently
55685,,,,,,,,
74079,,,,,,,,
97833,,,,,,,,
11992,,,,,,,,
93485,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
34402,,,,,,,,
62617,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Always
42137,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
37305,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
48013,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
44447,,,,,,,,
14571,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
69057,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Three times a week or more,Occasionally,Frequently
49125,,,,,,,,
66629,,,,,,,,
83542,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
18222,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Always
39738,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
26858,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
70552,,,,,,,,
38826,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Occasionally
93504,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
64232,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
37404,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
