egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
12029,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Occasionally
70745,Not at all,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Never
43255,,,,,,,,
93856,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Always
10237,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
97448,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Frequently,Frequently
43603,,,,,,,,
86974,,,,,,,,
89165,,,,,,,,
97280,,,,,,,,
54098,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
66156,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
67177,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Always
22540,,,,,,,,
70668,,,,,,,,
15586,,,,,,,,
27232,,,,,,,,
18611,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Always
87328,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Never
88963,,,,,,,,
61756,,,,,,,,
57045,,,,,,,,
49497,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,1-2 times a month,Three times a week or more,Always,Always
15031,,,,,,,,
79607,,,,,,,,
41952,,,,,,,,
17183,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Always,Frequently
22408,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
54435,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
38554,,,,,,,,
38293,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Occasionally
33785,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
44310,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
33009,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
31294,,,,,,,,
65143,,,,,,,,
91726,,,,,,,,
59355,,,,,,,,
96184,,,,,,,,
92339,,,,,,,,
70005,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
64157,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Always
68050,,,,,,,,
46151,,,,,,,,
79395,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Always
59863,Not at all,1-2 times a week,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Occasionally
63419,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
22913,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Frequently
91313,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
14511,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
73962,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
48969,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Never
22093,,,,,,,,
32919,,,,,,,,
10153,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
79731,,,,,,,,
63611,,,,,,,,
64296,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
23487,,,,,,,,
17569,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Always
77036,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Never
53518,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month,Three times a week or more,Occasionally,Always
92340,,,,,,,,
37485,,,,,,,,
33953,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all,Frequently,Frequently
53333,,,,,,,,
82986,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Always
61772,,,,,,,,
47280,,,,,,,,
70566,,,,,,,,
82964,,,,,,,,
11402,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
38610,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Never,
96610,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Always
77711,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all,Always,Frequently
48505,,,,,,,,
78667,,,,,,,,
17020,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month,Always,Always
48676,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
29885,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Never,
32976,,,,,,,,
79167,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Always
65061,,,,,,,,
43710,Not at all,Not at all,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Frequently
61389,,,,,,,,
22455,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Occasionally
82819,,,,,,,,
67771,,,,,,,,
57443,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Frequently,Always
96469,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Never
94579,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
29257,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Never,
23518,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
80484,,,,,,,,
49539,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
63904,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Never
82490,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
20335,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
35031,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Occasionally,Occasionally
88185,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
35344,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
31175,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
41167,,,,,,,,
98325,Not at all,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Never
36963,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Always,Always
50666,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Frequently,Always
98624,,,,,,,,
42617,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Never
58793,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Never,
25125,,,,,,,,
25548,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Never,
25966,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
95444,,,,,,,,
96689,,,,,,,,
22587,,,,,,,,
43581,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
75578,,,,,,,,
43507,,,,,,,,
91551,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Never
30676,,,,,,,,
19030,,,,,,,,
33657,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
76521,,,,,,,,
52848,,,,,,,,
40231,,,,,,,,
65656,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Always
30610,,,,,,,,
36117,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Never,
82587,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
14690,,,,,,,,
40569,,,,,,,,
97021,,,,,,,,
26320,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month,Frequently,Always
77532,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
92515,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
97844,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Frequently,Always
81647,,,,,,,,
33127,,,,,,,,
45958,,,,,,,,
49790,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Never,
74251,,,,,,,,
28326,,,,,,,,
20507,,,,,,,,
71592,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Occasionally
15181,Not at all,1-2 times a month,Not at all,Not at all,Not at all,1-2 times a week,Never,
70209,,,,,,,,
78657,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Always
21887,,,,,,,,
48154,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Occasionally,Frequently
92953,,,,,,,,
90192,,,,,,,,
51495,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
34344,,,,,,,,
21793,,,,,,,,
37218,,,,,,,,
17932,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
95026,1-2 times a week,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more,Frequently,Never
66800,Not at all,1-2 times a week,Not at all,Not at all,Not at all,Not at all,Frequently,Always
73693,,,,,,,,
80429,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Frequently
75149,,,,,,,,
61659,,,,,,,,
81420,,,,,,,,
33740,,,,,,,,
37979,,,,,,,,
87192,,,,,,,,
67709,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
36552,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
14301,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
36384,,,,,,,,
63138,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Frequently
51298,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
74632,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
16654,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Always
54394,,,,,,,,
84768,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Occasionally,Always
29134,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Occasionally
24029,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
35361,,,,,,,,
87056,,,,,,,,
49086,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Always,Frequently
67917,,,,,,,,
85503,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more,Always,Occasionally
60008,,,,,,,,
66542,,,,,,,,
55881,,,,,,,,
86265,,,,,,,,
10732,,,,,,,,
22119,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Always,Always
50797,,,,,,,,
39564,,,,,,,,
39285,,,,,,,,
22460,,,,,,,,
25172,Not at all,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more,Occasionally,Occasionally
77134,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Frequently
22143,,,,,,,,
93766,,,,,,,,
45097,,,,,,,,
26289,,,,,,,,
95490,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
66979,,,,,,,,
23253,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
12900,,,,,,,,
90079,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Always
47584,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Always
97990,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
39248,,,,,,,,
29354,,,,,,,,
25743,,,,,,,,
91429,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
82269,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
22842,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Never
31311,,,,,,,,
32423,,,,,,,,
33084,,,,,,,,
14279,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Never,
91932,,,,,,,,
32404,,,,,,,,
73577,,,,,,,,
70561,,,,,,,,
43177,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Always,Always
36501,,,,,,,,
26857,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Never
28327,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
42674,,,,,,,,
79897,,,,,,,,
64978,,,,,,,,
70434,,,,,,,,
52302,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Occasionally
97050,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
46418,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Never,
86691,,,,,,,,
93002,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Never
81930,,,,,,,,
56543,,,,,,,,
92618,,,,,,,,
17470,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Never
74211,,,,,,,,
35180,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
89142,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
24898,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Always
74413,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Never
38824,,,,,,,,
51723,,,,,,,,
79352,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Occasionally,Always
30814,,,,,,,,
90502,,,,,,,,
94456,,,,,,,,
70661,,,,,,,,
50976,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Never,
55533,,,,,,,,
12156,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Occasionally,Occasionally
76485,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Never
33239,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Never,
72570,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,,
67574,Not at all,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more,Always,Always
42231,,,,,,,,
44639,,,,,,,,
64072,,,,,,,,
84960,,,,,,,,
43809,,,,,,,,
27941,,,,,,,,
31033,,,,,,,,
39301,,,,,,,,
10469,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
77789,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
47024,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Frequently
88582,,,,,,,,
73897,,,,,,,,
83470,,,,,,,,
67015,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Frequently,Frequently
26272,,,,,,,,
21909,,,,,,,,
88882,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Never,
62510,,,,,,,,
96828,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
64406,,,,,,,,
31985,,,,,,,,
91337,,,,,,,,
87664,,,,,,,,
19245,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Always,Always
83748,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
49915,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Occasionally,Occasionally
51865,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Always,Frequently
78407,,,,,,,,
93787,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
52621,,,,,,,,
38914,,,,,,,,
37594,,,,,,,,
19833,,,,,,,,
17270,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Frequently
40864,,,,,,,,
38313,,,,,,,,
55340,,,,,,,,
18707,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
73807,,,,,,,,
26718,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Never
63347,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Always
35824,,,,,,,,
48826,,,,,,,,
11454,,,,,,,,
93246,,,,,,,,
75341,,,,,,,,
35925,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
