egoid,major1rc_4,major2rc_4,majorevent_4
44869,507.0,225.36496350364965,no
43516,332.4506666666667,225.36496350364965,
89411,332.4506666666667,225.36496350364965,
74285,332.4506666666667,225.36496350364965,
56527,332.4506666666667,225.36496350364965,
16819,332.4506666666667,225.36496350364965,
34591,109.0,128.0,no
89972,332.4506666666667,225.36496350364965,
92552,305.0,225.36496350364965,no
73158,306.0,225.36496350364965,no
45963,503.0,225.36496350364965,no
22138,507.0,110.0,no
90136,332.4506666666667,225.36496350364965,
46744,332.4506666666667,225.36496350364965,
77941,302.0,225.36496350364965,no
44873,332.4506666666667,225.36496350364965,no
36540,332.4506666666667,225.36496350364965,
14527,332.4506666666667,225.36496350364965,
83005,131.0,225.36496350364965,no
31439,501.0,225.36496350364965,no
21899,332.4506666666667,225.36496350364965,
29232,332.4506666666667,225.36496350364965,
32249,403.0,404.0,no
45375,332.4506666666667,225.36496350364965,
25536,332.4506666666667,225.36496350364965,
32037,332.4506666666667,225.36496350364965,
90476,332.4506666666667,225.36496350364965,
46558,301.0,225.36496350364965,no
24016,128.0,109.0,no
52277,332.4506666666667,225.36496350364965,
93699,401.0,225.36496350364965,no
36875,406.0,225.36496350364965,no
84011,503.0,225.36496350364965,no
90646,309.0,225.36496350364965,yes
88008,303.0,225.36496350364965,no
88967,332.4506666666667,225.36496350364965,
46701,332.4506666666667,225.36496350364965,
83566,134.0,225.36496350364965,no
21090,305.0,225.36496350364965,no
69419,332.4506666666667,225.36496350364965,
87032,200.0,225.36496350364965,yes
94641,305.0,125.0,no
82728,510.0,104.0,no
45076,403.0,131.0,no
58437,309.0,225.36496350364965,no
94862,403.0,506.0,no
14606,304.0,225.36496350364965,no
64075,404.0,225.36496350364965,no
39787,307.0,225.36496350364965,no
82376,332.4506666666667,225.36496350364965,
44872,507.0,135.0,no
87783,404.0,125.0,no
22199,332.4506666666667,225.36496350364965,
47498,332.4506666666667,225.36496350364965,
57325,503.0,123.0,no
53776,332.4506666666667,225.36496350364965,
58633,309.0,225.36496350364965,yes
27306,507.0,225.36496350364965,no
80607,332.4506666666667,225.36496350364965,
73143,332.4506666666667,225.36496350364965,
35797,332.4506666666667,225.36496350364965,
46365,511.0,225.36496350364965,no
30596,332.4506666666667,225.36496350364965,
31045,332.4506666666667,225.36496350364965,
74492,511.0,514.0,yes
76791,103.0,225.36496350364965,no
21348,332.4506666666667,225.36496350364965,
23287,332.4506666666667,225.36496350364965,no
14763,332.4506666666667,225.36496350364965,
22066,332.4506666666667,225.36496350364965,
64058,332.4506666666667,225.36496350364965,
28247,200.0,225.36496350364965,no
72873,332.4506666666667,225.36496350364965,
67544,332.4506666666667,225.36496350364965,
76810,332.4506666666667,225.36496350364965,
51760,306.0,225.36496350364965,no
72806,109.0,225.36496350364965,no
98766,403.0,112.0,no
23042,332.4506666666667,225.36496350364965,
60997,309.0,225.36496350364965,no
36038,110.0,129.0,no
39146,503.0,225.36496350364965,no
60963,304.0,225.36496350364965,no
67918,303.0,225.36496350364965,no
34467,507.0,225.36496350364965,no
42132,332.4506666666667,225.36496350364965,
41268,332.4506666666667,225.36496350364965,
90692,102.0,109.0,no
32668,130.0,109.0,no
24079,332.4506666666667,225.36496350364965,
59673,303.0,225.36496350364965,no
74899,509.0,225.36496350364965,no
48891,332.4506666666667,225.36496350364965,
81807,332.4506666666667,225.36496350364965,
77187,332.4506666666667,225.36496350364965,
91176,332.4506666666667,225.36496350364965,
22292,332.4506666666667,225.36496350364965,
35011,406.0,128.0,no
76785,332.4506666666667,225.36496350364965,
60903,332.4506666666667,225.36496350364965,
10115,332.4506666666667,225.36496350364965,
35416,309.0,225.36496350364965,yes
89710,132.0,128.0,no
97596,405.0,100.0,yes
39129,332.4506666666667,225.36496350364965,no
57359,503.0,225.36496350364965,no
17308,503.0,225.36496350364965,no
51851,403.0,225.36496350364965,no
35855,332.4506666666667,225.36496350364965,
67334,332.4506666666667,225.36496350364965,
60230,332.4506666666667,225.36496350364965,
77838,403.0,225.36496350364965,no
37371,332.4506666666667,225.36496350364965,
57292,332.4506666666667,225.36496350364965,
66406,332.4506666666667,225.36496350364965,
90447,332.4506666666667,225.36496350364965,
56798,128.0,225.36496350364965,no
28827,332.4506666666667,225.36496350364965,
23115,332.4506666666667,225.36496350364965,
77872,304.0,225.36496350364965,no
43114,302.0,225.36496350364965,no
72348,507.0,225.36496350364965,no
15707,332.4506666666667,225.36496350364965,
45776,332.4506666666667,225.36496350364965,
63122,332.4506666666667,225.36496350364965,
27169,332.4506666666667,225.36496350364965,
89607,305.0,225.36496350364965,no
59900,511.0,225.36496350364965,yes
28254,309.0,106.0,no
56480,309.0,225.36496350364965,yes
11128,332.4506666666667,225.36496350364965,
47886,332.4506666666667,225.36496350364965,
28820,309.0,225.36496350364965,no
35347,403.0,109.0,no
45641,302.0,507.0,no
25369,332.4506666666667,225.36496350364965,
64572,306.0,225.36496350364965,no
31538,503.0,225.36496350364965,no
73452,302.0,129.0,no
51475,129.0,134.0,no
28312,403.0,501.0,no
13486,405.0,403.0,no
56805,303.0,225.36496350364965,no
57697,332.4506666666667,225.36496350364965,
54837,332.4506666666667,225.36496350364965,
29718,131.0,225.36496350364965,no
26800,401.0,501.0,no
