egoid,sexorientation_8,sexcontacttype_8,sexattracttype_8
95543,Heterosexual or straight,I have not had sexual contact,Only attracted to females
21380,Heterosexual or straight,Women only,Only attracted to females
67106,,,
25495,Heterosexual or straight,Women only,Only attracted to females
26581,,,
66642,,,
83612,Heterosexual or straight,I have not had sexual contact,Only attracted to males
63954,,,
20665,,,
19122,,,
99978,Heterosexual or straight,Women only,Only attracted to females
92566,Bisexual,Men only,Mostly attracted to males
39414,,,
35987,,,
66655,,,
10547,,,
46373,,,
79341,,,
19591,,,
83536,,,
66682,,,
88337,,,
67608,Heterosexual or straight,I have not had sexual contact,Only attracted to females
19735,,,
42513,,,
64595,,,
85134,,,
51952,,,
28837,,,
46266,,,
61289,,,
18743,,,
13647,Heterosexual or straight,I have not had sexual contact,Only attracted to females
59207,Heterosexual or straight,Women only,Only attracted to females
48946,,,
86083,,,
96613,,,
49014,,,
50766,,,
71089,Bisexual,Women only,Equally attracted to females and males
80980,,,
29115,,,
98462,Heterosexual or straight,I have not had sexual contact,Only attracted to females
94455,,,
11148,,,
88384,,,
60904,,,
64302,Heterosexual or straight,I have not had sexual contact,Only attracted to females
51882,,,
54200,,,
22688,,,
38815,,,
34525,,,
68404,,,
71836,,,
12748,,,
33445,,,
83078,,,
72160,,,
55569,,,
72885,Bisexual,Women only,Mostly attracted to females
47006,,,
36574,,,
71193,Heterosexual or straight,Women only,Only attracted to females
44070,,,
49010,,,
98760,,,
95374,,,
71985,,,
43125,,,
98117,Heterosexual or straight,Women only,Only attracted to females
22989,,,
24883,Heterosexual or straight,Both men and women,Only attracted to females
65068,,,
20650,Heterosexual or straight,Women only,Only attracted to females
19460,,,
66815,Heterosexual or straight,I have not had sexual contact,Only attracted to females
89161,,,
54956,,,
14847,Bisexual,Both men and women,Not sure
85453,,,
19827,,,
31121,,,
38683,,,
82918,,,
43382,,,
44344,,,
94215,Heterosexual or straight,Women only,Only attracted to females
80675,,,
57144,,,
94662,,,
98700,Heterosexual or straight,Men only,Only attracted to males
44675,,,
33341,,,
37396,,,
65072,,,
37148,,,
11910,,,
75438,,,
99733,Heterosexual or straight,Men only,Only attracted to males
27407,Heterosexual or straight,I have not had sexual contact,Only attracted to females
14250,,,
43794,Heterosexual or straight,Men only,Only attracted to males
73918,Heterosexual or straight,Men only,Only attracted to males
60216,,,
28681,,,
51437,Heterosexual or straight,Men only,Only attracted to males
21932,Heterosexual or straight,I have not had sexual contact,Only attracted to females
29733,,,
98206,,,
36385,,,
26651,,,
54030,,,
67993,,,
96543,,,
49800,Heterosexual or straight,Men only,Only attracted to males
29296,,,
11002,,,
72850,,,
15134,,,
69124,,,
42531,,,
34062,Heterosexual or straight,Men only,Only attracted to males
18111,,,
42646,Heterosexual or straight,Men only,Only attracted to males
63922,,,
59097,,,
72912,,,
91484,,,
24833,,,
21971,Heterosexual or straight,Men only,Only attracted to males
58654,,,
13928,,,
84502,Heterosexual or straight,Men only,Only attracted to males
64090,,,
52123,,,
78783,,,
25197,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
35872,,,
93462,,,
23270,Heterosexual or straight,I have not had sexual contact,Only attracted to males
69807,,,
92716,,,
66061,,,
56058,,,
57854,,,
68679,,,
90750,,,
70125,,,
67192,,,
12029,,,
