egoid,SelfEsteem_1_7,SelfEsteem_2_7,SelfEsteem_3_7,SelfEsteem_4_7,SelfEsteem_5_7,SelfEsteem_6_7,SelfEsteem_7_7,SelfEsteem_8_7,SelfEsteem_9_7,SelfEsteem_10_7,SelfEsteem_7
72806,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,48.0
98766,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
60997,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,31.0
36038,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,24.0
39146,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,40.0
60963,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.0
67918,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0
34467,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,45.0
42132,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.0
32668,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
24079,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,30.666666666666668
59673,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
74899,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.66666666666666
48891,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,42.333333333333336
81807,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,33.0
77187,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.0
91176,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,26.0
35011,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
60903,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.333333333333336
35416,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,24.0
89710,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,32.0
97596,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,38.0
39129,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31.33333333333333
57359,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,33.0
17308,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,39.0
51851,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.0
35855,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,40.66666666666666
67334,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,19.0
60230,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.333333333333336
77838,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.333333333333336
57292,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.66666666666666
66406,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,44.333333333333336
56798,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.333333333333336
23115,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,32.0
77872,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,44.0
43114,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.333333333333336
72348,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,35.0
45776,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.66666666666666
63122,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.333333333333336
27169,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,46.0
89607,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,39.0
59900,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,33.0
28254,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,32.333333333333336
56480,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.66666666666666
11128,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
47886,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,43.333333333333336
28820,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31.666666666666668
35347,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
45641,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,29.33333333333333
64572,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,40.0
31538,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31.33333333333333
73452,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
51475,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.0
28312,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,34.0
13486,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
56805,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
57697,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.0
54837,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,44.0
29718,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
26800,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,49.0
60493,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,31.0
52051,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.66666666666666
30972,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.0
47142,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
69217,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
69009,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,43.333333333333336
84390,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.0
74845,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,45.0
90905,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.66666666666666
39659,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.66666666666666
60396,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,37.0
61084,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,30.33333333333333
92412,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,46.0
92038,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,48.0
33388,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,32.666666666666664
31717,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
86440,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,43.0
95585,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,45.0
29792,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,37.0
14737,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,37.0
28223,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
55452,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.333333333333336
20179,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31.33333333333333
23696,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.0
28653,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,40.0
84715,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
95559,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
30152,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,40.0
68764,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.666666666666664
60367,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,44.0
36939,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.333333333333336
59592,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,35.0
22897,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,41.0
89652,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,37.0
28724,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
92895,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.66666666666666
69831,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.333333333333336
59178,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,42.0
50072,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,29.0
44927,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,38.0
71894,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,25.0
76790,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
66676,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,34.0
95930,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,41.0
70962,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0
12738,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,45.0
27111,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
30453,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,30.0
80177,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
18677,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,35.0
66047,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
58682,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,35.0
79834,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,42.0
93471,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.0
19538,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
38052,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
33133,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,30.666666666666668
40021,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.66666666666666
27141,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.66666666666666
93858,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.66666666666666
47810,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,37.0
58196,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,43.0
42773,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
76663,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
48224,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.333333333333336
30137,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,47.0
68318,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Agree,42.0
62246,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,40.0
61028,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,41.0
55424,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,26.0
17581,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,42.0
23576,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0
17522,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,46.0
97833,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
93485,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,48.0
62617,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,46.0
42137,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,39.0
37305,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
48013,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,30.0
44447,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
14571,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,44.0
69057,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,29.0
66629,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.666666666666664
83542,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,42.0
18222,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,48.0
39738,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
26858,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Disagree,28.0
93504,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.66666666666666
64232,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,43.0
37404,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,38.0
25961,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,33.333333333333336
