egoid,Trust_1_6,Trust_2_6,Trust_3_6,Trust_4_6,Trust_5_6,Trust_6_6,Trust_6,SelfEsteem_1_6,SelfEsteem_2_6,SelfEsteem_3_6,SelfEsteem_4_6,SelfEsteem_5_6,SelfEsteem_6_6,SelfEsteem_7_6,SelfEsteem_8_6,SelfEsteem_9_6,SelfEsteem_10_6,SelfEsteem_6,SelfReg_Exercise_1_6,SelfReg_Exercise_2_6,SelfReg_Exercise_3_6,SelfReg_Exercise_4_6,SelfReg_Exercise_5_6,SelfReg_Exercise_6_6,SelfReg_Exercise_7_6,SelfReg_Exercise_8_6,SelfReg_Exercise_9_6,SelfReg_Exercise_10_6,SelfReg_Exercise_11_6,SelfReg_Exercise_12_6,SelfReg_Exercise_13_6,SelfReg_Exercise_14_6,SelfReg_Exercise_15_6,SelfReg_Exercise_16_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,SRQE_RAI_6,lonely_1_6,lonely_2_6,lonely_3_6,lonely_4_6,lonely_5_6,lonely_6_6,lonely_7_6,lonely_8_6,lonely_9_6,lonely_10_6,lonely_11_6,lonely_12_6,lonely_13_6,lonely_14_6,lonely_15_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,SelfReg_1_6,SelfReg_3_6,SelfReg_4_6,SelfReg_5_6,SelfReg_6_6,SelfReg_7_6,SelfReg_8_6,SelfReg_9_6,SelfReg_10_6,SelfReg_11_6,SelfReg_12_6,SelfReg_13_6,selfreg_scale_6
25743,Agree,Agree,Disagree,Agree,Agree,Agree,3.611111133333333,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,39.0,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,2.4166666666666665,3.8333333333333335,4.583333333333333,4.333333333333333,4.583333333333333,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,-0.2401930006666666,-0.0194715833333333,0.8756791533333335,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.5
91429,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,2.3333333,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,31.0,Somewhat true,Not at all true,Somewhat true,Not at all true,Somewhat true,Not at all true,Not at all true,Somewhat true,Somewhat true,Somewhat true,Not at all true,3,Not at all true,Not at all true,5,6,1.0,1.75,4.25,4.25,9.0,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.5284711,-0.19766901,-0.76628458,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,1.5
82269,Disagree,Agree,Disagree,Agree,Agree,Agree,3.0,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,30.0,5,Somewhat true,3,Somewhat true,5,Somewhat true,Not at all true,5,5,Somewhat true,2,5,Very true,2,5,5,2.25,5.0,5.0,4.25,4.0,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,0.41051307,0.18933028,0.12569369,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,2.8333333
22842,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,32.0,Somewhat true,Not at all true,6,Not at all true,6,Not at all true,Not at all true,6,6,6,Not at all true,6,Somewhat true,Not at all true,5,6,1.0,2.5,6.0,5.75,13.0,Disagree,Disagree,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Somewhat Disagree,0.41272214,-0.31346416,1.2727717,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,2.9166667
31311,Agree,Agree,Disagree,Agree,Agree,Agree,3.2777777666666665,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,39.66666666666666,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,3.25,4.083333333333333,5.083333333333333,3.9166666666666665,2.333333333333333,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.7361968333333332,0.2542494933333333,0.3117117493333333,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.5277777666666665
32423,Agree,Agree,Disagree,Agree,Agree,Agree,3.2777777666666665,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,39.333333333333336,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,2.1666666666666665,2.5,5.666666666666667,5.083333333333333,9.0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.6665514300000001,0.0216829966666666,-0.4426582043333333,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.4166666666666665
33084,Agree,Agree,Disagree,Agree,Agree,Agree,3.2777777666666665,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,37.66666666666666,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,3.1666666666666665,3.6666666666666665,6.083333333333333,6.25,8.583333333333334,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.5224657866666667,0.44318683,0.3684577833333333,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0
14279,Neither Agree nor Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,2.3333333,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,38.0,Somewhat true,Not at all true,5,2,Somewhat true,Not at all true,Not at all true,5,6,5,Not at all true,Somewhat true,Not at all true,Not at all true,Somewhat true,Very true,1.0,2.0,5.25,4.75,10.75,Agree,Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,-1.0244571,1.6247603,0.36136904,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,2.0
91932,Agree,Agree,Disagree,Agree,Agree,Agree,3.7777777333333336,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,43.0,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,2.833333333333333,4.166666666666667,6.083333333333333,6.416666666666667,9.083333333333334,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,-0.1663932033333333,-0.55563271,-0.7571184233333333,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,1.6944444333333333
32404,Agree,Agree,Disagree,Agree,Agree,Agree,2.555555566666667,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,30.666666666666668,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,2.4166666666666665,4.0,5.416666666666667,5.25,7.083333333333333,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,-0.5681702566666668,0.1184539599999999,1.022184055,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.555555566666667
73577,Agree,Agree,Disagree,Agree,Agree,Agree,2.555555566666667,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,32.333333333333336,Somewhat true,Not at all true,5,Somewhat true,5,Not at all true,Not at all true,5,Very true,6,Not at all true,5,Somewhat true,Not at all true,5,Very true,1.1666666666666667,3.0,4.666666666666667,3.5,6.333333333333333,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.7510661000000001,-0.41259574,-0.1840583126666667,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.75
