egoid,degreeintent_2,majorevent_2
44869,"M.D., D.O., D.D.S., or D.V.M.",no
43516,"M.D., D.O., D.D.S., or D.V.M.",no
89411,"Master's Degree (M.A., M.S., MBA, etc.)",no
74285,J.D. (Law),no
56527,"M.D., D.O., D.D.S., or D.V.M.",no
16819,Ph.D or Ed.D.,yes
34591,J.D. (Law),no
89972,"Bachelor's degree (B.A., B.S., etc.)",no
92552,"Bachelor's degree (B.A., B.S., etc.)",yes
73158,"Bachelor's degree (B.A., B.S., etc.)",no
45963,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,Ph.D or Ed.D.,no
46744,"Bachelor's degree (B.A., B.S., etc.)",no
77941,"M.D., D.O., D.D.S., or D.V.M.",yes
44873,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36540,Ph.D or Ed.D.,no
14527,"M.D., D.O., D.D.S., or D.V.M.",no
83005,"Bachelor's degree (B.A., B.S., etc.)",no
31439,"Master's Degree (M.A., M.S., MBA, etc.)",yes
21899,"Bachelor's degree (B.A., B.S., etc.)",yes
29232,Ph.D or Ed.D.,no
32249,"Master's Degree (M.A., M.S., MBA, etc.)",no
45375,"Master's Degree (M.A., M.S., MBA, etc.)",no
25536,"Bachelor's degree (B.A., B.S., etc.)",no
32037,"Master's Degree (M.A., M.S., MBA, etc.)",no
90476,"M.D., D.O., D.D.S., or D.V.M.",no
46558,"Master's Degree (M.A., M.S., MBA, etc.)",no
24016,J.D. (Law),no
52277,Ph.D or Ed.D.,no
93699,"Master's Degree (M.A., M.S., MBA, etc.)",no
36875,J.D. (Law),no
84011,Ph.D or Ed.D.,no
90646,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,"Bachelor's degree (B.A., B.S., etc.)",no
88967,"Master's Degree (M.A., M.S., MBA, etc.)",no
83566,"Master's Degree (M.A., M.S., MBA, etc.)",no
21090,"Bachelor's degree (B.A., B.S., etc.)",no
69419,"M.D., D.O., D.D.S., or D.V.M.",no
87032,Ph.D or Ed.D.,yes
94641,Ph.D or Ed.D.,yes
82728,"M.D., D.O., D.D.S., or D.V.M.",no
45076,"Master's Degree (M.A., M.S., MBA, etc.)",no
58437,"Master's Degree (M.A., M.S., MBA, etc.)",yes
94862,"Master's Degree (M.A., M.S., MBA, etc.)",no
14606,"M.D., D.O., D.D.S., or D.V.M.",no
64075,"M.D., D.O., D.D.S., or D.V.M.",yes
39787,Ph.D or Ed.D.,no
82376,"Master's Degree (M.A., M.S., MBA, etc.)",no
44872,Ph.D or Ed.D.,no
22199,Ph.D or Ed.D.,yes
57325,Ph.D or Ed.D.,no
53776,"Bachelor's degree (B.A., B.S., etc.)",no
58633,J.D. (Law),no
27306,"Master's Degree (M.A., M.S., MBA, etc.)",no
80607,Ph.D or Ed.D.,no
73143,"Master's Degree (M.A., M.S., MBA, etc.)",no
35797,"Bachelor's degree (B.A., B.S., etc.)",no
46365,Ph.D or Ed.D.,no
30596,Ph.D or Ed.D.,no
74492,"Master's Degree (M.A., M.S., MBA, etc.)",no
76791,"Bachelor's degree (B.A., B.S., etc.)",no
21348,"Master's Degree (M.A., M.S., MBA, etc.)",no
23287,"Bachelor's degree (B.A., B.S., etc.)",no
14763,J.D. (Law),yes
22066,"Bachelor's degree (B.A., B.S., etc.)",no
28247,"Bachelor's degree (B.A., B.S., etc.)",no
72873,"Master's Degree (M.A., M.S., MBA, etc.)",no
67544,"M.D., D.O., D.D.S., or D.V.M.",no
51760,Ph.D or Ed.D.,no
