egoid,SelfEsteem_2,Trust_2,SRQE_Ext_2,SRQE_Introj_2,SRQE_Ident_2,SRQE_Intrin_2,selsa_rom_2,selsa_fam_2,selsa_soc_2,SelfEff_exercise_scale_2,SelfEff_diet_scale_2,selfreg_scale_2
44869,44.0,2.8333333,1.0,2.0,6.25,5.25,0.84063095,-0.60571218,-0.74703246,43.944443,52.655174,2.1666667
43516,41.0,2.0,1.0,1.0,3.25,2.75,0.77120322,-0.69184309,-0.44906276,35.888889,50.0,2.8333333
89411,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,-0.16320121,-0.16875233,3.6074612,56.51491865819071,52.02052085354523,2.2995934946341463
74285,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,-1.8255408,-0.56626642,-0.68081099,56.51491865819071,52.02052085354523,2.2995934946341463
56527,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,-1.3053631,0.35471112,0.20028768,56.51491865819071,52.02052085354523,2.2995934946341463
16819,47.0,2.3333333,1.0,3.0,6.75,6.75,-1.8255408,-0.56626642,-0.68081099,55.388889,85.620689,1.4166666
34591,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.63716865,0.028678,0.20839469,56.51491865819071,52.02052085354523,2.2995934946341463
89972,35.0,3.1666667,3.0,5.0,5.75,5.25,0.20332244,0.35088512,-0.21980251,40.333332,44.758621,2.5833333
92552,34.0,3.1666667,1.0,2.5,4.75,4.75,-1.3002402,-0.17514327,1.9660178,75.055557,97.827583,1.8333334
73158,40.0,3.6666667,3.25,2.5,3.25,3.0,-1.8465866,-0.69638222,-0.13370256,34.166668,44.0,2.75
45963,26.0,3.6666667,1.75,4.25,5.75,6.0,1.0139711,0.065509573,-0.068807572,59.166668,55.206898,2.9166667
22138,39.0,3.1666667,1.0,2.75,5.5,5.5,0.72093892,-0.80286252,0.072349109,55.888889,47.689655,2.0
46744,36.0,3.1666667,5.75,6.0,5.0,5.0,0.96165335,0.0053403592,0.53602743,46.944443,62.0,2.0
77941,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,-0.24086596,-0.5870266,-0.79955214,56.51491865819071,52.02052085354523,2.2995934946341463
44873,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.19129419,-0.3851364,0.33022285,56.51491865819071,52.02052085354523,2.2995934946341463
36540,49.0,3.5,1.25,1.25,6.25,5.5,0.35538286,-0.53616261,-0.80350965,54.111111,57.620689,1.5833334
14527,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.77719194,-0.6172474,-0.75025052,56.51491865819071,52.02052085354523,2.2995934946341463
83005,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.56786001,0.42784369,-0.539536,56.51491865819071,52.02052085354523,2.2995934946341463
31439,36.0,3.1666667,1.0,4.5,5.0,4.75,-1.9261619,1.3623254,0.21966039,52.111111,37.379311,3.5833333
21899,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.40067154,-0.26079777,2.7137425,56.51491865819071,52.02052085354523,2.2995934946341463
29232,39.0,3.5,1.0,3.5,7.0,6.25,-1.3398679,-0.86114228,1.5050191,87.055557,55.240002,1.1666666
32249,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.66214168,-0.60107142,-0.73144972,56.51491865819071,52.02052085354523,2.2995934946341463
45375,37.0,3.0,1.5,1.0,4.0,5.0,0.90603417,2.0881097,0.19171324,4.4444447,34.448277,3.5
25536,22.0,2.0,1.25,4.25,7.0,6.75,0.51178294,-0.50577629,-0.5088076,65.5,38.0,2.0
32037,48.0,4.0,2.5,1.75,4.5,2.0,-0.87880546,-0.56607556,-0.71869487,56.51491865819071,93.620689,1.4166666
90476,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,-0.4963212,2.1400688,2.5768368,56.51491865819071,52.02052085354523,2.2995934946341463
46558,31.0,3.5,1.5,3.0,3.75,3.25,-1.6446676,-0.16056009,1.3343518,20.777779,17.172413,3.0833333
24016,38.16425120772947,3.1690821258454105,1.7942961165048543,3.0940533980582523,5.524878640776699,5.119538834951456,0.61454594,0.54803282,0.97655988,56.51491865819071,52.02052085354523,2.2995934946341463
52277,34.0,3.8333333,1.75,3.0,5.0,3.25,0.58847159,-0.58705956,-0.78430563,42.333332,48.379311,2.1666667
93699,34.0,3.1666667,3.0,3.0,4.25,3.25,0.36614868,-0.20036303,-0.46754891,10.833333,43.103447,3.0833333
