egoid,SelfEsteem_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,selfreg_scale_3
23696,40.0,1.0,3.75,6.75,6.5,-1.5491638,-0.61177659,-0.68636036,2.0833333
84715,26.0,2.75,4.5,2.25,1.25,1.1717459,-0.65373051,-0.71169752,3.6666667
95559,42.0,2.0,3.25,5.5,5.0,0.60568094,-0.64804548,-0.69404566,2.4166667
30152,35.0,2.25,3.75,5.0,4.25,1.0971926,-0.061791155,1.2828825,2.5
68764,34.0,1.0,3.0,4.5,4.75,-0.87870169,1.5121063,0.97660005,1.8333334
59592,32.0,1.25,2.75,5.25,4.75,0.074221067,0.46862474,0.20911634,2.9166667
22897,36.0,2.5,3.5,5.5,6.25,0.60432655,0.40143582,0.1520558,2.6666667
89652,47.0,1.0,1.0,3.25,3.75,0.69025248,-0.5968188,-0.86847216,2.2727273
69831,39.0,1.0,2.75,5.25,5.25,0.34719923,-0.61617243,-0.81182545,2.1666667
50072,33.0,1.0,2.75,6.0,5.25,0.54737216,-0.578426,-0.90957564,1.9166666
44927,33.0,1.0,3.75,5.75,4.0,-0.15913942,0.24045329,0.30430081,2.0833333
71894,22.0,1.5,3.0,6.0,6.0,0.58518636,2.9919612,0.37265834,3.3333333
76790,49.0,1.0,1.75,4.0,4.0,0.97601312,-0.63360447,-0.78626508,1.3333334
66676,36.0,1.0,2.5,6.75,6.5,0.65650469,-1.2066286,1.8033712,2.1666667
95930,35.0,1.5,2.0,5.0,4.75,-0.11860237,-0.52496248,-0.17459027,2.0833333
70962,43.0,3.25,3.5,2.75,2.5,-1.6957873,0.016961956,-0.87560326,2.8333333
12738,37.0,1.0,2.25,6.0,6.0,0.67507029,1.810375,-0.19032545,1.5
29647,31.0,3.25,3.75,4.75,4.0,0.71933597,1.2085148,0.90499032,2.4166667
30453,30.0,3.75,4.0,4.5,3.75,-0.76468623,1.1011784,1.0212443,2.5833333
28377,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
80177,41.0,1.25,4.0,7.0,7.0,0.73083627,-0.93130255,0.6056906,2.4166667
18677,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
66047,33.0,1.0,2.25,4.5,4.0,0.073468409,5.6068683,-1.4899793,3.5833333
58682,37.0,2.25,3.0,5.5,5.25,0.31040847,-0.40302169,0.094718054,2.1666667
79834,49.0,1.0,2.5,4.0,2.25,0.81905532,-0.56640583,-0.21883419,1.8333334
19538,33.0,1.5,3.25,6.0,4.75,0.7582258,0.36800107,-0.5451445,1.9166666
38052,48.0,1.0,1.5,5.25,4.0,-0.51699364,-0.6962747,-0.40301749,1.6666666
33133,36.0,1.0,1.5,6.5,5.0,0.78803861,0.10584974,0.53893709,2.4166667
40021,40.0,2.5,3.75,5.0,4.75,-1.7303747,0.92465037,-1.0335034,2.75
47810,41.0,2.25,3.75,7.0,7.0,0.85372663,-0.66091716,-0.69732428,2.3333333
58196,46.0,1.0,2.25,6.25,5.5,1.0412574,-0.64031315,-0.76140922,1.25
76663,34.0,1.0,4.25,5.5,5.25,0.89435947,-0.10018652,0.30786148,2.5833333
48224,29.0,1.0,2.5,5.25,5.0,0.054607701,-0.97285819,0.9681983,2.6666667
30137,48.0,2.25,4.25,6.0,6.0,0.80715609,-0.52474725,2.0080769,1.6666666
68318,43.0,1.0,2.75,5.25,4.5,0.96314746,-0.070297383,0.40921441,2.3333333
62246,43.0,1.25,2.75,4.5,4.5,-1.3783535,0.55654562,0.56261504,2.4166667
61028,41.0,1.0,3.0,6.75,6.0,0.78028041,-0.61347842,-0.86083257,2.0833333
55424,31.0,5.5,6.5,5.5,7.0,-1.4160917,1.8690401,3.286849,2.1666667
23576,46.0,2.0,4.0,5.25,6.25,0.85041469,0.23287587,0.22157057,1.75
57842,39.0,1.25,3.5,5.75,4.25,0.55817842,-0.61207026,-0.78077769,2.1666667
17522,46.0,1.0,2.75,7.0,6.0,-0.072651476,-0.61227202,-0.77174014,1.5833334
97833,37.0,2.5,4.25,6.0,4.75,0.25661737,0.31700149,-1.1035826,2.6666667
62617,45.0,1.0,2.25,6.0,5.25,-1.6999776,-0.60923529,-0.69704527,1.6666666
42137,39.0,1.0,3.5,6.25,5.25,0.6408518,-0.19853459,1.0189736,2.6666667
48013,29.0,2.0,3.75,6.75,6.5,0.66190368,3.2766407,-1.9789187,3.1666667
14571,48.0,1.25,1.75,5.5,4.5,1.0051683,0.12401129,-0.053284902,1.75
69057,35.0,2.5,4.25,6.5,5.75,-0.62578809,-0.59441924,0.80229014,3.5833333
66629,47.0,1.0,1.0,5.5,4.0,0.80510545,1.4992899,-0.074976839,2.6666667
18222,39.0,1.0,1.5,6.25,4.25,0.63840103,-0.39216432,0.05214389,2.0
39738,41.0,1.25,2.25,6.5,4.75,-1.7220697,0.058139887,1.6289287,2.75
26858,35.0,1.0,3.25,7.0,7.0,-1.6999776,-0.60923529,-0.69704527,1.75
70552,37.0,1.0,1.5,5.5,4.0,-1.4472026,-0.59533995,-0.73627436,3.25
38826,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
93504,33.0,1.0,1.75,7.0,7.0,0.071109563,1.1119885,-0.12501939,2.5833333
64232,37.0,1.5,3.0,5.75,4.5,0.5621925,-0.86096019,0.94687003,2.0
37404,36.0,1.0,3.25,5.25,4.0,-0.034184504,1.0946653,0.13090248,2.25
87330,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
92028,25.0,1.25,3.75,6.25,5.25,-1.7606665,-0.026428562,0.43671292,3.6666667
28824,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
11482,32.0,1.25,2.25,5.75,5.0,-0.15992832,1.1823927,0.74644959,2.5833333
70492,40.0,1.0,3.0,6.5,5.75,1.0412574,-0.64031315,-0.76140922,2.8333333
95543,47.0,1.0,2.75,5.0,5.0,0.53518927,0.42167211,-1.0167997,2.9166667
21380,41.0,2.25,3.75,4.5,5.0,0.43313742,-0.61109817,0.22365703,2.1666667
67106,41.0,1.0,1.0,3.0,3.25,-1.7192812,-0.70844293,-0.35541305,2.0833333
25495,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
83612,33.0,3.25,4.75,5.0,3.75,0.76785886,-0.20421113,0.36181033,2.9166667
19122,37.0,1.0,1.25,5.5,5.25,0.98056859,-0.057506442,0.37234893,3.0833333
99978,49.0,1.5,4.75,7.0,7.0,-1.6999776,-0.60923529,-0.69704527,2.0
39414,31.0,1.0,4.0,6.0,4.75,-0.49458596,-0.059868544,-0.27779552,1.8333334
35987,30.0,4.0,4.0,4.0,4.0,-0.4451786,1.9478321,2.393703,3.0
66655,39.0,2.5,2.5,4.75,4.0,0.35246494,1.3194017,-0.89155453,2.5
46373,49.0,2.0,3.25,6.0,4.0,-1.5491638,-0.61177659,-0.68636036,2.6666667
79341,36.0,1.0,3.25,5.0,4.25,0.47907388,-0.2706742,1.1846744,1.9166666
19591,44.0,1.75,3.25,6.75,6.75,0.46933687,-0.16302748,-1.0472798,2.25
83536,43.0,1.0,2.0,6.5,6.0,0.56421167,-0.45813113,0.32009876,2.4166667
66682,49.0,1.25,1.75,5.25,5.5,0.76778477,0.53544855,-1.1572582,1.5833334
67608,41.0,1.0,2.75,7.0,6.25,0.046301194,-0.60156751,-0.8420108,1.3333334
19735,45.0,4.0,5.0,4.25,3.5,-0.46780798,1.6995194,2.6792028,3.0833333
51952,40.0,1.25,3.25,6.0,5.5,-0.88072681,0.2473888,0.31451443,2.3333333
46266,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
59207,42.0,1.5,2.5,6.25,7.0,1.145611,-0.32298428,-0.19562168,1.9166666
48946,44.0,1.5,2.75,6.25,5.75,0.95803535,1.3561757,0.27494177,1.9166666
86083,40.0,1.5,2.75,4.75,5.5,0.25949454,1.8998933,0.69637191,2.6666667
96613,48.0,1.0,3.75,5.0,5.5,-1.3816928,-0.89894158,1.5363321,2.0
50766,35.0,1.0,2.25,5.0,4.75,-1.231216,-0.53827304,1.9028147,1.9166666
71089,29.0,5.0,3.5,1.0,1.0,0.9674474,-0.89815009,1.2003225,2.0833333
98462,46.0,1.0,1.25,5.75,6.0,1.0412574,-0.64031315,-0.76140922,1.5833334
94455,35.0,2.0,4.25,6.25,6.0,0.95002693,0.36131698,0.55274302,2.25
11148,45.0,1.0,1.5,5.5,5.75,-1.6999776,-0.60923529,-0.69704527,1.3333334
64302,31.0,3.5,4.25,5.0,5.0,0.71084207,-0.52636874,1.7314507,2.3333333
22688,48.0,1.0,1.75,6.75,5.0,0.84176344,-0.82670748,0.19094172,1.3333334
38815,39.0,2.5,4.75,6.5,5.5,0.93179137,-0.8433671,0.19858128,2.8333333
68404,35.0,2.0,3.5,4.75,3.75,0.99285269,-0.5133096,0.44340938,2.0833333
71836,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
12748,23.0,1.0,2.5,4.0,4.0,0.81574279,3.8124676,-1.26279,2.0833333
55569,46.0,1.0,1.75,4.5,3.25,-1.0486637,-0.6272285,-0.70385736,3.0833333
72885,28.0,1.0,3.0,5.25,5.0,-1.2888374,0.061089624,0.14458342,3.3333333
36574,47.0,1.0,2.5,5.505421686746988,4.25,-1.7385846,-0.80765063,-0.013780843,2.4545455
44070,40.0,2.0,2.75,7.0,6.5,0.11105654,2.4472582,-1.6722552,2.1666667
49010,44.0,1.25,2.5,5.75,5.25,-0.85386354,0.26395747,0.2623494,2.0833333
98760,45.0,1.0,4.25,4.0,3.25,1.0108153,0.039124914,0.9906491,2.0833333
95374,37.0,1.0,1.25,1.0,1.5,1.0673363,1.5899844,-1.0163853,2.6666667
43125,36.0,1.25,5.0,5.5,3.75,1.1394265,-0.80644369,-0.056621097,2.5833333
98117,46.0,1.0,2.0,4.75,4.75,0.36892933,0.24617633,0.94782627,2.0833333
22989,45.0,1.0,3.25,6.75,6.25,-1.7322971,-0.76194847,-0.041968796,1.9166666
24883,50.0,1.0,1.0,3.25,4.0,-1.4041585,-0.61048812,-0.67135286,1.1666666
20650,34.0,4.25,3.75,5.5,3.5,0.71393096,-1.1029689,1.0361698,3.0
66815,43.0,1.0,2.5,5.75,5.0,0.71358174,-0.29427221,-0.58178031,1.9166666
89161,40.0,1.75,3.25,6.5,5.5,-0.066223256,-0.050659403,-0.63420123,2.1666667
54956,35.0,2.25,3.5,5.5,4.0,0.99163365,0.26430196,-0.11858971,3.5
14847,33.0,2.25,4.25,6.5,5.5,0.2902503,-1.1206138,1.5647742,3.0
85453,44.0,1.0,2.25,6.25,6.25,0.62788105,-0.63960594,-0.73411131,1.75
19827,34.0,2.25,5.25,5.75,4.5,1.1163216,0.61852127,0.17897332,3.4166667
31121,38.0,1.0,1.25,4.75,3.75,-1.6999776,-0.60923529,-0.69704527,2.5
38683,27.0,2.0,5.25,6.25,6.0,-1.0098004,0.52504915,-0.3859494,1.75
82918,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
43382,46.0,1.0,1.0,1.0,1.0,-1.6999776,-0.60923529,-0.69704527,2.5833333
44344,37.0,2.5,5.25,6.25,5.75,-1.6733191,0.54927546,-0.052140441,1.75
94215,36.0,1.75,3.25,5.25,5.75,-1.0776565,-0.73002267,-0.057312503,2.3333333
80675,30.0,1.5,2.25,3.75,3.5,0.18650779,1.2222639,0.99646032,3.0
57144,37.0,3.0,2.75,3.75,3.25,0.54009855,-0.73721141,-0.22103429,2.1666667
94662,34.0,2.0,2.5,4.25,2.5,0.90606803,-0.26766676,-0.60662085,2.25
98700,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
65072,41.0,2.0,3.75,6.25,5.75,-1.5534246,-0.74965024,-0.03725357,2.3333333
11910,48.0,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
75438,36.0,2.0,3.75,6.5,6.0,-1.3932451,0.016723868,-0.57697797,2.3333333
99733,34.0,1.0,1.0,7.0,7.0,-1.3444905,0.45606926,0.23733804,1.9166666
27407,37.0,1.5,4.25,6.5,6.5,0.8998099,0.34932795,0.45186722,2.5833333
14250,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
43794,29.0,1.75,3.0,3.25,1.0,0.96009326,-0.029866759,0.98724151,3.3333333
60216,43.0,1.25,3.0,6.0,7.0,-0.31616884,0.77521288,0.49306136,2.25
51437,43.0,2.5,3.5,6.25,4.5,0.67786062,-0.59184337,-0.859864,2.75
21932,50.0,1.0,2.25,5.0,3.5,1.0155348,-1.1494837,1.5937356,1.75
29733,34.0,1.0,3.0,6.0,7.0,0.82057101,-1.039397,1.1980758,1.6666666
98206,48.0,1.0,1.0,3.5,3.25,-1.6999776,-0.60923529,-0.69704527,1.0833334
36385,28.0,2.5,4.75,4.75,4.75,-1.4850211,0.22178815,0.99226838,2.9166667
67993,32.0,1.5,2.5,5.75,4.25,-1.7105285,-0.45650074,-0.4546113,2.25
96543,41.0,2.0,3.5,6.25,6.0,-1.6999776,-0.60923529,-0.69704527,1.8333334
49800,30.0,2.5,3.5,4.25,3.25,-1.4127191,0.093311742,1.6688888,2.5
29296,29.0,1.25,2.0,7.0,7.0,1.0679046,0.17702343,0.25867942,2.9166667
11002,48.0,1.0,2.0,4.5,5.0,-1.6776875,3.6296108,-1.9941019,1.6666666
72850,30.0,1.0,3.0,6.0,4.75,-1.3599714,0.19632368,0.62179261,2.0833333
15134,48.0,1.0,1.5,7.0,5.5,0.94410616,-0.034712888,-0.66138983,2.5
34062,47.0,1.75,2.0,6.5,6.25,1.1134915,0.46238041,-1.0871884,1.25
18111,48.0,1.0,2.5,5.0,3.75,-0.52711767,-0.42516205,-0.7352376,2.0
42646,34.0,1.25,3.25,6.0,6.0,-0.21100225,0.4606362,0.36123088,2.0
63922,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
59097,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
