egoid,SelfEsteem_4,Trust_4,selfreg_scale_4
49497,22.0,2.5,3.25
41952,45.0,3.6666667,2.5833333
17183,45.0,3.6666667,2.75
22408,43.0,4.0,1.8333334
54435,38.0,3.3333333,2.3333333
38554,32.0,2.8333333,1.8333334
38293,29.0,3.5,2.4166667
33785,32.0,3.1666667,2.4166667
33009,40.0,3.0,2.0
91726,40.0,3.3333333,2.0
59355,29.0,3.5,2.8333333
96184,40.0,3.3333333,2.1666667
70005,28.0,3.1666667,4.75
64157,33.0,4.1666665,2.0833333
68050,40.0,4.3333335,3.25
79395,25.0,2.6666667,2.4166667
59863,50.0,3.5,1.6666666
63419,44.0,4.3333335,2.4166667
22913,38.0,3.1666667,2.0833333
91313,36.0,3.0,2.9166667
14511,36.0,3.6666667,2.75
73962,32.0,3.3333333,2.8333333
48969,22.0,3.0,2.25
10153,50.0,3.5,1.75
79731,29.0,2.8333333,3.25
64296,45.0,3.5,2.4166667
17569,43.0,3.8333333,2.25
77036,38.0,3.0,2.3333333
53518,30.0,3.0,2.75
33953,45.0,3.8333333,1.9166666
82986,50.0,4.1666665,2.0
70566,44.0,3.5,1.5
11402,40.0,3.8333333,3.5
38610,50.0,3.6666667,1.0833334
96610,50.0,3.6666667,1.25
77711,28.0,2.8333333,2.8333333
17020,40.0,3.1666667,2.0833333
48676,37.0,3.8333333,1.75
29885,33.0,3.1666667,2.3333333
79167,47.0,3.5,1.6666666
43710,38.0,3.1666667,2.1666667
22455,46.0,1.8333334,1.4166666
57443,39.0,2.8333333,2.4166667
96469,43.0,3.8333333,2.1666667
94579,37.0,3.0,2.8333333
29257,46.0,3.6666667,2.0
23518,34.0,3.5,2.5833333
49539,45.0,3.6666667,2.8333333
63904,30.0,2.1666667,2.5
82490,42.0,3.0,1.9166666
20335,50.0,3.1666667,2.0833333
35031,43.0,3.0,2.8333333
88185,44.0,3.6666667,2.5
35344,27.0,4.1666665,3.6666667
31175,41.0,3.3333333,1.8333334
98325,42.0,3.1666667,2.1666667
50666,37.0,3.6666667,2.4166667
42617,37.0,3.5,1.9166666
58793,33.0,3.6666667,2.0833333
25125,34.0,4.0,3.1666667
25548,42.0,3.1666667,1.8333334
96689,39.0,3.3333333,2.9166667
33657,41.0,3.5,2.75
36117,45.0,4.1666665,2.6666667
82587,30.0,3.1666667,2.4166667
77532,44.0,3.8333333,1.9166666
92515,41.0,3.6666667,2.3333333
97844,38.0,3.5,2.3333333
49790,46.0,4.0,2.0
15181,41.0,3.3333333,1.75
78657,39.0,3.6666667,3.1666667
21887,41.0,3.5,2.3333333
48154,50.0,3.6666667,1.5833334
51495,45.0,3.5,1.25
21793,37.0,3.0,2.3333333
37218,29.0,3.0,3.0
17932,44.0,2.6666667,2.3333333
80429,29.0,3.1666667,2.9166667
75149,27.0,2.5,2.9166667
81420,31.0,3.0,2.0833333
33740,30.0,3.0,2.9166667
67709,33.0,3.1666667,3.3333333
36552,40.0,3.3333333,2.0
14301,32.0,3.5,2.8333333
63138,38.0,3.5,2.0833333
51298,41.0,3.5,2.3333333
74632,36.0,3.3333333,2.4166667
16654,39.0,3.3333333,2.0
84768,38.18421052631579,2.6666667,2.25
29134,39.0,3.6666667,2.5833333
24029,29.0,3.5,1.8333334
35361,40.0,2.6666667,2.0
49086,46.0,3.6666667,3.0833333
85503,25.0,1.5,2.0
10732,28.0,3.5,2.6666667
39564,44.0,3.0,2.8333333
25172,46.0,3.5,1.0833334
95490,34.0,3.5,3.0833333
23253,33.0,3.1666667,2.25
90079,34.0,2.5,2.3333333
47584,48.0,4.0,3.0833333
97990,36.0,2.6666667,2.6666667
82269,30.0,3.0,3.0
22842,36.0,3.3333333,3.3333333
14279,40.0,2.3333333,1.9166666
73577,29.0,2.6666667,2.5
43177,39.0,3.3333333,3.4166667
26857,46.0,3.5,1.9166666
28327,26.0,4.0,2.5
52302,39.0,3.5,3.0
97050,31.0,3.0,2.3333333
46418,38.0,3.0,1.9166666
93002,32.0,3.1666667,1.9166666
56543,33.0,3.1666667,1.5
17470,26.0,2.6666667,3.5
35180,39.0,2.8333333,2.0
89142,32.0,3.0,2.75
24898,31.0,2.6666667,1.9166666
74413,46.0,3.0,2.0
50976,32.0,2.3333333,2.5
76485,38.0,3.6666667,2.3333333
33239,45.0,3.8333333,2.5
67574,33.0,2.3333333,2.0
10469,26.0,2.6666667,3.3333333
77789,36.0,3.6666667,2.0833333
88582,44.0,3.6666667,1.5
67015,31.0,2.8333333,2.25
26272,40.0,3.1666667,2.25
88882,46.0,3.6666667,1.8333334
96828,46.0,3.3333333,1.5
19245,35.0,2.1666667,2.0833333
83748,49.0,3.3333333,1.75
49915,47.0,4.6666665,1.75
78407,30.0,3.0,3.0
93787,29.0,3.3333333,2.75
17270,31.0,3.1666667,3.0833333
40864,30.0,3.5,3.0833333
63347,40.0,3.5,2.1666667
48826,40.0,3.8333333,3.3333333
35925,30.0,2.5,3.0
