egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
25125,35.0,3.6666667,1.25,5.0,4.25,4.0,-1.3323692,-0.37952402,-0.12378974,2.6666667
25548,40.0,3.6666667,4.5,4.0,4.5,4.0,0.3657698,0.48388132,0.35578889,3.0833333
25966,31.0,3.5,2.0,3.25,5.25,5.0,0.6279006,0.79261434,-0.069208495,2.0
96689,39.0,3.3333333,3.0,3.5,3.25,3.0,-1.0845944,0.21092944,-0.043840025,2.9166667
43581,22.0,3.5,5.25,6.25,6.0,5.75,-0.027344557,-0.54983467,-0.76245034,3.6666667
33657,22.0,3.8333333,2.5,4.5,6.0,4.5,1.1700679,2.2327552,-1.708192,3.25
65656,31.0,3.8333333,4.5,4.75,6.75,5.5,-1.4877472,1.5185455,-1.3334557,1.75
36117,40.0,3.5,2.0,3.75,2.75,1.5,-1.7021834,-1.1511353,1.2943901,2.8333333
82587,30.0,2.6666667,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,0.021996001,2.3904366,-0.48019812,2.9166667
26320,38.0,4.0,1.75,5.75,6.0,5.25,-1.3750925,-0.12703709,-0.22544381,2.25
77532,37.0,4.0,1.25,2.75,4.25,4.0,-0.82379907,-0.58130491,-0.71569788,1.75
92515,38.0,3.0,1.0,3.75,5.25,4.5,-1.6074761,1.1435548,-0.30154672,2.6666667
97844,35.0,3.0,2.25,3.25,5.75,5.0,-1.5188584,-0.59107524,-0.67598635,2.5
15181,47.0,3.5,1.5,5.0,5.75,4.5,0.95461226,-0.52819496,-0.81781793,1.8333334
48154,50.0,3.6666667,1.0,3.5,6.5,5.0,0.88034654,-0.55832708,-0.55299753,1.4166666
51495,47.0,3.1666667,2.5,2.25,4.75,5.25,-0.39416108,0.5013628,-1.1150976,1.8333334
17932,42.0,2.5,1.25,2.75,5.75,6.0,-1.5555751,-0.12434007,-0.46835661,2.0833333
95026,28.0,2.1666667,1.0,5.5,6.75,6.5,-1.3973005,-0.59106922,-0.65205723,1.8333334
80429,40.0,3.5,3.25,5.0,4.25,3.5,0.92605287,0.021690659,0.16098402,2.75
75149,31.0,3.0,1.0,4.25,6.5,6.75,0.44522709,1.1921384,1.3517437,2.0
33740,28.0,3.0,3.25,5.0,5.0,4.75,0.5609656,0.73269957,1.7240584,3.1666667
67709,31.0,3.3333333,1.0,4.0,6.5,6.25,0.91974545,0.19418092,0.12111609,3.3333333
36552,38.0,3.5,1.25,2.75,6.75,5.75,-1.5995954,-0.59657198,-0.66366839,2.0833333
14301,36.0,3.6666667,1.75,3.5,6.5,5.75,0.84088856,-0.52070719,-0.84392875,2.1666667
63138,45.0,3.5,2.5,1.25,1.75,2.0,-1.1099714,-0.38018224,-0.15471265,1.8333334
51298,36.0,3.3333333,3.0,6.5,6.25,5.75,0.35680857,-0.54603618,-0.79874063,2.25
74632,34.0,3.3333333,1.25,2.0,4.5,4.0,-1.4098812,0.12244322,0.27463293,2.1666667
29134,39.0,3.5,3.0,3.5,5.5,5.5,0.90653801,1.1760116,0.93888116,2.0833333
24029,44.0,3.8333333,1.75,5.0,7.0,7.0,1.0471919,-0.31903264,-0.89375389,1.6666666
49086,46.0,3.5,1.75,4.0,5.25,4.25,1.1184731,-0.86767572,0.47203213,2.75
85503,27.0,1.8333334,3.25,6.25,4.75,3.75,0.62101525,-0.22091596,-0.60766685,2.3333333
60008,35.0,3.3333333,1.0,3.75,6.75,6.5,1.1042892,-0.57787466,-0.53498989,2.25
25172,50.0,3.3333333,1.5,3.75,6.25,7.0,-1.0371718,-0.55617917,-0.7428906,1.25
77134,31.0,1.8333334,1.25,4.5,5.75,5.0,1.053538,-0.12700753,-0.95166224,3.4166667
95490,38.0,3.6666667,1.0,4.25,5.0,5.0,-1.5917375,-0.95087755,0.63681096,3.0
23253,34.0,3.3333333,4.0,5.0,5.5,5.0,0.74098539,-0.48496589,-0.85739392,2.4166667
90079,37.0,3.6666667,2.5,2.25,3.25,3.5,-1.239802,-1.0754253,1.0034674,2.3333333
47584,40.0,3.6666667,2.0,4.75,6.25,5.25,1.111318,2.8290181,-1.8833942,2.1666667
97990,32.0,3.3333333,2.5,3.0,6.75,6.0,0.78044337,-0.52258575,-0.5664627,2.3333333
91429,31.0,2.3333333,1.0,1.75,4.25,4.25,-1.5284711,-0.19766901,-0.76628458,1.5
82269,30.0,3.0,2.25,5.0,5.0,4.25,0.41051307,0.18933028,0.12569369,2.8333333
22842,32.0,3.3333333,1.0,2.5,6.0,5.75,0.41272214,-0.31346416,1.2727717,2.9166667
14279,38.0,2.3333333,1.0,2.0,5.25,4.75,-1.0244571,1.6247603,0.36136904,2.0
26857,47.0,3.6666667,1.75,2.5,5.25,6.0,0.66883802,-0.87818593,0.4826619,2.0
28327,35.0,3.8333333,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,0.008495025903846157,-0.020252539240384622,-1.353924230769074e-05,2.3341295136942675
52302,43.0,3.8333333,1.0,2.5,6.75,5.75,0.74733311,-0.75998509,0.092973508,2.5
97050,38.0,3.8333333,1.0,3.5,7.0,6.75,0.76224953,0.40025148,0.074424319,2.1666667
93002,40.0,3.5,1.75,4.25,6.0,6.75,0.7336809,-0.70574212,-0.19850552,1.6666666
56543,30.0,3.5,1.0,5.5,7.0,7.0,-0.87536108,1.018785,1.7937493,2.0833333
89142,30.0,3.0,5.25,2.25,5.25,5.25,-0.31537458,1.6130737,2.0726795,3.0
24898,25.0,2.6666667,3.25,6.5,5.75,5.75,-1.3171115,4.4155889,-0.56593943,2.5
51723,39.0,1.8333334,1.25,5.0,6.25,6.75,-0.68284732,2.6251533,0.53741312,2.75
79352,38.0,4.0,1.0,2.75,5.0,4.25,0.21061337,-0.50097281,-0.83444625,2.0
50976,29.0,2.5,1.25,5.75,6.25,5.5,1.1090297,-0.65241796,1.0000029,2.5833333
33239,40.0,3.6666667,1.25,4.5,5.25,4.75,1.1215481,0.83728361,0.51181126,2.1666667
72570,35.0,2.1666667,1.5,4.0,2.75,1.75,1.0209674,-0.72394085,0.060210362,1.75
67574,31.0,2.5,3.75,5.25,5.5,4.25,-0.21429993,-0.65720809,0.24025042,2.9166667
43809,37.0,3.5,2.0,3.75,6.75,6.25,1.1687196,-0.3868964,-0.33134162,2.5
10469,20.0,2.5,1.0,5.25,7.0,6.0,-1.7039695,-1.2550262,2.2419541,3.0833333
77789,39.0,3.5,1.0,2.75,5.25,4.75,0.96465087,0.060898881,-0.98221278,1.75
67015,39.0,3.0,1.25,4.75,6.0,5.0,1.0431836,-0.51520443,-0.83231759,2.5
88882,44.0,3.5,3.25,5.5,6.0,5.0,-0.18177681,-0.89720321,0.53798664,1.8333334
19245,37.0,2.6666667,1.0,5.25,6.5,6.25,1.1349601,1.3744406,0.61943674,1.4166666
49915,47.0,4.0,3.0,3.25,5.5,4.0,-1.5995954,-0.59657198,-0.66366839,1.75
51865,33.0,2.6666667,1.75,3.5,6.25,5.0,-0.65417695,0.4055393,-0.75864333,3.5
93787,37.0,3.3333333,1.0,2.5,6.5,6.0,0.91617805,-0.87317848,0.46042097,2.0
40864,29.0,3.1666667,2.25,2.0,4.25,3.0,0.59403157,0.8800599,-0.4921785,3.4166667
26718,31.0,3.1666667,2.0,4.75,4.75,4.75,-1.1275281,0.64063418,0.40215921,2.8333333
63347,39.0,3.6666667,1.0,2.0,4.75,4.5,1.0100583,0.11028004,-0.40197298,2.1666667
35824,37.0,3.3333333,1.0,3.25,3.25,2.25,0.72562146,0.1966006,-0.16810095,3.25
48826,45.0,3.6666667,1.75,4.5,6.5,5.75,1.1780468,-0.51153588,-0.82457685,2.4166667
35925,37.73015873015873,2.8333333,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,0.53015828,-0.29942328,-0.017166613,2.8333333
