egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
56805,36.0,2.8333333,4.0,3.5,4.25,4.25,-1.1715218,0.13997658,0.24844754,2.5833333
26800,50.0,3.5,1.0,2.75,4.75,4.0,-0.5221895,-0.3488515,-0.78904045,1.9166666
60493,35.0,2.3333333,1.0,1.0,2.25,1.5,-1.1113188,1.593407,0.9920069,3.0
84390,41.0,3.0,1.25,3.5,7.0,6.75,-1.5995954,-0.59657198,-0.66366839,1.9166666
74845,44.0,4.0,1.0,3.5,6.0,6.25,0.8417604,-0.61618048,-0.47517651,1.9166666
60396,34.0,3.6666667,2.0,3.75,6.0,5.5,0.97575188,-0.51703864,-0.83618802,2.0
92412,43.0,3.3333333,1.5,4.25,6.25,5.75,0.97575188,-0.51703864,-0.83618802,1.4166666
92038,47.0,3.3333333,1.75,4.25,7.0,6.75,0.97152811,-0.33059171,-0.8849113,1.3333334
86440,37.0,3.3333333,1.5,3.25,4.25,4.75,0.78462815,0.20861574,0.10099202,2.0833333
95585,35.0,3.0,4.5,4.75,5.0,5.25,-0.33882239,-0.085388996,1.5316139,3.0
14737,40.0,3.0,2.0,3.0,5.5,5.5,0.36570761,0.31871739,-0.23721124,2.5
28223,50.0,2.8333333,1.0,1.0,1.75,2.5,0.53869045,-0.49046865,-0.86900508,2.0
20179,37.0,3.3333333,1.5,4.5,6.0,5.0,0.80730557,-0.51655006,-0.82551879,2.0
28653,35.0,3.1666667,6.5,6.25,6.5,6.0,1.0908173,-0.68630928,-0.1811319,1.75
95559,48.0,3.1666667,1.25,3.5,6.5,6.0,-1.5995954,-0.59657198,-0.66366839,1.8333334
30152,38.0,2.6666667,1.0,4.0,4.5,3.75,-1.089512,0.34356073,0.18169661,2.3333333
60367,30.0,3.0,7.0,7.0,7.0,7.0,-1.1950055,-0.58556646,-0.64044607,3.3333333
59592,34.0,3.5,1.0,3.25,4.5,4.75,-1.6260079,0.062969677,-0.27244914,2.9166667
22897,36.0,3.8333333,2.0,3.75,5.25,4.75,0.60948318,-0.058815479,0.23098436,2.5
89652,40.0,4.1666665,1.0,1.0,1.0,1.75,-1.0743059,0.55812603,1.9105493,2.0833333
28724,35.0,3.8333333,1.25,4.5,5.5,4.75,1.0431836,-0.51520443,-0.83231759,1.9166666
69831,35.0,3.5,1.5,2.5,4.75,5.0,-0.14334264,-0.55221969,-0.74025226,2.3333333
50072,27.0,3.3333333,1.25,4.5,6.5,5.25,0.65266812,-0.51605976,-0.83051091,2.25
44927,37.0,3.5,1.25,3.25,5.25,3.25,-1.1715218,0.13997658,0.24844754,2.1666667
71894,26.0,2.8333333,1.75,1.75,6.0,5.5,0.95666361,4.0467763,0.55237162,2.5
66676,36.0,3.5,2.25,3.25,6.5,6.0,0.8147648,-0.75815082,0.096843898,2.4166667
95930,37.0,3.8333333,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,0.008495025903846157,-0.020252539240384622,-1.353924230769074e-05,2.3341295136942675
70962,40.0,3.5,2.0,2.0,2.0,2.0,-1.3439888,-0.60131431,-0.053932957,3.5
30453,30.0,2.6666667,5.25,5.25,4.75,5.25,-0.31537458,1.6130737,2.0726795,3.0
18677,37.0,3.1666667,3.75,5.5,5.25,4.75,-1.6591692,-0.95271182,0.63294059,2.1666667
58682,36.0,3.6666667,2.75,3.0,5.0,5.0,0.44642869,-1.0196147,0.82059008,2.4166667
79834,42.0,2.0,1.0,2.75,2.75,4.5,1.0593746,1.4576412,0.33731115,2.1666667
93471,40.0,3.6666667,2.5,5.75,7.0,7.0,-1.5995954,-0.59657198,-0.66366839,2.1666667
38052,47.0,3.8333333,1.5,2.75,5.5,4.75,0.57262671,1.2062086,-0.63118285,1.4166666
47810,37.0,3.5,1.5,2.5,5.0,5.25,1.1486052,-0.43406031,-0.53017682,2.3333333
58196,48.0,3.3333333,1.0,4.75,6.75,6.5,1.1106151,-0.51337016,-0.82844722,1.25
48224,30.0,2.3333333,1.0,4.0,5.5,5.0,0.53297973,-0.77797705,0.15364322,3.0833333
30137,42.0,2.8333333,3.0,5.0,5.75,5.75,0.92241031,0.37915781,0.092661768,2.0833333
68318,42.0,3.3333333,1.5,2.25,4.25,3.75,-1.3125551,-0.38940072,-0.72581142,2.8333333
62246,41.0,3.3333333,1.5,3.5,5.75,5.5,0.80184233,0.67575312,-0.334411,2.3333333
61028,41.0,3.1666667,1.0,3.75,6.5,6.25,0.84088856,-0.52070719,-0.84392875,1.9166666
55424,30.0,3.1666667,5.5,6.25,5.75,4.75,-1.2379203,0.43637988,3.3609633,2.6666667
23576,40.0,3.5,4.25,4.0,3.0,5.0,-0.3676939,1.2632835,-0.22268791,2.8333333
93485,50.0,3.5,1.5,3.0,6.75,6.75,-1.5995954,-0.59657198,-0.66366839,1.75
62617,46.0,4.3333335,1.0,3.75,7.0,5.0,-0.029530704,-0.51467335,-0.79574674,1.6666666
42137,40.0,3.3333333,1.0,3.5,6.25,5.25,0.41462818,0.75144827,0.21828288,2.1666667
37305,39.0,3.6666667,6.0,5.25,3.5,2.5,-1.5188584,-0.59107524,-0.67598635,2.0
69057,27.0,2.0,1.0,5.0,4.75,6.25,0.98009586,-0.43062893,0.90249503,3.1666667
83542,46.0,3.0,1.0,3.0,5.25,4.75,-1.5995954,-0.59657198,-0.66366839,3.0
18222,39.0,2.8333333,1.75,1.75,5.75,5.5,0.60535198,-0.13975365,-0.046888288,2.0
39738,37.73015873015873,3.1666667,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,0.008495025903846157,-0.020252539240384622,-1.353924230769074e-05,2.3341295136942675
26858,24.0,2.5,1.75,5.25,7.0,7.0,-1.5995954,-0.59657198,-0.66366839,1.8333334
38826,39.0,2.6666667,2.25,3.25,4.0,3.75,0.008495025903846157,-0.020252539240384622,-1.353924230769074e-05,2.0833333
93504,39.0,3.0,1.0,4.5,6.0,6.25,-1.1715218,0.13997658,0.24844754,2.3333333
64232,39.0,3.3333333,1.25,3.0,6.25,4.75,0.34664285,-0.7134099,0.46492961,2.1666667
37404,40.0,3.1666667,1.0,4.0,5.0,4.5,-1.3347182,-0.4438808,2.4859912,2.1666667
82248,40.0,2.6666667,1.0,1.25,1.75,2.0,0.71510643,-0.52570856,-0.79775876,2.25
69936,22.0,2.6666667,3.5,4.5,4.5,4.0,0.68776578,1.4133105,0.38610861,3.5833333
37001,43.0,3.8333333,1.5,3.25,5.25,4.5,-1.5995954,-0.59657198,-0.66366839,2.0833333
70492,38.0,3.3333333,1.25,3.5,5.75,4.75,0.98360974,-0.87134421,0.46429136,3.0
95543,43.0,3.6666667,1.0,2.25,5.25,3.75,1.0431836,-0.51520443,-0.83231759,2.6666667
21380,42.0,3.8333333,1.75,3.5,4.25,4.5,0.68836057,-0.42557567,0.31512293,2.1666667
66642,35.0,3.0,2.5,3.75,4.75,4.75,-1.5995954,-0.59657198,-0.66366839,3.1666667
83612,36.0,2.1666667,2.5,4.25,6.0,4.75,0.97278589,-0.85881907,0.4610931,2.3333333
19122,40.0,2.6666667,1.0,2.0,5.5,6.0,0.39616048,-0.50098854,0.36402404,2.9166667
92566,49.0,3.8333333,1.0,4.75,6.0,5.75,0.072933733,-0.72756028,-0.12646011,1.25
35987,30.0,3.0,4.0,4.0,4.0,4.0,-0.31537458,1.6130737,2.0726795,3.0
