egoid,degreeintent_6,majorevent_6
94215,"Bachelor's degree (B.A., B.S., etc.)",no
57144,"M.D., D.O., D.D.S., or D.V.M.",no
94662,Ph.D or Ed.D.,no
98700,Ph.D or Ed.D.,no
65072,"Master's Degree (M.A., M.S., MBA, etc.)",no
99733,"Bachelor's degree (B.A., B.S., etc.)",no
27407,"Master's Degree (M.A., M.S., MBA, etc.)",yes
43794,"Bachelor's degree (B.A., B.S., etc.)",no
51437,"M.D., D.O., D.D.S., or D.V.M.",no
21932,"Master's Degree (M.A., M.S., MBA, etc.)",no
29733,"Master's Degree (M.A., M.S., MBA, etc.)",no
98206,"Bachelor's degree (B.A., B.S., etc.)",no
36385,"Bachelor's degree (B.A., B.S., etc.)",no
54030,"Master's Degree (M.A., M.S., MBA, etc.)",no
67993,"Master's Degree (M.A., M.S., MBA, etc.)",no
49800,"M.D., D.O., D.D.S., or D.V.M.",no
29296,"M.D., D.O., D.D.S., or D.V.M.",no
11002,"M.D., D.O., D.D.S., or D.V.M.",no
72850,"Bachelor's degree (B.A., B.S., etc.)",yes
15134,"Bachelor's degree (B.A., B.S., etc.)",no
34062,Ph.D or Ed.D.,no
18111,"Bachelor's degree (B.A., B.S., etc.)",no
42646,"M.D., D.O., D.D.S., or D.V.M.",no
72912,"Master's Degree (M.A., M.S., MBA, etc.)",no
21971,"M.D., D.O., D.D.S., or D.V.M.",no
84502,"Master's Degree (M.A., M.S., MBA, etc.)",no
52123,"Master's Degree (M.A., M.S., MBA, etc.)",no
25197,Ph.D or Ed.D.,no
35872,"Bachelor's degree (B.A., B.S., etc.)",no
23270,"M.D., D.O., D.D.S., or D.V.M.",no
69807,Ph.D or Ed.D.,no
92716,"Bachelor's degree (B.A., B.S., etc.)",no
68679,"M.D., D.O., D.D.S., or D.V.M.",no
67192,Ph.D or Ed.D.,yes
12029,"Bachelor's degree (B.A., B.S., etc.)",no
70745,J.D. (Law),no
93856,"Bachelor's degree (B.A., B.S., etc.)",yes
10237,"Bachelor's degree (B.A., B.S., etc.)",no
97448,J.D. (Law),yes
97280,"Bachelor's degree (B.A., B.S., etc.)",no
54098,"Bachelor's degree (B.A., B.S., etc.)",no
66156,"Bachelor's degree (B.A., B.S., etc.)",no
67177,"Bachelor's degree (B.A., B.S., etc.)",no
18611,J.D. (Law),yes
87328,"Bachelor's degree (B.A., B.S., etc.)",no
49497,"Bachelor's degree (B.A., B.S., etc.)",no
17183,"Bachelor's degree (B.A., B.S., etc.)",no
22408,"M.D., D.O., D.D.S., or D.V.M.",yes
54435,"Master's Degree (M.A., M.S., MBA, etc.)",no
38293,"Master's Degree (M.A., M.S., MBA, etc.)",no
33785,Ph.D or Ed.D.,no
44310,"Bachelor's degree (B.A., B.S., etc.)",no
33009,J.D. (Law),no
92339,"Bachelor's degree (B.A., B.S., etc.)",no
64157,"Master's Degree (M.A., M.S., MBA, etc.)",yes
63419,"M.D., D.O., D.D.S., or D.V.M.",no
22913,"Bachelor's degree (B.A., B.S., etc.)",no
73962,"Master's Degree (M.A., M.S., MBA, etc.)",no
48969,"Bachelor's degree (B.A., B.S., etc.)",no
10153,"M.D., D.O., D.D.S., or D.V.M.",no
64296,"Master's Degree (M.A., M.S., MBA, etc.)",yes
17569,"Master's Degree (M.A., M.S., MBA, etc.)",no
77036,"Bachelor's degree (B.A., B.S., etc.)",no
53518,"Master's Degree (M.A., M.S., MBA, etc.)",no
82986,"Master's Degree (M.A., M.S., MBA, etc.)",no
11402,"Bachelor's degree (B.A., B.S., etc.)",yes
38610,"Master's Degree (M.A., M.S., MBA, etc.)",no
96610,"Master's Degree (M.A., M.S., MBA, etc.)",no
77711,Ph.D or Ed.D.,no
17020,"Bachelor's degree (B.A., B.S., etc.)",no
48676,"Master's Degree (M.A., M.S., MBA, etc.)",no
29885,"Master's Degree (M.A., M.S., MBA, etc.)",no
79167,J.D. (Law),no
43710,"Master's Degree (M.A., M.S., MBA, etc.)",no
22455,"Master's Degree (M.A., M.S., MBA, etc.)",no
57443,"M.D., D.O., D.D.S., or D.V.M.",no
96469,"Bachelor's degree (B.A., B.S., etc.)",no
94579,Ph.D or Ed.D.,no
29257,"Master's Degree (M.A., M.S., MBA, etc.)",no
23518,"Master's Degree (M.A., M.S., MBA, etc.)",yes
49539,Ph.D or Ed.D.,no
63904,"M.D., D.O., D.D.S., or D.V.M.",no
82490,"Bachelor's degree (B.A., B.S., etc.)",yes
20335,"Master's Degree (M.A., M.S., MBA, etc.)",no
35031,"Master's Degree (M.A., M.S., MBA, etc.)",no
35344,"Master's Degree (M.A., M.S., MBA, etc.)",no
42617,"M.D., D.O., D.D.S., or D.V.M.",no
25125,Ph.D or Ed.D.,no
25548,"Bachelor's degree (B.A., B.S., etc.)",no
25966,"M.D., D.O., D.D.S., or D.V.M.",no
96689,"Master's Degree (M.A., M.S., MBA, etc.)",yes
43581,"M.D., D.O., D.D.S., or D.V.M.",no
33657,"Bachelor's degree (B.A., B.S., etc.)",no
65656,Ph.D or Ed.D.,yes
36117,"Master's Degree (M.A., M.S., MBA, etc.)",no
82587,"Master's Degree (M.A., M.S., MBA, etc.)",yes
26320,"Bachelor's degree (B.A., B.S., etc.)",yes
77532,"Master's Degree (M.A., M.S., MBA, etc.)",no
92515,"M.D., D.O., D.D.S., or D.V.M.",no
97844,"Bachelor's degree (B.A., B.S., etc.)",no
15181,Ph.D or Ed.D.,no
48154,"Master's Degree (M.A., M.S., MBA, etc.)",no
51495,"Bachelor's degree (B.A., B.S., etc.)",no
17932,J.D. (Law),no
95026,"M.D., D.O., D.D.S., or D.V.M.",yes
80429,"Bachelor's degree (B.A., B.S., etc.)",no
75149,"Bachelor's degree (B.A., B.S., etc.)",no
33740,"M.D., D.O., D.D.S., or D.V.M.",no
67709,"Bachelor's degree (B.A., B.S., etc.)",no
36552,"Master's Degree (M.A., M.S., MBA, etc.)",no
14301,"M.D., D.O., D.D.S., or D.V.M.",no
63138,"M.D., D.O., D.D.S., or D.V.M.",no
51298,"Master's Degree (M.A., M.S., MBA, etc.)",yes
74632,"M.D., D.O., D.D.S., or D.V.M.",no
29134,"M.D., D.O., D.D.S., or D.V.M.",no
24029,"Master's Degree (M.A., M.S., MBA, etc.)",no
49086,"Bachelor's degree (B.A., B.S., etc.)",yes
85503,"Master's Degree (M.A., M.S., MBA, etc.)",no
60008,"Master's Degree (M.A., M.S., MBA, etc.)",no
25172,"Bachelor's degree (B.A., B.S., etc.)",no
77134,J.D. (Law),yes
95490,"Bachelor's degree (B.A., B.S., etc.)",no
23253,"Master's Degree (M.A., M.S., MBA, etc.)",no
90079,"Master's Degree (M.A., M.S., MBA, etc.)",no
47584,"M.D., D.O., D.D.S., or D.V.M.",no
97990,"Master's Degree (M.A., M.S., MBA, etc.)",no
91429,"M.D., D.O., D.D.S., or D.V.M.",yes
82269,Ph.D or Ed.D.,no
22842,Ph.D or Ed.D.,no
14279,"Bachelor's degree (B.A., B.S., etc.)",yes
26857,Ph.D or Ed.D.,no
28327,J.D. (Law),no
52302,"M.D., D.O., D.D.S., or D.V.M.",no
97050,"M.D., D.O., D.D.S., or D.V.M.",no
93002,"Master's Degree (M.A., M.S., MBA, etc.)",no
56543,"Master's Degree (M.A., M.S., MBA, etc.)",no
89142,"Bachelor's degree (B.A., B.S., etc.)",no
24898,"M.D., D.O., D.D.S., or D.V.M.",no
51723,Ph.D or Ed.D.,yes
79352,"Master's Degree (M.A., M.S., MBA, etc.)",no
50976,"Bachelor's degree (B.A., B.S., etc.)",no
33239,"M.D., D.O., D.D.S., or D.V.M.",yes
72570,"Bachelor's degree (B.A., B.S., etc.)",no
67574,"Bachelor's degree (B.A., B.S., etc.)",no
43809,"Bachelor's degree (B.A., B.S., etc.)",yes
10469,"M.D., D.O., D.D.S., or D.V.M.",no
77789,"Bachelor's degree (B.A., B.S., etc.)",no
67015,"Bachelor's degree (B.A., B.S., etc.)",no
88882,"Master's Degree (M.A., M.S., MBA, etc.)",no
19245,"Master's Degree (M.A., M.S., MBA, etc.)",no
49915,"Bachelor's degree (B.A., B.S., etc.)",no
51865,"Master's Degree (M.A., M.S., MBA, etc.)",no
93787,"M.D., D.O., D.D.S., or D.V.M.",no
40864,"M.D., D.O., D.D.S., or D.V.M.",no
26718,"Bachelor's degree (B.A., B.S., etc.)",no
63347,Other,no
35824,J.D. (Law),no
48826,"Master's Degree (M.A., M.S., MBA, etc.)",no
35925,"Bachelor's degree (B.A., B.S., etc.)",no
