egoid,degreeintent_8,majorevent_8
92552,"Master's Degree (M.A., M.S., MBA, etc.)",no
73158,"Master's Degree (M.A., M.S., MBA, etc.)",no
45963,"M.D., D.O., D.D.S., or D.V.M.",no
22138,"M.D., D.O., D.D.S., or D.V.M.",no
77941,"Master's Degree (M.A., M.S., MBA, etc.)",no
44873,"Bachelor's degree (B.A., B.S., etc.)",no
83005,"Bachelor's degree (B.A., B.S., etc.)",no
93699,"Master's Degree (M.A., M.S., MBA, etc.)",no
36875,"Master's Degree (M.A., M.S., MBA, etc.)",no
84011,"M.D., D.O., D.D.S., or D.V.M.",no
83566,"Master's Degree (M.A., M.S., MBA, etc.)",no
21090,"Bachelor's degree (B.A., B.S., etc.)",no
94641,"Master's Degree (M.A., M.S., MBA, etc.)",no
45076,"Master's Degree (M.A., M.S., MBA, etc.)",no
44872,"M.D., D.O., D.D.S., or D.V.M.",no
57325,Ph.D or Ed.D.,yes
27306,"Master's Degree (M.A., M.S., MBA, etc.)",no
46365,"M.D., D.O., D.D.S., or D.V.M.",yes
74492,"Master's Degree (M.A., M.S., MBA, etc.)",no
51760,Ph.D or Ed.D.,no
72806,"Master's Degree (M.A., M.S., MBA, etc.)",no
36038,"M.D., D.O., D.D.S., or D.V.M.",no
67918,"Master's Degree (M.A., M.S., MBA, etc.)",no
34467,"M.D., D.O., D.D.S., or D.V.M.",no
74899,"Bachelor's degree (B.A., B.S., etc.)",yes
97596,"Master's Degree (M.A., M.S., MBA, etc.)",no
57359,"M.D., D.O., D.D.S., or D.V.M.",yes
17308,"M.D., D.O., D.D.S., or D.V.M.",no
72348,"Master's Degree (M.A., M.S., MBA, etc.)",no
89607,"Bachelor's degree (B.A., B.S., etc.)",no
28820,"Bachelor's degree (B.A., B.S., etc.)",no
51475,"M.D., D.O., D.D.S., or D.V.M.",no
13486,"Master's Degree (M.A., M.S., MBA, etc.)",no
60493,Ph.D or Ed.D.,no
84390,"Master's Degree (M.A., M.S., MBA, etc.)",no
92412,Ph.D or Ed.D.,no
92038,"Master's Degree (M.A., M.S., MBA, etc.)",no
86440,J.D. (Law),no
95585,"Bachelor's degree (B.A., B.S., etc.)",no
14737,"Bachelor's degree (B.A., B.S., etc.)",no
28653,"Bachelor's degree (B.A., B.S., etc.)",no
95559,"Bachelor's degree (B.A., B.S., etc.)",no
60367,"Master's Degree (M.A., M.S., MBA, etc.)",no
59592,"M.D., D.O., D.D.S., or D.V.M.",no
22897,"Bachelor's degree (B.A., B.S., etc.)",no
89652,"M.D., D.O., D.D.S., or D.V.M.",no
50072,"Bachelor's degree (B.A., B.S., etc.)",no
44927,"M.D., D.O., D.D.S., or D.V.M.",no
66676,Ph.D or Ed.D.,yes
95930,"Master's Degree (M.A., M.S., MBA, etc.)",no
70962,"M.D., D.O., D.D.S., or D.V.M.",no
30453,"Master's Degree (M.A., M.S., MBA, etc.)",no
58219,"Master's Degree (M.A., M.S., MBA, etc.)",no
80177,Ph.D or Ed.D.,no
58682,"Bachelor's degree (B.A., B.S., etc.)",yes
79834,Ph.D or Ed.D.,no
38052,Ph.D or Ed.D.,yes
58196,"Master's Degree (M.A., M.S., MBA, etc.)",no
48224,"Master's Degree (M.A., M.S., MBA, etc.)",yes
68318,Ph.D or Ed.D.,no
62246,"Bachelor's degree (B.A., B.S., etc.)",no
57842,"Bachelor's degree (B.A., B.S., etc.)",no
17522,"M.D., D.O., D.D.S., or D.V.M.",no
62617,"M.D., D.O., D.D.S., or D.V.M.",no
48013,"Master's Degree (M.A., M.S., MBA, etc.)",yes
14571,Ph.D or Ed.D.,no
69057,"Master's Degree (M.A., M.S., MBA, etc.)",no
49125,"Bachelor's degree (B.A., B.S., etc.)",yes
83542,"Master's Degree (M.A., M.S., MBA, etc.)",yes
26858,"M.D., D.O., D.D.S., or D.V.M.",yes
93504,"Bachelor's degree (B.A., B.S., etc.)",yes
64232,"Master's Degree (M.A., M.S., MBA, etc.)",no
37404,"Master's Degree (M.A., M.S., MBA, etc.)",no
82248,J.D. (Law),yes
70492,"M.D., D.O., D.D.S., or D.V.M.",yes
95543,"Bachelor's degree (B.A., B.S., etc.)",no
21380,"Bachelor's degree (B.A., B.S., etc.)",no
25495,"Bachelor's degree (B.A., B.S., etc.)",no
83612,"M.D., D.O., D.D.S., or D.V.M.",no
99978,"Master's Degree (M.A., M.S., MBA, etc.)",no
92566,Ph.D or Ed.D.,no
67608,"M.D., D.O., D.D.S., or D.V.M.",no
13647,"Bachelor's degree (B.A., B.S., etc.)",no
59207,"Bachelor's degree (B.A., B.S., etc.)",yes
71089,"Bachelor's degree (B.A., B.S., etc.)",no
98462,"Master's Degree (M.A., M.S., MBA, etc.)",yes
64302,"Bachelor's degree (B.A., B.S., etc.)",no
72885,"Master's Degree (M.A., M.S., MBA, etc.)",no
71193,"Bachelor's degree (B.A., B.S., etc.)",no
98117,"Master's Degree (M.A., M.S., MBA, etc.)",no
24883,"M.D., D.O., D.D.S., or D.V.M.",no
20650,J.D. (Law),no
66815,"M.D., D.O., D.D.S., or D.V.M.",no
14847,"Bachelor's degree (B.A., B.S., etc.)",yes
94215,"Bachelor's degree (B.A., B.S., etc.)",no
98700,Ph.D or Ed.D.,no
99733,"Bachelor's degree (B.A., B.S., etc.)",no
27407,"Master's Degree (M.A., M.S., MBA, etc.)",no
43794,"Bachelor's degree (B.A., B.S., etc.)",no
73918,Ph.D or Ed.D.,yes
51437,"M.D., D.O., D.D.S., or D.V.M.",no
21932,"Master's Degree (M.A., M.S., MBA, etc.)",no
49800,"Bachelor's degree (B.A., B.S., etc.)",no
34062,"M.D., D.O., D.D.S., or D.V.M.",no
42646,"M.D., D.O., D.D.S., or D.V.M.",no
21971,"M.D., D.O., D.D.S., or D.V.M.",yes
84502,"Master's Degree (M.A., M.S., MBA, etc.)",yes
25197,Ph.D or Ed.D.,yes
23270,"M.D., D.O., D.D.S., or D.V.M.",no
70745,J.D. (Law),no
93856,"Master's Degree (M.A., M.S., MBA, etc.)",yes
10237,"Master's Degree (M.A., M.S., MBA, etc.)",yes
97448,"Bachelor's degree (B.A., B.S., etc.)",yes
66156,"Bachelor's degree (B.A., B.S., etc.)",yes
87328,J.D. (Law),no
57045,"Master's Degree (M.A., M.S., MBA, etc.)",no
17183,"Bachelor's degree (B.A., B.S., etc.)",no
22408,"M.D., D.O., D.D.S., or D.V.M.",no
38293,"Master's Degree (M.A., M.S., MBA, etc.)",yes
33785,Ph.D or Ed.D.,no
44310,"Bachelor's degree (B.A., B.S., etc.)",yes
31294,"M.D., D.O., D.D.S., or D.V.M.",no
63419,"Master's Degree (M.A., M.S., MBA, etc.)",no
48969,"Bachelor's degree (B.A., B.S., etc.)",no
64296,"Master's Degree (M.A., M.S., MBA, etc.)",yes
17569,"Bachelor's degree (B.A., B.S., etc.)",no
77036,"Bachelor's degree (B.A., B.S., etc.)",yes
82986,"Master's Degree (M.A., M.S., MBA, etc.)",no
38610,"Master's Degree (M.A., M.S., MBA, etc.)",yes
96610,"Master's Degree (M.A., M.S., MBA, etc.)",no
77711,"Bachelor's degree (B.A., B.S., etc.)",yes
48676,"Master's Degree (M.A., M.S., MBA, etc.)",no
79167,J.D. (Law),no
43710,"Master's Degree (M.A., M.S., MBA, etc.)",no
22455,"Master's Degree (M.A., M.S., MBA, etc.)",no
57443,"M.D., D.O., D.D.S., or D.V.M.",no
96469,"Master's Degree (M.A., M.S., MBA, etc.)",no
94579,Ph.D or Ed.D.,no
29257,"Master's Degree (M.A., M.S., MBA, etc.)",no
63904,"M.D., D.O., D.D.S., or D.V.M.",no
20335,Ph.D or Ed.D.,no
88185,"Master's Degree (M.A., M.S., MBA, etc.)",no
35344,Ph.D or Ed.D.,no
31175,J.D. (Law),no
50666,"Master's Degree (M.A., M.S., MBA, etc.)",no
42617,"M.D., D.O., D.D.S., or D.V.M.",no
25548,"Bachelor's degree (B.A., B.S., etc.)",yes
91551,"M.D., D.O., D.D.S., or D.V.M.",no
33657,"Bachelor's degree (B.A., B.S., etc.)",no
65656,Ph.D or Ed.D.,yes
36117,"Master's Degree (M.A., M.S., MBA, etc.)",yes
82587,"Master's Degree (M.A., M.S., MBA, etc.)",yes
26320,"Bachelor's degree (B.A., B.S., etc.)",yes
77532,"Master's Degree (M.A., M.S., MBA, etc.)",no
92515,Ph.D or Ed.D.,no
97844,"Bachelor's degree (B.A., B.S., etc.)",no
81647,J.D. (Law),no
49790,"Bachelor's degree (B.A., B.S., etc.)",no
15181,"Bachelor's degree (B.A., B.S., etc.)",no
78657,"Master's Degree (M.A., M.S., MBA, etc.)",yes
48154,Ph.D or Ed.D.,no
51495,"Bachelor's degree (B.A., B.S., etc.)",yes
17932,J.D. (Law),no
80429,"Master's Degree (M.A., M.S., MBA, etc.)",no
75149,J.D. (Law),no
33740,"M.D., D.O., D.D.S., or D.V.M.",no
67709,"Bachelor's degree (B.A., B.S., etc.)",no
36552,"Bachelor's degree (B.A., B.S., etc.)",no
14301,"M.D., D.O., D.D.S., or D.V.M.",no
63138,"M.D., D.O., D.D.S., or D.V.M.",no
51298,"Bachelor's degree (B.A., B.S., etc.)",no
74632,"Master's Degree (M.A., M.S., MBA, etc.)",yes
49086,"Master's Degree (M.A., M.S., MBA, etc.)",no
85503,"Master's Degree (M.A., M.S., MBA, etc.)",no
23253,"Bachelor's degree (B.A., B.S., etc.)",no
47584,"M.D., D.O., D.D.S., or D.V.M.",no
91429,"Bachelor's degree (B.A., B.S., etc.)",yes
22842,"Master's Degree (M.A., M.S., MBA, etc.)",no
14279,"Bachelor's degree (B.A., B.S., etc.)",yes
26857,Ph.D or Ed.D.,no
28327,J.D. (Law),no
52302,"Master's Degree (M.A., M.S., MBA, etc.)",no
93002,"Master's Degree (M.A., M.S., MBA, etc.)",no
51723,"Bachelor's degree (B.A., B.S., etc.)",no
79352,"Master's Degree (M.A., M.S., MBA, etc.)",no
76485,"M.D., D.O., D.D.S., or D.V.M.",no
33239,"M.D., D.O., D.D.S., or D.V.M.",no
67574,"Bachelor's degree (B.A., B.S., etc.)",no
88882,"Bachelor's degree (B.A., B.S., etc.)",no
49915,"Bachelor's degree (B.A., B.S., etc.)",no
93787,"M.D., D.O., D.D.S., or D.V.M.",no
63347,"Master's Degree (M.A., M.S., MBA, etc.)",no
35824,"Master's Degree (M.A., M.S., MBA, etc.)",no
