egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
79341,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19591,Three times a week or more,1-2 times a month,Three times a week or more,Not at all
83536,1-2 times a week,Not at all,1-2 times a week,Not at all
67608,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a week
19735,1-2 times a week,Not at all,Not at all,Not at all
46266,1-2 times a month,Not at all,1-2 times a month,Not at all
59207,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
48946,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
86083,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
96613,Not at all,1-2 times a week,Three times a week or more,Not at all
50766,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all
71089,Not at all,Not at all,Not at all,Not at all
80980,1-2 times a month,Not at all,1-2 times a month,Not at all
98462,1-2 times a week,1-2 times a week,Not at all,Not at all
64302,Not at all,1-2 times a week,Not at all,Not at all
22688,Not at all,Less than 1-2 times a month,Three times a week or more,1-2 times a month
38815,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
68404,1-2 times a month,Three times a week or more,Not at all,Not at all
72885,1-2 times a month,Not at all,Not at all,Not at all
71193,1-2 times a month,Not at all,Not at all,Not at all
98760,Three times a week or more,Not at all,Not at all,Not at all
95374,Not at all,Not at all,Not at all,Not at all
71985,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
43125,Not at all,Not at all,Not at all,Not at all
98117,Not at all,Not at all,Not at all,Not at all
22989,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
24883,1-2 times a month,Not at all,Not at all,Not at all
20650,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all
66815,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all
89161,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
54956,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
14847,Three times a week or more,Not at all,Not at all,Not at all
85453,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
19827,Not at all,1-2 times a week,Three times a week or more,Not at all
43382,Not at all,Not at all,Not at all,Not at all
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
94215,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
57144,Not at all,Not at all,Three times a week or more,Less than 1-2 times a month
75438,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
99733,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
27407,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
14250,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,1-2 times a month
43794,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
60216,Three times a week or more,Not at all,Three times a week or more,Not at all
51437,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
21932,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
98206,Not at all,1-2 times a week,1-2 times a week,Not at all
36385,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
54030,Not at all,1-2 times a week,1-2 times a week,Not at all
67993,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
96543,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
49800,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
11002,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
72850,1-2 times a week,1-2 times a week,Not at all,Not at all
15134,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
42531,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
34062,Three times a week or more,Not at all,Three times a week or more,Three times a week or more
18111,1-2 times a week,Not at all,1-2 times a week,Less than 1-2 times a month
42646,Three times a week or more,Not at all,1-2 times a month,Not at all
59097,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
91484,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
24833,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
84502,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
52123,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
78783,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
25197,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
35872,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
23270,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a week
92716,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
70125,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all
67192,1-2 times a week,Not at all,1-2 times a week,Not at all
12029,1-2 times a month,Not at all,1-2 times a month,Not at all
70745,1-2 times a month,1-2 times a week,Not at all,Not at all
93856,1-2 times a month,1-2 times a week,Not at all,Not at all
10237,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all
97448,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
89165,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
97280,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a week
66156,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
67177,Not at all,Not at all,Not at all,Not at all
22540,Not at all,Not at all,Not at all,Not at all
87328,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
49497,Three times a week or more,1-2 times a week,Not at all,Not at all
41952,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month
17183,1-2 times a month,Not at all,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
54435,Three times a week or more,Not at all,Not at all,Not at all
38554,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
33785,Three times a week or more,Not at all,1-2 times a month,Not at all
33009,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month
91726,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
59355,Three times a week or more,Not at all,Not at all,1-2 times a month
96184,1-2 times a month,Not at all,1-2 times a month,Not at all
70005,Not at all,Not at all,Less than 1-2 times a month,Not at all
64157,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
68050,Not at all,Not at all,Not at all,Not at all
79395,1-2 times a week,1-2 times a month,Three times a week or more,Not at all
59863,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
63419,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
22913,1-2 times a month,Not at all,1-2 times a month,Not at all
91313,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
14511,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
73962,1-2 times a week,1-2 times a week,Not at all,Not at all
48969,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
10153,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
79731,Not at all,Not at all,Not at all,Not at all
64296,Not at all,Not at all,1-2 times a week,Not at all
17569,Not at all,Not at all,1-2 times a week,Not at all
77036,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
53518,1-2 times a month,Not at all,Not at all,Not at all
33953,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
82986,1-2 times a week,Not at all,1-2 times a month,Not at all
70566,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
11402,1-2 times a week,Not at all,1-2 times a week,Not at all
38610,1-2 times a week,Not at all,Three times a week or more,Not at all
96610,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all
77711,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
17020,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
48676,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month
29885,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
79167,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
43710,Less than 1-2 times a month,Not at all,Three times a week or more,Three times a week or more
22455,Three times a week or more,Not at all,Not at all,Not at all
57443,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
96469,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
94579,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
29257,1-2 times a week,Not at all,1-2 times a week,Not at all
23518,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
49539,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
63904,Not at all,Not at all,Not at all,Not at all
82490,1-2 times a week,Not at all,Three times a week or more,Not at all
20335,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
35031,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
88185,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
35344,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
31175,Three times a week or more,Three times a week or more,Not at all,Not at all
98325,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
50666,1-2 times a week,Not at all,1-2 times a week,Not at all
42617,Three times a week or more,Not at all,Not at all,Not at all
58793,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
25125,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
25548,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
96689,Not at all,Not at all,Not at all,Not at all
33657,1-2 times a week,Not at all,1-2 times a month,1-2 times a month
36117,Not at all,Not at all,Three times a week or more,Not at all
82587,1-2 times a week,Not at all,1-2 times a week,Not at all
77532,1-2 times a week,Not at all,1-2 times a month,Not at all
92515,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
97844,Not at all,1-2 times a week,1-2 times a week,Not at all
49790,1-2 times a week,Not at all,1-2 times a week,Not at all
15181,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
78657,Three times a week or more,1-2 times a month,Three times a week or more,Not at all
21887,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month
48154,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
51495,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
21793,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
37218,Not at all,1-2 times a month,Not at all,Not at all
17932,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month
80429,Less than 1-2 times a month,Not at all,Not at all,Not at all
75149,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
81420,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33740,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
67709,1-2 times a week,Not at all,Three times a week or more,Not at all
36552,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
14301,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
63138,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
51298,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
74632,Less than 1-2 times a month,1-2 times a month,Three times a week or more,Not at all
