egoid,majorevent_7,Dieting_7,BAIsum_7,BAIgroup_7,yourelig_7,SelfEsteem_7,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
90646,yes,No,33.0,moderate,Catholic,39.0,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,1-2 times a month,Not at all
88008,no,No,9.0,low,Catholic,29.0,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
88967,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
46701,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
83566,no,Yes,12.0,low,Catholic,38.0,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a month,Not at all,1-2 times a month,Not at all,Not at all
21090,no,No,3.0,low,Catholic,47.0,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
69419,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
87032,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
94641,no,No,6.0,low,No Religion,35.0,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Not at all
82728,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
45076,no,No,6.0,low,Catholic,42.0,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,1-2 times a month
58437,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
94862,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
14606,no,No,0.0,low,Catholic,50.0,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
64075,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
39787,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
82376,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
44872,no,No,7.0,low,Protestant,41.0,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
87783,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
22199,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
47498,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
57325,yes,No,41.0,severe,Catholic,29.0,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Not at all
53776,no,No,6.806818181818182,low,Protestant,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
58633,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
27306,yes,No,3.0,low,Catholic,50.0,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
80607,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
73143,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
