egoid,SelfEsteem_7
44869,39.0
43516,38.111530403773585
89411,38.111530403773585
74285,38.111530403773585
56527,38.111530403773585
16819,38.111530403773585
34591,38.111530403773585
89972,38.111530403773585
92552,46.0
73158,49.0
45963,33.0
22138,43.0
90136,38.111530403773585
46744,38.111530403773585
77941,50.0
44873,40.0
36540,38.111530403773585
14527,38.111530403773585
83005,32.0
31439,44.0
21899,38.111530403773585
29232,38.111530403773585
32249,38.111530403773585
45375,38.111530403773585
25536,38.111530403773585
32037,38.111530403773585
90476,38.111530403773585
46558,35.0
24016,38.111530403773585
52277,38.111530403773585
93699,37.0
36875,40.0
84011,40.0
90646,39.0
88008,29.0
88967,38.111530403773585
46701,38.111530403773585
83566,38.0
21090,47.0
69419,38.111530403773585
87032,38.111530403773585
94641,35.0
82728,38.111530403773585
45076,42.0
58437,38.111530403773585
94862,38.111530403773585
14606,50.0
64075,38.111530403773585
39787,38.111530403773585
82376,38.111530403773585
44872,41.0
87783,38.111530403773585
22199,38.111530403773585
47498,38.111530403773585
57325,29.0
53776,38.111530403773585
58633,38.111530403773585
27306,50.0
80607,38.111530403773585
73143,38.111530403773585
35797,38.111530403773585
46365,39.0
30596,38.111530403773585
31045,38.111530403773585
74492,38.0
76791,38.111530403773585
21348,38.111530403773585
23287,41.0
14763,38.111530403773585
22066,38.111530403773585
64058,38.111530403773585
28247,30.0
72873,38.111530403773585
67544,38.111530403773585
76810,38.111530403773585
51760,49.0
72806,48.0
98766,38.111530403773585
23042,38.111530403773585
60997,31.0
36038,24.0
39146,40.0
60963,38.111530403773585
67918,40.0
34467,45.0
42132,38.111530403773585
41268,38.111530403773585
90692,38.111530403773585
32668,38.111530403773585
24079,38.111530403773585
59673,50.0
74899,38.111530403773585
48891,38.111530403773585
81807,33.0
77187,38.111530403773585
91176,26.0
22292,38.111530403773585
35011,38.111530403773585
76785,38.111530403773585
60903,38.111530403773585
10115,38.111530403773585
35416,24.0
89710,32.0
97596,38.0
39129,38.111530403773585
57359,33.0
17308,39.0
51851,38.111530403773585
35855,38.111530403773585
67334,19.0
60230,38.111530403773585
77838,38.111530403773585
37371,38.111530403773585
57292,38.111530403773585
66406,38.111530403773585
90447,38.111530403773585
56798,38.111530403773585
28827,38.111530403773585
23115,38.111530403773585
77872,44.0
43114,38.111530403773585
72348,35.0
15707,38.111530403773585
45776,38.111530403773585
63122,38.111530403773585
27169,38.111530403773585
89607,39.0
59900,33.0
28254,38.111530403773585
56480,38.111530403773585
11128,38.111530403773585
47886,38.111530403773585
28820,38.111530403773585
35347,38.111530403773585
45641,38.111530403773585
25369,38.111530403773585
64572,38.111530403773585
31538,38.111530403773585
73452,38.111530403773585
51475,38.111530403773585
28312,34.0
13486,50.0
56805,38.111530403773585
57697,38.111530403773585
54837,38.111530403773585
29718,38.111530403773585
26800,49.0
60493,31.0
52051,38.111530403773585
30972,38.111530403773585
47142,38.111530403773585
69217,38.111530403773585
69009,38.111530403773585
84390,34.0
74845,45.0
90905,38.111530403773585
39659,38.111530403773585
62072,38.111530403773585
60396,37.0
61084,38.111530403773585
92412,46.0
92038,48.0
33388,38.111530403773585
31717,38.111530403773585
18324,38.111530403773585
86440,43.0
95585,45.0
29792,37.0
14737,37.0
28223,50.0
85708,38.111530403773585
55452,38.111530403773585
20179,38.111530403773585
78339,38.111530403773585
23696,38.111530403773585
28653,40.0
84715,38.111530403773585
95559,50.0
30152,40.0
68764,38.111530403773585
60367,44.0
36939,38.111530403773585
59592,35.0
22897,41.0
89652,37.0
28724,38.111530403773585
92895,38.111530403773585
69831,38.111530403773585
59178,38.111530403773585
50072,29.0
44927,38.0
71894,25.0
76790,38.111530403773585
78428,38.111530403773585
66676,34.0
