egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
42617,Three times a week or more,Not at all,Not at all,Not at all,has stayed about the same
58793,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a bit
25125,1-2 times a month,1-2 times a month,Three times a week or more,Less than 1-2 times a month,has decreased a bit
25548,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,increased a bit
25966,1-2 times a week,Not at all,1-2 times a week,1-2 times a month,has stayed about the same
96689,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
43581,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
75578,Not at all,Not at all,1-2 times a week,Not at all,has stayed about the same
91551,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
33657,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,increased a bit
65656,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,increased a bit
36117,1-2 times a month,Not at all,Three times a week or more,Not at all,increased a bit
82587,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
14690,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
77532,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
92515,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,increased a bit
97844,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,increased a good deal
49790,1-2 times a month,Not at all,Three times a week or more,Not at all,has stayed about the same
71592,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,has stayed about the same
15181,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
48154,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,increased a bit
21793,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
17932,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
80429,1-2 times a week,1-2 times a week,Not at all,Not at all,has stayed about the same
75149,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
61659,Not at all,Not at all,Not at all,Not at all,increased a bit
81420,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
33740,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
87192,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,increased a bit
67709,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
36552,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
14301,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
63138,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
51298,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,has stayed about the same
74632,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
16654,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
54394,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
84768,1-2 times a month,Not at all,Three times a week or more,Not at all,has stayed about the same
29134,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,has stayed about the same
24029,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week,increased a bit
35361,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
49086,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,increased a bit
85503,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,increased a bit
10732,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,increased a bit
39564,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
22460,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
25172,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more,has stayed about the same
22143,Three times a week or more,1-2 times a week,Not at all,Not at all,increased a good deal
95490,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,increased a good deal
23253,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
90079,1-2 times a month,Not at all,1-2 times a week,Not at all,has stayed about the same
47584,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
97990,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
82269,1-2 times a week,Not at all,1-2 times a week,Less than 1-2 times a month,has stayed about the same
22842,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
33084,Three times a week or more,Not at all,1-2 times a month,Not at all,has stayed about the same
14279,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
91932,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
32404,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
73577,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
43177,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
26857,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
28327,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
64978,Not at all,Not at all,Not at all,Not at all,has decreased a bit
52302,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
97050,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
46418,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
93002,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
81930,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
56543,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,increased a bit
17470,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month,increased a bit
35180,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,increased a bit
89142,Not at all,Less than 1-2 times a month,Not at all,Three times a week or more,increased a bit
24898,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
79352,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
50976,Three times a week or more,1-2 times a month,1-2 times a month,1-2 times a month,increased a bit
55533,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
12156,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
76485,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
33239,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
72570,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
67574,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month,increased a good deal
44639,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
43809,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
31033,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,increased a bit
10469,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
77789,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all,increased a good deal
88582,Less than 1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
83470,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
67015,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,increased a bit
26272,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,increased a bit
88882,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,increased a bit
96828,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
31985,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
91337,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
19245,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a good deal
83748,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,increased a bit
49915,Not at all,Not at all,1-2 times a month,1-2 times a month,has stayed about the same
51865,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
78407,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a month,increased a bit
93787,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
40864,1-2 times a month,Not at all,Less than 1-2 times a month,1-2 times a month,has stayed about the same
38313,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
55340,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a week,increased a bit
18707,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a good deal
63347,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
35824,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a good deal
35925,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month,increased a bit
