egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
37404,Three times a week or more,Not at all,Not at all,Not at all,increased a bit
87330,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
92028,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
28824,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
11482,Not at all,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
70492,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
95543,Not at all,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
21380,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
67106,Not at all,Not at all,Not at all,Not at all,has stayed about the same
25495,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
83612,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,increased a bit
19122,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,increased a bit
99978,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,has stayed about the same
39414,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
35987,Not at all,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
66655,1-2 times a week,1-2 times a week,Not at all,Not at all,has stayed about the same
46373,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
79341,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
19591,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a good deal
83536,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,increased a good deal
66682,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,increased a bit
67608,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,increased a bit
19735,1-2 times a week,Not at all,Not at all,Not at all,has stayed about the same
51952,1-2 times a week,Not at all,Three times a week or more,1-2 times a week,has stayed about the same
46266,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
59207,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
48946,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,increased a good deal
86083,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
96613,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
50766,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
71089,Not at all,Not at all,Three times a week or more,Not at all,has stayed about the same
98462,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,has stayed about the same
94455,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
11148,1-2 times a week,Not at all,1-2 times a month,Not at all,has stayed about the same
64302,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
22688,1-2 times a month,Not at all,Three times a week or more,Not at all,increased a bit
38815,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
68404,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
71836,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
12748,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
55569,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,has stayed about the same
72885,1-2 times a month,Not at all,Not at all,Not at all,increased a bit
36574,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
44070,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
49010,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
98760,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
95374,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
43125,Less than 1-2 times a month,Not at all,Not at all,Not at all,increased a bit
98117,1-2 times a month,1-2 times a month,Not at all,Not at all,has stayed about the same
22989,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,has stayed about the same
24883,Not at all,Not at all,Not at all,Less than 1-2 times a month,has stayed about the same
20650,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
66815,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all,has stayed about the same
89161,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
54956,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
14847,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
85453,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week,has stayed about the same
19827,Three times a week or more,1-2 times a month,Three times a week or more,Not at all,has stayed about the same
31121,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,increased a good deal
38683,1-2 times a week,Not at all,Three times a week or more,1-2 times a month,increased a bit
82918,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
43382,1-2 times a week,Not at all,1-2 times a month,Not at all,increased a good deal
44344,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
94215,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
80675,Three times a week or more,Not at all,Not at all,Three times a week or more,has stayed about the same
57144,Less than 1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month,has stayed about the same
94662,Not at all,Not at all,Not at all,Not at all,has stayed about the same
98700,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
65072,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
11910,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
75438,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
99733,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all,increased a bit
27407,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,has stayed about the same
14250,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
43794,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
60216,Three times a week or more,1-2 times a week,Not at all,Not at all,increased a bit
51437,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
21932,Three times a week or more,1-2 times a week,Not at all,Not at all,has stayed about the same
29733,1-2 times a week,Not at all,Not at all,Not at all,has stayed about the same
98206,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
36385,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
67993,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month,increased a bit
96543,1-2 times a week,1-2 times a month,Three times a week or more,Less than 1-2 times a month,increased a bit
49800,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
29296,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,increased a bit
11002,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,increased a bit
72850,1-2 times a week,1-2 times a month,Not at all,Not at all,has stayed about the same
15134,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
34062,Less than 1-2 times a month,Not at all,Three times a week or more,Three times a week or more,has stayed about the same
18111,1-2 times a week,Not at all,1-2 times a month,Not at all,increased a bit
42646,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all,increased a good deal
63922,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
59097,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
72912,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
91484,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
24833,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
84502,1-2 times a month,Not at all,Three times a week or more,Not at all,increased a bit
78783,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
25197,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
23270,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week,increased a bit
69807,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
92716,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
56058,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
70125,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,increased a good deal
67192,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
12029,1-2 times a month,Not at all,Not at all,Not at all,increased a good deal
70745,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a good deal
43255,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month,has stayed about the same
93856,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
10237,1-2 times a week,Not at all,Three times a week or more,Not at all,has stayed about the same
97448,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
86974,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
54098,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
66156,1-2 times a week,Not at all,Not at all,Not at all,has stayed about the same
67177,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
22540,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
15586,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
18611,Three times a week or more,Not at all,Not at all,Three times a week or more,increased a bit
87328,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
57045,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
49497,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
15031,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
79607,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
41952,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,increased a bit
17183,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
54435,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,increased a bit
38554,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,increased a bit
33785,Three times a week or more,Not at all,1-2 times a week,1-2 times a month,has stayed about the same
44310,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
33009,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month,increased a bit
31294,Three times a week or more,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
