egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
86440,1-2 times a month,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
95585,Not at all,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
29792,,,,,,,
14737,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
28223,,,,,,,
85708,,,,,,,
55452,,,,,,,
20179,,,,,,,
78339,,,,,,,
23696,,,,,,,
28653,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
84715,,,,,,,
95559,Not at all,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
30152,,,,,,,
68764,,,,,,,
60367,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
36939,,,,,,,
59592,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
22897,Not at all,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week
89652,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
28724,,,,,,,
92895,,,,,,,
69831,,,,,,,
59178,,,,,,,
50072,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
44927,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
71894,,,,,,,
76790,,,,,,,
78428,,,,,,,
66676,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
95930,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
70962,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
12738,,,,,,,
29647,,,,,,,
27111,,,,,,,
30453,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
58219,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,1-2 times a week
28377,,,,,,,
80177,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
18677,,,,,,,
66047,,,,,,,
58682,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
81199,,,,,,,
85679,,,,,,,
79834,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Three times a week or more
93471,,,,,,,
19538,,,,,,,
14595,,,,,,,
38052,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
33133,,,,,,,
40021,,,,,,,
27141,,,,,,,
93858,,,,,,,
47810,,,,,,,
58196,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
42773,,,,,,,
72152,,,,,,,
76663,,,,,,,
48224,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
30137,,,,,,,
68318,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
62246,Not at all,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
69496,,,,,,,
61028,,,,,,,
55424,,,,,,,
17581,,,,,,,
23576,,,,,,,
57842,Not at all,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
17522,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
55685,,,,,,,
74079,,,,,,,
97833,,,,,,,
11992,,,,,,,
93485,,,,,,,
34402,,,,,,,
62617,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
42137,,,,,,,
37305,,,,,,,
48013,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
44447,,,,,,,
14571,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
69057,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
49125,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
66629,,,,,,,
83542,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
18222,,,,,,,
39738,,,,,,,
26858,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
70552,,,,,,,
38826,,,,,,,
93504,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
