egoid,major1rc_2,major2rc_2,degreeintent_2,majorevent_2
91176,508.0,506.0,Ph.D or Ed.D.,no
22292,309.0,255.33333333333331,"Master's Degree (M.A., M.S., MBA, etc.)",no
35011,406.0,128.0,J.D. (Law),no
76785,442.0,182.33333333333331,,
60903,337.6666666666667,118.33333333333331,,
10115,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
35416,309.0,125.33333333333331,Ph.D or Ed.D.,yes
89710,135.0,128.0,J.D. (Law),yes
97596,405.0,407.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39129,403.0,304.0,,
57359,503.0,313.3333333333333,"M.D., D.O., D.D.S., or D.V.M.",no
17308,503.0,507.0,"M.D., D.O., D.D.S., or D.V.M.",no
51851,403.0,405.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
35855,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
67334,305.0,179.33333333333334,"Bachelor's degree (B.A., B.S., etc.)",yes
60230,128.0,506.0,Ph.D or Ed.D.,yes
77838,403.0,401.0,"Bachelor's degree (B.A., B.S., etc.)",no
37371,134.0,124.33333333333331,Ph.D or Ed.D.,no
57292,110.0,503.0,J.D. (Law),no
66406,281.0,127.33333333333331,,
90447,306.0,274.6666666666667,"Master's Degree (M.A., M.S., MBA, etc.)",no
56798,128.0,138.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28827,309.0,505.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
23115,309.0,380.6666666666667,"Bachelor's degree (B.A., B.S., etc.)",no
77872,304.0,374.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
43114,302.0,118.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
72348,507.0,511.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
15707,344.6666666666667,379.6666666666667,"M.D., D.O., D.D.S., or D.V.M.",no
45776,441.0,307.3333333333333,,
63122,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
27169,238.0,476.0,,
89607,305.0,179.33333333333334,"Master's Degree (M.A., M.S., MBA, etc.)",no
