egoid,SelfEsteem_1_8,SelfEsteem_2_8,SelfEsteem_3_8,SelfEsteem_4_8,SelfEsteem_5_8,SelfEsteem_6_8,SelfEsteem_7_8,SelfEsteem_8_8,SelfEsteem_9_8,SelfEsteem_10_8,SelfEsteem_8,lonely_1_8,lonely_2_8,lonely_3_8,lonely_4_8,lonely_5_8,lonely_6_8,lonely_7_8,lonely_8_8,lonely_9_8,lonely_10_8,lonely_11_8,lonely_12_8,lonely_13_8,lonely_14_8,lonely_15_8,selsa_rom_8,selsa_fam_8,selsa_soc_8,Trust_1_8,Trust_2_8,Trust_3_8,Trust_4_8,Trust_5_8,Trust_6_8,Trust_8,SelfReg_1_8,SelfReg_3_8,SelfReg_4_8,SelfReg_5_8,SelfReg_6_8,SelfReg_7_8,SelfReg_8_8,SelfReg_9_8,SelfReg_10_8,SelfReg_11_8,SelfReg_12_8,SelfReg_13_8,selfreg_scale_8
21887,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,-0.0202667466666666,0.5703950666666667,0.74643915,,,,,,,3.0,,,,,,,,,,,,,2.6388889
48154,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,48.0,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.72621101,-0.62255591,-0.77791005,Agree,Neither Agree or Disagree,Disagree,Agree,Agree,Agree,3.5,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,1.75
92953,,,,,,,,,,,41.333333333333336,,,,,,,,,,,,,,,,0.4774832033333333,1.4907141699999995,0.9675342366666668,,,,,,,2.944444433333333,,,,,,,,,,,,,2.305555566666667
90192,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,0.4000493999999999,0.7461771,-0.97407142,,,,,,,3.6666667,,,,,,,,,,,,,2.333333333333333
51495,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,46.0,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,1.0082402,0.59498358,-0.12213285,Agree,Disagree,Disagree,Agree,Agree,Agree,3.6666667,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,1.75
34344,,,,,,,,,,,34.666666666666664,,,,,,,,,,,,,,,,0.0600053233333333,0.9081673533333332,0.9180848,,,,,,,2.8888889,,,,,,,,,,,,,2.8611111
21793,,,,,,,,,,,45.66666666666666,,,,,,,,,,,,,,,,-0.3085626566666667,-0.6325844366666667,-0.6818479700000001,,,,,,,3.444444433333333,,,,,,,,,,,,,2.194444433333333
37218,,,,,,,,,,,41.66666666666666,,,,,,,,,,,,,,,,-0.7517148766666667,0.5991459800000001,0.6904757133333334,,,,,,,2.944444433333333,,,,,,,,,,,,,2.583333333333333
17932,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,45.0,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,-1.2793351,0.11069342,0.1921441,Disagree,Agree,Agree,Disagree,Agree,Agree,2.3333333,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,1.8333334
95026,,,,,,,,,,,37.333333333333336,,,,,,,,,,,,,,,,0.0762479933333333,0.5808505533333334,0.7157011566666668,,,,,,,3.1666666666666665,,,,,,,,,,,,,2.333333333333333
