egoid,exercise_1,clubsports_1,varsitysports_1,swimming_1
43114,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
72348,Three times a week or more,Not at all,Not at all,Not at all
15707,,,,
45776,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
63122,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
27169,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
89607,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
59900,1-2 times a month,Not at all,Not at all,Not at all
28254,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
56480,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
11128,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
47886,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
28820,,,,
35347,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
45641,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
25369,,,,
64572,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
31538,Three times a week or more,1-2 times a week,Not at all,1-2 times a week
73452,,,,
51475,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
28312,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
13486,,,,
56805,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
57697,Three times a week or more,Not at all,Three times a week or more,Three times a week or more
54837,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
29718,,,,
26800,Three times a week or more,1-2 times a week,Not at all,1-2 times a week
60493,,,,
52051,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
30972,,,,
47142,Three times a week or more,1-2 times a month,Not at all,Not at all
69217,,,,
69009,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
84390,1-2 times a week,1-2 times a month,Not at all,1-2 times a month
74845,,,,
90905,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
39659,Three times a week or more,1-2 times a week,Not at all,Not at all
62072,,,,
60396,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
61084,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
92412,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
92038,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
33388,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
31717,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
18324,,,,
86440,Three times a week or more,Not at all,Three times a week or more,1-2 times a month
95585,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
29792,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
14737,1-2 times a week,Not at all,Not at all,Three times a week or more
28223,,,,
85708,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month
55452,Three times a week or more,Not at all,Not at all,Not at all
20179,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
78339,,,,
23696,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
28653,Three times a week or more,Not at all,Three times a week or more,Not at all
84715,1-2 times a week,Not at all,Not at all,1-2 times a month
95559,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more
30152,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month
68764,Three times a week or more,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
60367,,,,
36939,,,,
59592,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
22897,,,,
89652,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
28724,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
92895,Three times a week or more,Not at all,Three times a week or more,Three times a week or more
69831,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
59178,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
50072,,,,
44927,Three times a week or more,Three times a week or more,Not at all,Not at all
71894,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
76790,,,,
78428,,,,
66676,,,,
95930,,,,
70962,,,,
12738,Less than 1-2 times a month,Not at all,Not at all,Not at all
29647,,,,
27111,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
30453,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
58219,,,,
28377,,,,
80177,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
18677,,,,
66047,0,Not at all,Not at all,1-2 times a month
58682,,,,
81199,,,,
85679,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
79834,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all
93471,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
19538,1-2 times a week,1-2 times a week,Not at all,Not at all
14595,,,,
38052,,,,
33133,Three times a week or more,Less than 1-2 times a month,Three times a week or more,1-2 times a month
40021,,,,
27141,Less than 1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month
93858,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
47810,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
58196,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
42773,Three times a week or more,Three times a week or more,Not at all,Not at all
72152,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
76663,,,,
48224,1-2 times a month,Not at all,Not at all,Not at all
30137,,,,
68318,,,,
62246,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
69496,Three times a week or more,Not at all,Not at all,1-2 times a month
61028,,,,
55424,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Not at all
17581,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
23576,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
57842,,,,
17522,,,,
55685,,,,
74079,,,,
97833,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
11992,,,,
93485,Three times a week or more,1-2 times a month,Not at all,Not at all
34402,Three times a week or more,Three times a week or more,Not at all,Three times a week or more
62617,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
42137,1-2 times a week,Not at all,Three times a week or more,1-2 times a week
37305,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
48013,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more
44447,1-2 times a week,Not at all,Three times a week or more,Three times a week or more
14571,1-2 times a week,Not at all,Not at all,Not at all
69057,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
49125,,,,
66629,1-2 times a week,Three times a week or more,Not at all,Not at all
83542,1-2 times a week,1-2 times a week,Not at all,Not at all
18222,,,,
39738,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month
26858,Three times a week or more,Not at all,Three times a week or more,1-2 times a week
70552,,,,
38826,,,,
93504,,,,
64232,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
37404,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
25961,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
87330,,,,
92028,Three times a week or more,1-2 times a week,Not at all,1-2 times a month
82248,,,,
28824,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
11482,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
69936,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
91320,,,,
37001,,,,
70492,1-2 times a week,1-2 times a month,Three times a week or more,Less than 1-2 times a month
95543,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
21380,,,,
67106,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
25495,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
26581,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
66642,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
83612,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
63954,,,,
20665,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
19122,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
99978,Three times a week or more,Not at all,Three times a week or more,1-2 times a month
92566,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
39414,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
35987,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
66655,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
10547,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
46373,1-2 times a week,Three times a week or more,Not at all,Not at all
79341,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
19591,,,,
83536,1-2 times a week,1-2 times a month,Not at all,1-2 times a month
66682,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month
88337,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
67608,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
19735,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
42513,1-2 times a month,1-2 times a week,1-2 times a month,Less than 1-2 times a month
64595,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a week
85134,,,,
51952,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a week
28837,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
46266,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
61289,1-2 times a month,1-2 times a month,Not at all,1-2 times a month
18743,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
13647,,,,
59207,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
48946,Three times a week or more,1-2 times a week,Not at all,1-2 times a week
86083,,,,
96613,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
49014,,,,
50766,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
71089,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
80980,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
29115,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
98462,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
94455,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
11148,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a month
88384,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
60904,,,,
64302,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
51882,,,,
54200,,,,
22688,1-2 times a week,1-2 times a week,1-2 times a month,Three times a week or more
38815,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
34525,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
68404,,,,
71836,Three times a week or more,Not at all,Not at all,1-2 times a month
12748,1-2 times a week,Not at all,Not at all,1-2 times a month
33445,,,,
83078,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
72160,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
55569,,,,
