egoid,exercise_1,clubsports_1,varsitysports_1,swimming_1
96689,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
22587,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
43581,,,,
75578,1-2 times a week,Not at all,1-2 times a week,1-2 times a month
43507,Three times a week or more,Not at all,Not at all,Not at all
91551,Three times a week or more,1-2 times a week,Not at all,1-2 times a month
30676,Three times a week or more,Three times a week or more,Not at all,Three times a week or more
19030,Three times a week or more,Less than 1-2 times a month,Three times a week or more,1-2 times a month
33657,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
76521,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
52848,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month
40231,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
65656,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
30610,,,,
36117,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
82587,,,,
14690,,,,
40569,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
97021,,,,
26320,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all
77532,,,,
92515,1-2 times a week,1-2 times a month,Not at all,1-2 times a month
97844,,,,
81647,,,,
33127,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
45958,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
49790,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
74251,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
28326,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
20507,Three times a week or more,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
71592,1-2 times a week,1-2 times a week,Not at all,Not at all
15181,,,,
70209,1-2 times a week,Not at all,Not at all,Not at all
78657,1-2 times a week,1-2 times a month,Three times a week or more,1-2 times a month
21887,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
48154,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
92953,,,,
90192,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
51495,,,,
34344,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
21793,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month
37218,0,Not at all,Not at all,Not at all
17932,1-2 times a week,1-2 times a week,Not at all,Not at all
95026,,,,
66800,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
73693,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
80429,,,,
75149,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
61659,,,,
81420,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
33740,Three times a week or more,Not at all,Not at all,Not at all
37979,,,,
87192,,,,
67709,Three times a week or more,1-2 times a month,1-2 times a month,1-2 times a month
36552,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
14301,,,,
36384,,,,
63138,1-2 times a week,1-2 times a month,Three times a week or more,Not at all
51298,,,,
74632,,,,
16654,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a week
54394,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
84768,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
29134,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
24029,Three times a week or more,1-2 times a month,Not at all,1-2 times a week
35361,Three times a week or more,Three times a week or more,Not at all,Not at all
87056,,,,
49086,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
67917,1-2 times a week,Not at all,1-2 times a week,Not at all
85503,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
60008,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
66542,,,,
55881,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
86265,,,,
10732,,,,
22119,,,,
50797,,,,
39564,,,,
39285,,,,
22460,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a week
25172,,,,
77134,1-2 times a week,Not at all,Not at all,1-2 times a month
22143,Three times a week or more,Not at all,Not at all,1-2 times a month
93766,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
45097,Three times a week or more,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
26289,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
95490,1-2 times a week,Not at all,Three times a week or more,Less than 1-2 times a month
66979,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month
23253,,,,
12900,,,,
90079,Three times a week or more,Not at all,Not at all,Three times a week or more
47584,,,,
97990,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
39248,Three times a week or more,Not at all,Three times a week or more,Not at all
29354,1-2 times a week,Not at all,Not at all,Not at all
25743,,,,
91429,Three times a week or more,1-2 times a month,Not at all,1-2 times a week
82269,Three times a week or more,Less than 1-2 times a month,Three times a week or more,1-2 times a month
22842,Three times a week or more,1-2 times a month,Not at all,1-2 times a month
31311,Three times a week or more,Not at all,Three times a week or more,1-2 times a week
32423,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
33084,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
14279,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
91932,Three times a week or more,1-2 times a month,Three times a week or more,Three times a week or more
32404,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
73577,1-2 times a week,Not at all,Not at all,Not at all
70561,,,,
43177,,,,
36501,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
26857,,,,
28327,1-2 times a week,Not at all,Three times a week or more,Less than 1-2 times a month
42674,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
79897,1-2 times a week,Not at all,Not at all,Not at all
64978,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
70434,,,,
52302,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
97050,,,,
46418,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
86691,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
93002,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
81930,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
56543,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
92618,Three times a week or more,Three times a week or more,Not at all,Three times a week or more
17470,,,,
74211,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a week
35180,,,,
89142,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more
24898,Three times a week or more,Not at all,Three times a week or more,1-2 times a week
74413,Three times a week or more,Not at all,1-2 times a week,Not at all
38824,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
51723,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
79352,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month
30814,,,,
90502,Three times a week or more,1-2 times a week,Not at all,Not at all
94456,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a week
70661,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
50976,,,,
55533,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
12156,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
76485,,,,
33239,,,,
72570,0,Not at all,Not at all,Not at all
67574,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
42231,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
44639,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week
64072,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
84960,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
43809,,,,
27941,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a week
31033,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
39301,,,,
10469,,,,
77789,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
47024,Three times a week or more,Three times a week or more,Not at all,Three times a week or more
88582,Three times a week or more,Not at all,Not at all,Not at all
73897,,,,
83470,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
67015,Three times a week or more,Not at all,Not at all,1-2 times a month
26272,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month
21909,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
88882,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
62510,,,,
96828,,,,
64406,1-2 times a week,1-2 times a week,Not at all,1-2 times a week
31985,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
91337,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month
87664,,,,
19245,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
83748,Three times a week or more,Not at all,Not at all,Not at all
49915,,,,
51865,,,,
78407,1-2 times a week,Not at all,Not at all,1-2 times a week
93787,,,,
52621,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month
38914,Three times a week or more,Not at all,Not at all,Not at all
37594,,,,
19833,Three times a week or more,1-2 times a month,Not at all,1-2 times a week
17270,,,,
40864,,,,
38313,1-2 times a week,1-2 times a month,Not at all,1-2 times a month
55340,Three times a week or more,Three times a week or more,Not at all,1-2 times a week
18707,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
73807,,,,
26718,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
63347,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
35824,1-2 times a week,1-2 times a month,Not at all,Not at all
48826,,,,
11454,,,,
93246,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
75341,Three times a week or more,Not at all,Not at all,Not at all
35925,,,,
