egoid,SelfEsteem_1_3,SelfEsteem_2_3,SelfEsteem_3_3,SelfEsteem_4_3,SelfEsteem_5_3,SelfEsteem_6_3,SelfEsteem_7_3,SelfEsteem_8_3,SelfEsteem_9_3,SelfEsteem_10_3,SelfEsteem_3,SelfReg_Exercise_1_3,SelfReg_Exercise_2_3,SelfReg_Exercise_3_3,SelfReg_Exercise_4_3,SelfReg_Exercise_5_3,SelfReg_Exercise_6_3,SelfReg_Exercise_7_3,SelfReg_Exercise_8_3,SelfReg_Exercise_9_3,SelfReg_Exercise_10_3,SelfReg_Exercise_11_3,SelfReg_Exercise_12_3,SelfReg_Exercise_13_3,SelfReg_Exercise_14_3,SelfReg_Exercise_15_3,SelfReg_Exercise_16_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,SRQE_RAI_3,lonely_1_3,lonely_2_3,lonely_3_3,lonely_4_3,lonely_5_3,lonely_6_3,lonely_7_3,lonely_8_3,lonely_9_3,lonely_10_3,lonely_11_3,lonely_12_3,lonely_13_3,lonely_14_3,lonely_15_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,SelfReg_1_3,SelfReg_3_3,SelfReg_4_3,SelfReg_5_3,SelfReg_6_3,SelfReg_7_3,SelfReg_8_3,SelfReg_9_3,SelfReg_10_3,SelfReg_11_3,SelfReg_12_3,SelfReg_13_3,selfreg_scale_3
76785,,,,,,,,,,,36.333333333333336,,,,,,,,,,,,,,,,,1.25,2.583333333333333,5.833333333333333,4.583333333333333,9.916666666666666,,,,,,,,,,,,,,,,-0.13112285,0.2039670493333333,0.436202037,,,,,,,,,,,,,2.7777778000000004
60903,,,,,,,,,,,39.333333333333336,,,,,,,,,,,,,,,,,1.1666666666666667,3.333333333333333,6.25,5.416666666666667,11.416666666666666,,,,,,,,,,,,,,,,0.7783491889999999,-0.2816395266666666,-0.40075636,,,,,,,,,,,,,2.611111133333333
10115,,,,,,,,,,,27.666666666666668,,,,,,,,,,,,,,,,,3.333333333333333,4.25,4.916666666666667,4.25,2.5,,,,,,,,,,,,,,,,-0.4310440733333333,1.5263648933333334,0.5335932766666667,,,,,,,,,,,,,2.722222233333333
35416,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,33.0,5,Not at all true,Somewhat true,5,3,2,Not at all true,Somewhat true,5,Somewhat true,Not at all true,5,5,Somewhat true,5,5,1.75,3.25,4.5,4.25,6.25,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Somewhat Agree,0.94760025,-0.52170169,1.6882105,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,3.8333333
89710,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,2.083333333333333,2.25,4.916666666666667,4.5,7.5,,,,,,,,,,,,,,,,0.3759038733333333,1.3275235166666668,0.3871559869999999,,,,,,,,,,,,,2.4166667
97596,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Agree,35.0,Very true,Not at all true,Very true,Somewhat true,Very true,Not at all true,Not at all true,Very true,Very true,Very true,Not at all true,Very true,Very true,3,Very true,Very true,1.5,3.25,7.0,7.0,14.75,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,-1.1814669,-0.20323861,0.19947648,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,2.3333333
39129,,,,,,,,,,,36.333333333333336,,,,,,,,,,,,,,,,,1.6666666666666667,3.083333333333333,6.0,5.333333333333333,10.25,,,,,,,,,,,,,,,,-0.1411448833333333,0.8508419439999999,-0.4309221666666665,,,,,,,,,,,,,2.361111133333333
57359,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.0,Very true,Somewhat true,6,5,5,2,Not at all true,5,6,5,3,Somewhat true,Very true,2,5,Very true,2.5,4.5,5.5,5.25,6.5,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,-0.15113248,0.72427791,-0.86304891,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,2.8333333
17308,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Neutral,39.0,6,Not at all true,Somewhat true,3,5,2,Not at all true,5,6,Somewhat true,Not at all true,Somewhat true,6,Not at all true,5,5,1.0,3.0,5.0,4.5,9.0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,0.62242401,0.11190705,-1.0943056,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,2.5
51851,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly agree,49.0,Somewhat true,Not at all true,Very true,Not at all true,3,Not at all true,Not at all true,6,Very true,Very true,Not at all true,6,2,Not at all true,6,Very true,1.0,1.25,5.75,6.5,15.5,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,0.21917389,-1.2073368,1.9102386,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,1.75
35855,,,,,,,,,,,40.66666666666666,,,,,,,,,,,,,,,,,1.6666666666666667,3.6666666666666665,6.583333333333333,6.666666666666667,12.916666666666666,,,,,,,,,,,,,,,,0.4789667666666666,-0.22567262,0.2698741199999999,,,,,,,,,,,,,2.3888888666666666
67334,Neutral,Neutral,Agree,Neutral,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neutral,Disagree,29.0,Somewhat true,Not at all true,3,Somewhat true,3,Not at all true,Not at all true,5,3,2,Not at all true,Somewhat true,Somewhat true,Somewhat true,Somewhat true,3,1.75,2.5,3.25,3.5,4.25,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,0.99648023,0.99179989,1.0768946,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,3.4166667
60230,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,1.75,2.583333333333333,6.583333333333333,6.416666666666667,13.333333333333334,,,,,,,,,,,,,,,,0.0347577166666666,-0.2914077966666666,0.1870986166666667,,,,,,,,,,,,,1.8055555333333333
77838,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly agree,47.0,3,2,Somewhat true,Somewhat true,5,Not at all true,Not at all true,5,5,3,Not at all true,5,3,5,Very true,6,2.25,2.5,5.25,4.75,7.75,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,-0.1180497,-0.58209181,-0.85186428,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,2.0833333
