egoid,grade,course,AcademicPeriod
14301,4.0,10782,201810
14301,4.0,11169,201810
14301,3.7,11344,201610
14301,4.0,11390,201810
14301,4.0,11577,201610
14301,3.3,11883,201510
14301,4.0,12137,201710
14301,4.0,13006,201810
14301,3.7,13147,201710
14301,4.0,13476,201610
14301,4.0,11579,201610
14301,3.3,14806,201610
14301,3.0,15869,201510
14301,4.0,15988,201510
14301,4.0,18173,201710
14301,4.0,18866,201810
14301,3.3,19706,201510
14301,4.0,20028,201810
14301,3.0,20133,201520
14301,4.0,20138,201820
14301,4.0,20355,201620
14301,2.7,14225,201510
14571,3.3,23260,201620
14571,2.7,23067,201520
14571,4.0,22793,201620
14571,3.7,21900,201520
14571,2.7,21897,201520
14571,4.0,21277,201520
14571,3.7,21736,201520
14571,2.7,21679,201520
14571,3.3,21423,201520
14571,4.0,23265,201620
14571,4.0,21815,201820
14571,2.7,23819,201620
14571,4.0,30523,201620
14571,4.0,25346,201620
14571,4.0,25668,201720
14571,3.7,26038,201720
14571,4.0,26355,201820
14571,4.0,26493,201720
14571,2.3,29752,201720
14571,3.7,29761,201720
14571,4.0,30181,201720
14571,2.7,30262,201720
14571,4.0,31448,201820
14571,4.0,30338,201520
14571,4.0,21203,201620
14571,2.0,24133,201820
14571,4.0,21132,201720
14571,2.7,10676,201510
14571,4.0,21014,201710
14571,4.0,21066,201820
14571,4.0,10600,201610
14571,2.3,11039,201810
14571,3.3,11579,201610
14571,3.3,11729,201510
14571,3.3,11883,201510
14571,3.0,12481,201810
14571,4.0,12482,201810
14571,3.3,12511,201610
14571,4.0,12922,201710
14571,2.3,13471,201610
14571,3.7,13472,201610
14571,3.7,10393,201510
14571,3.0,14054,201610
14571,3.3,13739,201710
14571,3.7,20145,201810
14571,3.3,20076,201820
14571,3.3,20015,201710
14571,3.0,20014,201710
14571,4.0,20411,201510
14571,3.7,19633,201510
14571,4.0,18111,201710
14571,4.0,15584,201810
14571,2.7,15168,201510
14571,3.7,14873,201710
14571,4.0,19929,201610
14737,3.3,23629,201620
14737,4.0,23215,201520
14737,3.0,22158,201520
14737,3.7,21829,201620
14737,3.3,21694,201820
14737,2.7,21474,201820
14737,2.0,21473,201820
14737,3.0,21039,201620
14737,3.3,24230,201620
14737,3.3,21819,201620
14737,3.7,24395,201620
14737,4.0,30648,201820
14737,3.7,25250,201820
14737,3.0,28259,201720
14737,3.7,29119,201520
14737,4.0,30324,201520
14737,3.3,31175,201720
14737,3.0,31176,201720
14737,3.0,31219,201720
14737,4.0,31237,201720
14737,4.0,32009,201820
14737,4.0,20951,201520
14737,4.0,25179,201520
14737,4.0,20470,201510
14737,2.7,11654,201810
14737,3.7,19486,201510
14737,4.0,10506,201810
14737,3.7,11322,201610
14737,4.0,11381,201810
14737,3.3,20044,201710
14737,3.0,11853,201610
14737,3.7,11864,201510
14737,2.3,12694,201810
14737,4.0,13270,201610
14737,2.7,13426,201710
14737,3.0,13521,201610
14737,3.3,10109,201710
14737,3.7,14911,201710
14737,2.7,15007,201810
14737,3.3,15059,201710
14737,4.0,15154,201510
14737,3.3,15336,201610
14737,3.7,15814,201510
14737,3.3,16855,201810
14737,3.3,16856,201810
14737,3.0,17155,201510
14737,3.3,17618,201710
14737,2.7,13935,201610
14847,3.0,22902,201620
14847,4.0,22638,201720
14847,3.3,22176,201720
14847,2.7,20712,201520
14847,4.0,21855,201520
14847,3.7,21682,201520
14847,4.0,20737,201710
14847,4.0,23874,201620
14847,2.0,22172,201720
14847,2.7,25243,201620
14847,3.7,27195,201820
14847,4.0,26712,201720
14847,3.7,26792,201620
14847,3.3,27186,201820
14847,3.7,27189,201820
14847,4.0,29359,201520
14847,3.7,29408,201520
14847,4.0,30369,201520
14847,3.7,30712,201820
14847,4.0,30713,201820
14847,4.0,20429,201510
14847,3.7,26427,201720
14847,2.7,20135,201620
14847,3.7,30871,201820
14847,3.3,20016,201510
14847,3.0,20028,201710
14847,3.0,11853,201610
14847,3.3,11904,201510
14847,3.3,12109,201610
14847,3.3,13262,201610
14847,2.3,14051,201510
14847,2.7,14083,201810
14847,4.0,15145,201510
14847,2.7,15327,201610
14847,3.3,15337,201610
14847,4.0,15417,201810
14847,3.7,11347,201610
14847,3.7,16197,201810
14847,3.7,16178,201810
14847,3.7,19688,201710
14847,3.3,19681,201710
14847,3.7,19645,201710
14847,3.7,19821,201710
14847,3.0,19488,201510
14847,3.7,18754,201810
14847,3.3,16484,201810
14847,3.0,16224,201810
14847,3.0,19630,201710
15134,3.0,22338,201720
15134,4.0,21073,201720
15134,3.3,21135,201520
15134,3.7,21363,201720
15134,3.7,21742,201520
15134,4.0,21743,201620
15134,3.3,21765,201520
15134,3.0,22159,201520
15134,3.0,22484,201720
15134,4.0,26770,201620
15134,3.7,24133,201620
15134,3.7,24134,201720
15134,4.0,26446,201520
15134,3.7,27235,201820
15134,4.0,27239,201820
15134,4.0,29941,201820
15134,4.0,30367,201520
15134,4.0,30661,201820
15134,3.7,20216,201620
15134,3.3,24064,201620
15134,3.3,20025,201810
15134,4.0,20469,201510
15134,3.0,19628,201510
15134,2.7,19984,201610
15134,4.0,3694,201600
15134,4.0,3697,201600
15134,3.3,10004,201610
15134,3.3,10788,201610
15134,3.7,11674,201810
15134,4.0,11753,201710
15134,3.0,11755,201710
15134,3.7,11756,201710
15134,3.3,10206,201610
15134,2.7,12154,201610
15134,4.0,12215,201510
15134,3.3,12432,201810
15134,3.3,12442,201610
15134,3.3,13328,201510
15134,4.0,15835,201710
15134,3.3,16703,201810
15134,3.7,17193,201810
15134,3.0,11758,201710
15134,4.0,18035,201510
15181,3.7,22098,201520
15181,3.7,21898,201520
15181,4.0,21897,201520
15181,3.3,21769,201520
15181,4.0,21514,201620
15181,4.0,30447,201820
15181,4.0,21345,201820
15181,4.0,21242,201620
15181,4.0,21166,201720
15181,4.0,20911,201720
15181,4.0,22341,201720
15181,4.0,21422,201720
15181,4.0,22360,201620
15181,3.7,29038,201520
15181,4.0,22599,201720
15181,4.0,23791,201820
15181,4.0,23929,201620
15181,3.7,23931,201620
15181,4.0,24135,201820
15181,4.0,26009,201820
15181,4.0,26093,201820
15181,4.0,27001,201720
15181,4.0,29982,201520
15181,4.0,30327,201520
15181,4.0,30353,201620
15181,4.0,20482,201510
15181,4.0,22361,201620
15181,4.0,20186,201720
15181,3.7,14881,201710
15181,4.0,17286,201810
15181,4.0,20043,201620
15181,4.0,10551,201710
15181,4.0,10565,201810
15181,3.7,10676,201510
15181,4.0,11187,201710
15181,4.0,11354,201610
15181,4.0,11553,201710
15181,4.0,11628,201710
15181,3.7,11680,201510
15181,4.0,11956,201810
15181,3.3,12087,201510
15181,4.0,12369,201510
15181,3.7,11100,201610
15181,4.0,12492,201610
15181,4.0,12491,201610
15181,3.7,16414,201810
15181,3.7,16330,201610
15181,4.0,14594,201710
15181,4.0,14538,201810
15181,4.0,14607,201810
15181,4.0,13886,201610
15181,3.3,13630,201510
15181,4.0,13133,201610
15181,4.0,13129,201610
15181,4.0,12543,201510
15181,3.7,13979,201710
17020,3.7,21204,201620
17020,3.7,24394,201820
17020,4.0,21582,201820
17020,3.3,22130,201520
17020,4.0,22641,201520
17020,4.0,23059,201520
17020,2.0,23840,201520
17020,4.0,24841,201820
17020,3.7,29833,201620
17020,2.7,27987,201720
17020,3.7,28032,201720
17020,2.3,29096,201620
17020,3.0,29418,201620
17020,4.0,29419,201620
17020,4.0,30315,201520
17020,3.7,30724,201720
17020,4.0,21096,201510
17020,3.7,24984,201820
17020,3.3,20560,201610
17020,4.0,31146,201820
17020,3.7,20222,201520
17020,2.7,20559,201610
17020,3.3,10126,201810
17020,2.7,10497,201610
17020,1.7,10853,201710
17020,3.3,11029,201810
17020,2.3,12146,201610
17020,3.3,13214,201710
17020,2.0,13329,201510
17020,2.3,14078,201510
17020,3.7,11691,201510
17020,4.0,14525,201810
17020,3.0,14524,201810
17020,4.0,19938,201710
17020,3.3,19555,201710
17020,4.0,19480,201810
17020,3.7,19941,201710
17020,4.0,17846,201610
17020,3.3,16150,201510
17020,3.7,18034,201510
17183,2.7,25236,201620
17183,3.0,20840,201720
17183,4.0,21143,201510
17183,3.7,21742,201520
17183,3.7,21823,201620
