egoid,hs_1,hssex_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hrswork_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1
94641,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,506.0,5-10,41200.0,11100.0,43500.0,45100.0,45200.0,No,yes
82728,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,,0-4,45100.0,45100.0,42100.0,,,Yes,no
45076,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,,5-10,13200.0,16900.0,43500.0,43900.0,,Yes,no
58437,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,Ph.D or Ed.D.,302.0,,None,43100.0,13200.0,13200.0,43500.0,44900.0,Yes,no
94862,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,44200.0,45100.0,Yes,
14606,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,43500.0,45100.0,21100.0,Yes,
64075,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,43900.0,45100.0,53200.0,45100.0,Yes,
39787,Private independent college-prep school,Same sex- female,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,507.0,None,21100.0,53200.0,21900.0,62900.0,,Yes,no
82376,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,400.0,11-15,11300.0,12200.0,13200.0,41900.0,22200.0,Yes,no
44872,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",135.0,507.0,0-4,13200.0,44900.0,,,,Yes,no
87783,Public school,A mixture of boys and girls,A-,5 or more,5 or more,J.D. (Law),404.0,135.0,None,45200.0,13200.0,53200.0,,,No,no
22199,Public magnet school,A mixture of boys and girls,A or A+,0,0,,,,,21100.0,21100.0,31200.0,41100.0,,No,
47498,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,1-2,"M.D., D.O., D.D.S., or D.V.M.",510.0,135.0,None,13200.0,13200.0,43100.0,43900.0,43400.0,Yes,no
57325,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,16200.0,21100.0,45100.0,21100.0,No,
53776,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"Bachelor's degree (B.A., B.S., etc.)",310.0,,11-15,13200.0,13200.0,45100.0,,,Yes,no
58633,Public magnet school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),309.0,128.0,None,11300.0,43100.0,63100.0,45200.0,21200.0,No,no
27306,Public school,A mixture of boys and girls,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",510.0,131.0,None,13200.0,13200.0,21100.0,21100.0,45100.0,Yes,no
80607,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,137.0,None,43100.0,43800.0,25200.0,21200.0,45200.0,Yes,yes
73143,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,128.0,None,25200.0,43100.0,11300.0,41200.0,,Yes,no
35797,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,501.0,0-4,17100.0,45100.0,44200.0,11300.0,43100.0,Yes,yes
46365,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,504.0,5-10,45100.0,13200.0,13200.0,43400.0,,Yes,no
30596,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,Ph.D or Ed.D.,302.0,,None,13200.0,31200.0,49999.0,,,Yes,no
31045,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,506.0,None,11300.0,43100.0,42200.0,12200.0,13100.0,No,yes
74492,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,43400.0,43400.0,11300.0,43100.0,Yes,
76791,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,45200.0,43400.0,22100.0,42200.0,,Yes,
21348,Public magnet school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,None,45100.0,43500.0,41900.0,45900.0,41300.0,Yes,no
23287,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,0-4,,,,,,Yes,no
14763,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,13200.0,25200.0,,,No,
22066,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,None,11300.0,11300.0,41900.0,43100.0,42200.0,Yes,no
64058,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,104.0,None,17100.0,13200.0,42200.0,45200.0,43100.0,No,no
28247,Public school,A mixture of boys and girls,A or A+,5 or more,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,108.0,None,43500.0,46200.0,22100.0,43100.0,25200.0,No,no
72873,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,510.0,None,13200.0,13200.0,21300.0,41100.0,,Yes,no
67544,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,21100.0,43900.0,43100.0,Yes,
76810,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,507.0,511.0,5-10,44100.0,45100.0,45100.0,45100.0,45100.0,Yes,yes
51760,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,11100.0,21100.0,45100.0,45100.0,No,
72806,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",134.0,109.0,0-4,13200.0,59200.0,43900.0,,,Yes,no
98766,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,401.0,11-15,43500.0,41200.0,12100.0,42200.0,49999.0,No,no
60997,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,45100.0,43100.0,46100.0,42200.0,45100.0,Yes,
36038,Private independent college-prep school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",134.0,110.0,0-4,43500.0,21200.0,41200.0,11300.0,43400.0,Yes,yes
39146,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",503.0,305.0,None,22100.0,17300.0,17300.0,44900.0,,Yes,no
60963,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",304.0,400.0,11-15,13200.0,45100.0,,,,Yes,no
67918,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",303.0,309.0,None,11300.0,43800.0,69300.0,43900.0,,Yes,no
34467,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,100.0,None,12900.0,45100.0,43100.0,43500.0,49999.0,No,no
42132,Private religious/parochial school,A mixture of boys and girls,A-,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,109.0,None,12200.0,12200.0,,,,Yes,no
41268,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21100.0,45100.0,45100.0,42200.0,45100.0,No,
90692,Public school,A mixture of boys and girls,A or A+,1-2,1-2,,,,,43500.0,43100.0,43500.0,,,Yes,
32668,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,130.0,None,45200.0,45100.0,45100.0,43400.0,45200.0,No,no
24079,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,,None,11300.0,21100.0,43100.0,21900.0,11300.0,No,yes
59673,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,135.0,None,45200.0,45100.0,41200.0,43100.0,43900.0,No,no
74899,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,509.0,510.0,5-10,13200.0,13200.0,45100.0,41200.0,41200.0,No,yes
48891,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",,,None,12900.0,41900.0,43100.0,43500.0,43500.0,Yes,no
81807,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,302.0,301.0,None,45100.0,45100.0,11300.0,21100.0,13100.0,Yes,no
77187,Public charter school,A mixture of boys and girls,B+,3-4,3-4,Ph.D or Ed.D.,503.0,307.0,None,43100.0,43900.0,41100.0,44300.0,,Yes,yes
91176,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,508.0,506.0,None,43500.0,45100.0,21100.0,45100.0,,Yes,no
22292,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,45200.0,45100.0,Yes,
35011,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),400.0,128.0,None,43900.0,43100.0,45100.0,13200.0,43100.0,No,yes
76785,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),128.0,,0-4,13200.0,13200.0,43500.0,63900.0,43500.0,No,no
60903,Public school,A mixture of boys and girls,A or A+,3-4,3-4,"Bachelor's degree (B.A., B.S., etc.)",302.0,116.0,None,13200.0,13200.0,21100.0,45200.0,21200.0,No,no
10115,Private independent college-prep school,Same sex- male,B+,0,0,,,,,11100.0,11300.0,11100.0,11300.0,42100.0,No,
35416,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,Ph.D or Ed.D.,,,None,13200.0,13200.0,21100.0,41100.0,21100.0,Yes,no
89710,Public magnet school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),135.0,128.0,5-10,13200.0,25200.0,43900.0,45100.0,45100.0,No,yes
97596,Private religious/parochial school,Same sex- female,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",405.0,,5-10,45200.0,45200.0,53200.0,43100.0,,Yes,yes
39129,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,,None,43600.0,43500.0,43200.0,43800.0,45100.0,Yes,no
57359,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,129.0,None,11300.0,45100.0,43500.0,11300.0,,Yes,no
17308,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,507.0,0-4,13200.0,13200.0,45100.0,69300.0,43600.0,Yes,no
51851,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",404.0,117.0,None,11300.0,11300.0,14400.0,11300.0,43100.0,Yes,no
35855,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,501.0,None,12200.0,11300.0,11300.0,13200.0,,No,yes
67334,Private religious/parochial school,Same sex- female,A-,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,110.0,None,43400.0,43100.0,11200.0,11300.0,,No,no
60230,Public magnet school,A mixture of boys and girls,A or A+,1-2,1-2,Ph.D or Ed.D.,508.0,506.0,0-4,45200.0,13200.0,,,,No,no
77838,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",401.0,403.0,0-4,11300.0,43600.0,16100.0,13200.0,43100.0,Yes,no
37371,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21300.0,11300.0,21200.0,46100.0,44200.0,Yes,
57292,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,J.D. (Law),503.0,511.0,11-15,11300.0,45100.0,42200.0,45100.0,43900.0,Yes,yes
66406,Public school,A mixture of boys and girls,A or A+,1-2,1-2,Ph.D or Ed.D.,200.0,125.0,5-10,13200.0,13200.0,45100.0,21100.0,21100.0,Yes,yes
90447,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,1-2,,,,,11100.0,11300.0,42200.0,43800.0,45100.0,No,
56798,Public school,A mixture of boys and girls,A-,5 or more,5 or more,Ph.D or Ed.D.,200.0,128.0,0-4,43100.0,13200.0,16900.0,21200.0,43100.0,Yes,no
28827,Public magnet school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,11300.0,11300.0,22100.0,45100.0,Yes,
23115,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,,None,13200.0,13200.0,45100.0,43400.0,13200.0,Yes,no
77872,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),302.0,304.0,None,13200.0,13200.0,45200.0,45100.0,45100.0,No,yes
43114,Private independent college-prep school,Same sex- female,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,11-15,13200.0,13200.0,13200.0,43600.0,41200.0,Yes,no
72348,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",404.0,514.0,21 or more,45100.0,25200.0,43100.0,41200.0,45100.0,Yes,no
15707,Public school,A mixture of boys and girls,B+,5 or more,5 or more,,,,,21100.0,21200.0,45100.0,44900.0,,No,
45776,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",511.0,,21 or more,11300.0,45100.0,16200.0,,,No,no
63122,Public school,A mixture of boys and girls,A or A+,0,0,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,511.0,0-4,11100.0,45100.0,43900.0,43600.0,,Yes,no
27169,Private independent college-prep school,Same sex- male,A or A+,5 or more,5 or more,J.D. (Law),,,None,45200.0,13200.0,12100.0,41200.0,,Yes,no
89607,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",305.0,400.0,16-20,11300.0,43300.0,43800.0,11300.0,41100.0,Yes,no
59900,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",511.0,,5-10,21300.0,43900.0,43100.0,42200.0,42200.0,Yes,yes
28254,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",300.0,,None,11300.0,45100.0,53200.0,11200.0,45100.0,No,no
56480,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,300.0,None,11100.0,11100.0,43100.0,45200.0,21100.0,Yes,yes
11128,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",405.0,109.0,5-10,43100.0,21200.0,44900.0,45100.0,13200.0,Yes,no
47886,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,134.0,None,13200.0,13200.0,16100.0,45100.0,45100.0,Yes,no
28820,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,1-2,,,,,43100.0,13200.0,13200.0,13200.0,43500.0,Yes,
35347,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),117.0,403.0,None,43100.0,42900.0,13200.0,45100.0,45100.0,No,yes
45641,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,510.0,0-4,45100.0,45100.0,43700.0,13200.0,13200.0,Yes,no
25369,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,13200.0,13200.0,41200.0,44900.0,,No,
64572,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",304.0,306.0,5-10,11300.0,45100.0,21200.0,21100.0,43100.0,Yes,no
31538,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,503.0,,0-4,16900.0,45100.0,53200.0,,,Yes,no
73452,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,11100.0,11300.0,45100.0,45100.0,No,
51475,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,"M.D., D.O., D.D.S., or D.V.M.",129.0,510.0,None,13200.0,13200.0,13200.0,43100.0,41100.0,Yes,no
28312,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),403.0,401.0,None,13200.0,13200.0,41100.0,45100.0,46100.0,Yes,no
13486,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,49999.0,13200.0,43100.0,13200.0,16100.0,Yes,
56805,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",303.0,,None,11300.0,12200.0,43100.0,43500.0,51100.0,Yes,no
57697,Private religious/parochial school,Same sex- female,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,128.0,None,25200.0,11300.0,45100.0,43100.0,22100.0,No,no
54837,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",305.0,303.0,None,11300.0,11300.0,43400.0,45100.0,43500.0,Yes,yes
29718,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,11300.0,17100.0,45200.0,42200.0,45100.0,Yes,
26800,Private religious/parochial school,Same sex- male,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,501.0,None,11300.0,11300.0,49999.0,45100.0,63100.0,Yes,no
60493,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,45200.0,45100.0,43100.0,45100.0,44900.0,Yes,
52051,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",511.0,404.0,None,13200.0,13200.0,13200.0,16900.0,,No,yes
30972,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,13200.0,45100.0,,,,Yes,
47142,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,200.0,,0-4,13200.0,45100.0,63900.0,21100.0,13200.0,Yes,no
69217,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,43500.0,41200.0,21100.0,43500.0,Yes,
69009,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",128.0,140.0,0-4,12200.0,11200.0,43100.0,12200.0,45100.0,Yes,no
84390,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,5-10,43100.0,45100.0,45100.0,43500.0,41900.0,No,yes
74845,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,43100.0,,No,
90905,Public magnet school,A mixture of boys and girls,A-,5 or more,5 or more,Ph.D or Ed.D.,302.0,309.0,None,13200.0,21100.0,13200.0,43500.0,,Yes,yes
39659,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,J.D. (Law),128.0,109.0,None,13200.0,13200.0,45200.0,25200.0,21200.0,Yes,yes
62072,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,45100.0,,Yes,
60396,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),128.0,400.0,0-4,13200.0,13200.0,13200.0,43100.0,43900.0,Yes,yes
