egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
77838,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Frequently,Always
56798,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Never
77872,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
43114,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
72348,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Occasionally,Never
89607,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
59900,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
28254,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,Always,Frequently
28820,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Frequently
35347,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Never
73452,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
51475,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Frequently
28312,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
13486,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Always
29718,,,,,,,,
26800,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Always
60493,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
47142,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
69217,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Always
84390,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
74845,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month,Frequently,Frequently
60396,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Always,Frequently
92412,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
92038,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
33388,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more,Frequently,Occasionally
86440,1-2 times a month,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
95585,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Occasionally
29792,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
14737,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Occasionally
28223,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
55452,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,
20179,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
28653,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Occasionally
95559,Not at all,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
30152,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,
60367,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,,
59592,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
89652,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
28724,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
69831,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
50072,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
44927,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
71894,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Never
76790,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more,,
66676,,,,,,,,
95930,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
