egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
50072,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
44927,1-2 times a week,Not at all,1-2 times a week,Not at all
71894,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
76790,Not at all,Three times a week or more,Three times a week or more,Three times a week or more
66676,,,,
95930,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
70962,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
30453,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
18677,Three times a week or more,1-2 times a month,Not at all,Not at all
66047,1-2 times a week,Not at all,Not at all,Not at all
58682,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
79834,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
38052,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
33133,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
40021,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
93858,,,,
47810,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
58196,Three times a week or more,Three times a week or more,Not at all,Not at all
76663,1-2 times a week,Not at all,Not at all,Not at all
48224,1-2 times a month,Not at all,Not at all,Not at all
30137,1-2 times a week,Not at all,Not at all,Not at all
68318,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
62246,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
55424,1-2 times a week,Three times a week or more,Not at all,Not at all
23576,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
17522,1-2 times a week,Not at all,Not at all,Not at all
93485,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
62617,1-2 times a week,1-2 times a week,Not at all,Not at all
42137,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
37305,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
48013,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
14571,Not at all,Not at all,Not at all,Not at all
69057,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
83542,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
18222,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
39738,1-2 times a week,1-2 times a week,Not at all,Not at all
26858,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
38826,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
93504,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
64232,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
37404,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
87330,Three times a week or more,Not at all,Not at all,Not at all
92028,,,,
82248,1-2 times a month,Not at all,Not at all,Not at all
37001,1-2 times a week,Not at all,1-2 times a week,Not at all
70492,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
95543,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
21380,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
67106,Not at all,Less than 1-2 times a month,Not at all,Not at all
25495,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a week
83612,1-2 times a week,1-2 times a month,Not at all,Not at all
19122,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
99978,1-2 times a month,Three times a week or more,Three times a week or more,Not at all
92566,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
39414,1-2 times a week,Not at all,Not at all,Not at all
35987,Not at all,Not at all,Not at all,Not at all
46373,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
79341,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
19591,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
83536,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
67608,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
19735,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
59207,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
86083,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
50766,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all
71089,Not at all,Not at all,Not at all,Not at all
80980,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more
98462,1-2 times a month,Not at all,1-2 times a month,Not at all
94455,,,,
64302,Not at all,Not at all,Less than 1-2 times a month,Not at all
22688,1-2 times a week,1-2 times a week,Not at all,Not at all
38815,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
34525,,,,
68404,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
55569,Not at all,Not at all,Not at all,Not at all
72885,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
36574,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
71193,1-2 times a week,Not at all,Not at all,Not at all
44070,1-2 times a week,Not at all,Not at all,Not at all
