egoid,sexorientation_6,sexcontacttype_6,sexattracttype_6
44869,Heterosexual or straight,Men only,Only attracted to males
92552,Heterosexual or straight,Women only,Only attracted to females
73158,Heterosexual or straight,Women only,Only attracted to females
45963,Heterosexual or straight,Men only,Only attracted to males
22138,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
77941,Heterosexual or straight,Women only,Only attracted to females
44873,Heterosexual or straight,I have not had sexual contact,Only attracted to females
83005,Heterosexual or straight,Men only,Mostly attracted to males
31439,Heterosexual or straight,Men only,Only attracted to males
21899,Heterosexual or straight,Women only,Only attracted to females
46558,Heterosexual or straight,Women only,Only attracted to females
93699,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
36875,Heterosexual or straight,Men only,Only attracted to males
84011,Heterosexual or straight,Men only,Only attracted to males
90646,Heterosexual or straight,Men only,Mostly attracted to males
88008,Heterosexual or straight,Women only,Only attracted to females
83566,Heterosexual or straight,I have not had sexual contact,Only attracted to males
21090,Heterosexual or straight,Men only,Only attracted to males
94641,Heterosexual or straight,Both men and women,Only attracted to females
82728,Heterosexual or straight,I have not had sexual contact,Only attracted to males
45076,Heterosexual or straight,I have not had sexual contact,Only attracted to males
58437,Heterosexual or straight,Women only,Only attracted to females
14606,Heterosexual or straight,I have not had sexual contact,Only attracted to females
64075,Heterosexual or straight,Women only,Only attracted to females
44872,Heterosexual or straight,Men only,Mostly attracted to males
57325,Heterosexual or straight,Men only,Only attracted to males
27306,Heterosexual or straight,I have not had sexual contact,Only attracted to males
46365,Heterosexual or straight,Women only,Only attracted to females
74492,Heterosexual or straight,Men only,Only attracted to males
51760,Heterosexual or straight,Women only,Only attracted to females
72806,Heterosexual or straight,Men only,Mostly attracted to males
98766,Heterosexual or straight,Women only,Only attracted to females
60997,Heterosexual or straight,I have not had sexual contact,Only attracted to females
36038,Heterosexual or straight,Women only,Only attracted to females
39146,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
67918,Heterosexual or straight,I have not had sexual contact,Only attracted to females
34467,Heterosexual or straight,I have not had sexual contact,Only attracted to males
32668,Heterosexual or straight,Women only,Mostly attracted to females
24079,Heterosexual or straight,Women only,Only attracted to females
59673,Heterosexual or straight,Men only,Only attracted to males
74899,Heterosexual or straight,Women only,Mostly attracted to females
81807,Heterosexual or straight,Women only,Only attracted to females
91176,Heterosexual or straight,I have not had sexual contact,Only attracted to females
35011,Heterosexual or straight,I have not had sexual contact,Only attracted to males
35416,Heterosexual or straight,I have not had sexual contact,Only attracted to females
89710,Heterosexual or straight,Men only,Only attracted to males
97596,Heterosexual or straight,Men only,Only attracted to males
57359,Heterosexual or straight,Men only,Mostly attracted to males
17308,Heterosexual or straight,Men only,Only attracted to males
77872,Heterosexual or straight,Women only,Only attracted to females
72348,Heterosexual or straight,I have not had sexual contact,Only attracted to males
89607,Heterosexual or straight,Women only,Only attracted to females
28820,Heterosexual or straight,Women only,Only attracted to females
35347,Heterosexual or straight,Men only,Only attracted to males
45641,Bisexual,Both men and women,Mostly attracted to males
73452,Heterosexual or straight,Women only,Only attracted to females
28312,Heterosexual or straight,Women only,Only attracted to females
13486,Heterosexual or straight,Women only,Only attracted to females
56805,Heterosexual or straight,Women only,Only attracted to females
26800,Heterosexual or straight,Women only,Only attracted to females
