egoid,sexorientation_1,sexcontacttype_1,sexattracttype_1
51475,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
28312,Heterosexual or straight,Women only,Only attracted to females?
13486,,,
56805,Heterosexual or straight,Women only,Only attracted to females?
57697,Heterosexual or straight,Men only,Only attracted to males?
54837,Heterosexual or straight,Women only,Only attracted to females?
29718,,,
26800,Heterosexual or straight,Women only,Only attracted to females?
60493,,,
52051,Heterosexual or straight,Men only,Only attracted to males?
30972,,,
47142,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
69217,,,
69009,Heterosexual or straight,Men only,Only attracted to males?
84390,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
74845,,,
90905,Heterosexual or straight,Women only,Only attracted to females?
39659,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
62072,,,
60396,Heterosexual or straight,Women only,Only attracted to females?
61084,Heterosexual or straight,Men only,Only attracted to males?
92412,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
92038,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
33388,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
31717,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females?
18324,,,
86440,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
95585,Heterosexual or straight,Women only,Only attracted to females?
29792,Heterosexual or straight,Women only,Only attracted to females?
14737,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
28223,,,
85708,Heterosexual or straight,Women only,Only attracted to females?
55452,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
20179,Heterosexual or straight,Men only,Mostly attracted to males?
78339,,,
23696,Heterosexual or straight,Women only,Only attracted to females?
28653,Heterosexual or straight,Women only,Only attracted to females?
84715,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
95559,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
30152,Heterosexual or straight,Men only,Mostly attracted to males?
68764,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
60367,,,
36939,,,
59592,Heterosexual or straight,Men only,Only attracted to males?
22897,,,
89652,Heterosexual or straight,Men only,Only attracted to males?
28724,Heterosexual or straight,Men only,Only attracted to males?
92895,Heterosexual or straight,Men only,Only attracted to males?
69831,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
59178,Heterosexual or straight,Men only,Only attracted to males?
50072,,,
44927,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
71894,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
76790,,,
78428,,,
66676,,,
95930,,,
70962,,,
12738,Bisexual,Women only,Mostly attracted to females?
29647,,,
27111,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
30453,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
58219,,,
28377,,,
80177,Heterosexual or straight,Women only,Only attracted to females?
18677,,,
66047,Other,Both men and women,Equally attracted to females and males?
58682,,,
81199,,,
85679,Heterosexual or straight,Men only,Only attracted to females?
79834,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
93471,Heterosexual or straight,Men only,Only attracted to males?
19538,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
14595,,,
38052,,,
33133,Heterosexual or straight,Men only,Only attracted to males?
40021,,,
