egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
30596,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
31045,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
74492,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Occasionally
76791,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
21348,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
23287,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
14763,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
22066,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
64058,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
28247,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Always
72873,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
67544,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
76810,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
51760,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Never,Frequently
72806,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
98766,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Frequently
23042,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
60997,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Always
36038,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
39146,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Always
60963,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
67918,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
34467,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
42132,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
41268,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
90692,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
32668,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Always,Always
24079,Not at all,1-2 times a week,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
59673,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
74899,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Occasionally
48891,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
81807,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,1-2 times a month,Occasionally,Occasionally
77187,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
91176,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
22292,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
35011,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Occasionally
76785,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
60903,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
10115,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
35416,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
89710,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
97596,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
39129,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
57359,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Always
17308,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
51851,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
35855,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
67334,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
60230,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
77838,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Frequently,Always
37371,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
57292,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
66406,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
90447,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
56798,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Never
28827,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
23115,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
77872,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
43114,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
72348,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Occasionally,Never
15707,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
45776,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
63122,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
27169,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
89607,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
59900,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
28254,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,Always,Frequently
56480,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
11128,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
47886,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
28820,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Frequently
35347,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Never
45641,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
25369,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
64572,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
31538,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
