egoid,exercisealone_2,clubsports_2,exerciseothers_2,swimming_2,exercise_tracking_2,exercise_adjust_2,exercise_perceivedchange_2
21348,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,"Yes, often",increased a bit
23287,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a good deal
14763,Not at all,Not at all,Not at all,Not at all,Yes,"Yes, often",increased a good deal
22066,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a good deal
64058,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
28247,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,"Yes, often",has stayed about the same
72873,Less than 1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month,No,No,increased a good deal
67544,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
76810,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
51760,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Yes,No,increased a good deal
72806,1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,"Yes, often",has stayed about the same
98766,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Yes,No,increased a bit
23042,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
60997,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,No,No,increased a good deal
36038,Less than 1-2 times a month,Not at all,Three times a week or more,1-2 times a month,Yes,No,increased a good deal
39146,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
60963,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
67918,1-2 times a week,1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
34467,1-2 times a month,Not at all,Three times a week or more,Not at all,No,No,increased a good deal
42132,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
41268,Not at all,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
90692,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
32668,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
24079,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
59673,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
74899,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
48891,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
81807,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,Yes,"Yes, often",has decreased a bit
77187,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a bit
91176,Not at all,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
22292,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
35011,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
76785,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
60903,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
10115,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
35416,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
89710,Less than 1-2 times a month,1-2 times a month,1-2 times a week,1-2 times a month,Yes,"Yes, often",has stayed about the same
97596,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a bit
39129,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
57359,1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,No,increased a good deal
17308,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,"Yes, often",increased a bit
51851,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,No,No,increased a good deal
35855,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
67334,Three times a week or more,Not at all,1-2 times a month,Not at all,No,No,increased a good deal
60230,Three times a week or more,Not at all,Not at all,Not at all,No,No,increased a good deal
77838,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
37371,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,No,increased a good deal
57292,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,No,No,increased a good deal
66406,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
90447,1-2 times a month,1-2 times a week,1-2 times a week,Three times a week or more,Yes,No,increased a good deal
56798,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,has stayed about the same
28827,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,Yes,No,increased a good deal
23115,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
77872,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, often",increased a bit
43114,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
72348,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,"Yes, often",has decreased a bit
15707,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
45776,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
63122,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,No,No,increased a good deal
27169,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
89607,Not at all,Not at all,Not at all,Not at all,Yes,"Yes, often",increased a good deal
59900,Not at all,1-2 times a month,1-2 times a week,Not at all,No,No,has stayed about the same
28254,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
56480,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,has stayed about the same
11128,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
47886,1-2 times a month,Not at all,Not at all,Not at all,No,No,increased a good deal
28820,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
35347,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
45641,1-2 times a week,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
25369,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Yes,No,increased a good deal
64572,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
31538,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,"Yes, sometimes",increased a good deal
73452,Less than 1-2 times a month,1-2 times a month,1-2 times a week,1-2 times a week,Yes,No,increased a good deal
51475,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a bit
28312,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
13486,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, often",has stayed about the same
56805,1-2 times a month,1-2 times a week,Three times a week or more,1-2 times a month,Yes,No,increased a good deal
57697,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Three times a week or more,No,No,increased a bit
54837,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
29718,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, often",increased a bit
26800,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,No,increased a good deal
60493,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a bit
52051,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
30972,1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
47142,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
69217,1-2 times a month,Not at all,Not at all,Not at all,Yes,No,increased a good deal
69009,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
84390,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Yes,"Yes, often",has decreased a bit
74845,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
90905,1-2 times a week,1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a bit
39659,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,"Yes, often",has stayed about the same
62072,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,No,No,increased a bit
60396,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
61084,1-2 times a month,Not at all,Three times a week or more,1-2 times a month,Yes,No,increased a good deal
92412,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
92038,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month,Yes,No,increased a bit
33388,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,No,No,increased a good deal
31717,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
18324,1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
86440,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
95585,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a week,Yes,"Yes, sometimes",has stayed about the same
29792,1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Yes,"Yes, sometimes",increased a good deal
14737,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a good deal
28223,Not at all,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
85708,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
55452,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,has stayed about the same
20179,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
78339,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
23696,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
28653,1-2 times a week,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
84715,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
95559,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
30152,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all,Yes,"Yes, sometimes",increased a bit
68764,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,No,No,increased a good deal
60367,Three times a week or more,Not at all,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
36939,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
59592,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
22897,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
89652,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,No,No,increased a good deal
28724,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a week,Yes,No,increased a bit
92895,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
69831,Not at all,Less than 1-2 times a month,Not at all,Not at all,No,No,increased a good deal
59178,1-2 times a month,Three times a week or more,Not at all,Not at all,Yes,No,increased a good deal
