egoid,exercisealone_2,clubsports_2,exerciseothers_2,swimming_2,exercise_tracking_2,exercise_adjust_2,exercise_perceivedchange_2
88337,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
67608,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,No,No,increased a bit
19735,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,No,No,increased a good deal
42513,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
64595,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
85134,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
51952,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
28837,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
46266,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a good deal
61289,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
18743,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a bit
13647,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
59207,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
48946,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
86083,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
96613,1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a bit
49014,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
50766,Not at all,1-2 times a week,Three times a week or more,Not at all,No,No,increased a good deal
71089,Not at all,Not at all,Not at all,Not at all,No,No,increased a bit
80980,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
29115,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
98462,1-2 times a week,1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
94455,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
11148,1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a good deal
88384,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a good deal
60904,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
64302,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
51882,Not at all,Less than 1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
54200,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Yes,No,increased a good deal
22688,Three times a week or more,Not at all,Three times a week or more,Not at all,Yes,No,has stayed about the same
38815,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
34525,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
68404,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
71836,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a good deal
12748,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
33445,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
83078,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,No,increased a bit
72160,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
55569,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
72885,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a bit
47006,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
36574,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
71193,1-2 times a week,Not at all,Not at all,Not at all,Yes,"Yes, often",increased a bit
44070,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
49010,1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,"Yes, often",increased a bit
98760,1-2 times a week,Not at all,Three times a week or more,Not at all,No,No,increased a bit
95374,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all,No,No,increased a good deal
71985,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
43125,Not at all,Less than 1-2 times a month,Not at all,Not at all,Yes,"Yes, sometimes",increased a bit
98117,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
22989,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
24883,Not at all,1-2 times a week,Not at all,Not at all,Yes,"Yes, often",increased a good deal
65068,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
20650,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
19460,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
66815,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a bit
89161,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a good deal
54956,1-2 times a month,Not at all,Not at all,Not at all,Yes,No,increased a good deal
14847,1-2 times a month,Not at all,1-2 times a month,Not at all,No,No,increased a bit
85453,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
19827,1-2 times a month,1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
31121,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
38683,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
82918,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
43382,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
44344,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Yes,No,increased a good deal
94215,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
80675,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Yes,No,increased a good deal
57144,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month,Yes,No,increased a good deal
94662,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
98700,Less than 1-2 times a month,1-2 times a month,Three times a week or more,Not at all,Yes,"Yes, often",has stayed about the same
44675,1-2 times a week,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
33341,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,No,No,increased a bit
37396,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,No,No,increased a bit
65072,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a good deal
37148,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,No,No,increased a good deal
11910,1-2 times a week,Not at all,Three times a week or more,Not at all,Yes,No,increased a bit
75438,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
99733,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
27407,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
14250,1-2 times a week,Not at all,Not at all,1-2 times a month,Yes,No,increased a good deal
43794,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
73918,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
60216,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
28681,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
51437,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,has stayed about the same
21932,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
29733,1-2 times a month,Not at all,Not at all,Not at all,No,No,increased a good deal
98206,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
36385,1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
26651,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
54030,Three times a week or more,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
67993,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a bit
96543,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a bit
49800,Three times a week or more,Not at all,1-2 times a month,Not at all,No,"Yes, sometimes",increased a bit
29296,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
11002,Not at all,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
72850,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
15134,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
69124,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
42531,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,No,increased a good deal
34062,Less than 1-2 times a month,Not at all,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
18111,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
42646,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
63922,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Yes,"Yes, often",has stayed about the same
59097,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
72912,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
91484,1-2 times a month,Not at all,Not at all,Not at all,Yes,"Yes, often",increased a good deal
24833,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
21971,1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,No,increased a good deal
58654,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
13928,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
84502,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
64090,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
52123,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
78783,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,No,No,increased a good deal
25197,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
35872,1-2 times a month,1-2 times a week,Not at all,Not at all,No,No,increased a good deal
93462,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
23270,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Yes,No,increased a bit
69807,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Yes,No,increased a good deal
92716,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
66061,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
56058,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
57854,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
68679,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
90750,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
70125,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
67192,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
12029,1-2 times a week,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
70745,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
43255,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
93856,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
10237,1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a bit
97448,1-2 times a week,Not at all,1-2 times a week,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
43603,Not at all,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
86974,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
89165,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
97280,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Yes,"Yes, sometimes",has stayed about the same
54098,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
66156,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a bit
67177,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a bit
22540,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
70668,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
15586,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
27232,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,"Yes, sometimes",increased a bit
18611,1-2 times a month,Not at all,Three times a week or more,1-2 times a month,Yes,No,has stayed about the same
87328,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
88963,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
61756,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
57045,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
49497,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
15031,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,Yes,"Yes, sometimes",has decreased a bit
79607,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
41952,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
17183,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
22408,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a bit
54435,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
38554,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
38293,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a bit
33785,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,"Yes, sometimes",has stayed about the same
44310,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Yes,No,increased a good deal
33009,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
31294,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a good deal
65143,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
91726,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
59355,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
96184,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
92339,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
70005,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
64157,1-2 times a month,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Yes,No,increased a good deal
68050,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
46151,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",has stayed about the same
79395,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
59863,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Yes,No,has stayed about the same
63419,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
22913,1-2 times a month,Not at all,1-2 times a week,Not at all,No,No,increased a good deal
91313,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
14511,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
73962,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
48969,Less than 1-2 times a month,Not at all,Not at all,Not at all,Yes,No,increased a good deal
22093,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,No,No,increased a good deal
32919,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
10153,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
79731,Three times a week or more,Not at all,Not at all,Not at all,Yes,"Yes, sometimes",has stayed about the same
63611,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a good deal
64296,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,No,No,increased a bit
23487,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
17569,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,No,No,increased a bit
77036,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
53518,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,increased a good deal
92340,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,No,No,increased a good deal
37485,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
33953,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
53333,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
82986,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Yes,"Yes, sometimes",has stayed about the same
61772,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a bit
47280,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
70566,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a bit
82964,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
11402,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,"Yes, often",has stayed about the same
38610,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,Yes,No,has stayed about the same
96610,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
77711,1-2 times a month,Not at all,Not at all,Not at all,No,No,increased a bit
48505,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
78667,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
17020,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, often",increased a bit
48676,1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,No,increased a good deal
29885,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
32976,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
79167,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,No,No,increased a good deal
65061,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,No,No,increased a bit
43710,Not at all,Not at all,Three times a week or more,Three times a week or more,Yes,No,increased a good deal
61389,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
22455,Less than 1-2 times a month,Not at all,Not at all,Not at all,Yes,"Yes, often",increased a bit
82819,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,No,No,increased a good deal
67771,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a bit
57443,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,has stayed about the same
96469,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
94579,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Yes,No,increased a bit
29257,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
23518,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a bit
80484,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
49539,Not at all,Not at all,Less than 1-2 times a month,Not at all,No,No,increased a good deal
63904,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a bit
82490,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a bit
20335,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a bit
35031,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
88185,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, sometimes",has stayed about the same
35344,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
31175,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
41167,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, often",has decreased a bit
98325,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a bit
36963,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all,No,No,increased a bit
50666,1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,No,increased a good deal
98624,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
42617,Less than 1-2 times a month,Not at all,Not at all,Not at all,Yes,No,increased a good deal
58793,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a bit
25125,1-2 times a week,1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
25548,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,No,No,has stayed about the same
25966,1-2 times a week,Not at all,1-2 times a month,Less than 1-2 times a month,Yes,"Yes, sometimes",increased a bit
95444,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
96689,1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,No,increased a bit
22587,Three times a week or more,Not at all,Not at all,Not at all,No,No,increased a good deal
43581,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
75578,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
43507,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
91551,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,No,No,increased a good deal
30676,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
19030,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Yes,No,increased a bit
33657,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more,No,No,increased a bit
76521,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
52848,Not at all,1-2 times a month,1-2 times a month,Not at all,No,No,increased a bit
40231,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
65656,Three times a week or more,1-2 times a month,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a bit
30610,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Yes,No,increased a good deal
36117,Not at all,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
82587,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
14690,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
40569,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
97021,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
26320,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,"Yes, often",increased a bit
77532,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
92515,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,has stayed about the same
97844,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
81647,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Yes,No,increased a good deal
33127,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
45958,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,No,No,increased a good deal
49790,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
74251,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
28326,1-2 times a week,Not at all,1-2 times a week,Not at all,No,No,increased a good deal
20507,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Less than 1-2 times a month,No,No,increased a good deal
71592,1-2 times a week,Not at all,1-2 times a month,Not at all,Yes,No,increased a bit
15181,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,No,No,increased a good deal
70209,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,has stayed about the same
78657,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
21887,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
48154,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Yes,"Yes, sometimes",increased a bit
92953,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
90192,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,No,No,increased a good deal
51495,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
34344,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
21793,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
37218,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
17932,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
95026,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Yes,No,increased a good deal
66800,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
73693,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
80429,1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
75149,Not at all,1-2 times a week,Not at all,Not at all,No,No,increased a bit
61659,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month,Yes,"Yes, often",has stayed about the same
